metric,comparison,density,in_primary_band,n_pairs,paired_mean_difference,ci95_low,ci95_high,positive_fraction
polar_order,ALF - fixed_r4,0.0044444444444444444,0,50,0.24259981616447845,0.20435134895711457,0.2793978754376262,0.98
polar_order,ALF - fixed_r4,0.007561436672967864,0,50,0.30145199161993963,0.25730677501916793,0.34676712918333163,0.98
polar_order,ALF - fixed_r4,0.012345679012345678,1,50,0.3065231709410641,0.2487209917791518,0.3618509842883782,0.96
polar_order,ALF - fixed_r4,0.02040816326530612,1,50,0.19898957074126777,0.16217889724339282,0.23538571269435787,1.0
polar_order,ALF - fixed_r4,0.03305785123966942,1,50,0.12551184464350165,0.09121200948169383,0.166322585536282,1.0
polar_order,ALF - fixed_r4,0.04938271604938271,1,50,0.05403079999302946,0.03689455164353523,0.0759363289719167,1.0
polar_order,ALF - fixed_r4,0.08163265306122448,1,50,0.010919193619198828,0.007634691979454437,0.014374336331105679,0.98
polar_order,ALF - fixed_r8_retained,0.0044444444444444444,0,50,-0.00034109499442134373,-0.0009693281640887174,0.0001186310654768441,0.02
polar_order,ALF - fixed_r8_retained,0.007561436672967864,0,50,0.006383713455252875,-0.00211594177274317,0.019505609315282516,0.2
polar_order,ALF - fixed_r8_retained,0.012345679012345678,1,50,-0.0008351083152553284,-0.01041405272651122,0.006855552527290481,0.34
polar_order,ALF - fixed_r8_retained,0.02040816326530612,1,50,-0.006892989669056333,-0.0182285481437603,-0.00041770984097557146,0.26
polar_order,ALF - fixed_r8_retained,0.03305785123966942,1,50,-0.002663115858356353,-0.004880841943413261,-0.0010161851710497407,0.18
polar_order,ALF - fixed_r8_retained,0.04938271604938271,1,50,-0.0022524971060835708,-0.0032144853098673015,-0.0014475379406565765,0.06
polar_order,ALF - fixed_r8_retained,0.08163265306122448,1,50,-0.0020949189977879402,-0.0028027278606639274,-0.0014915099112060356,0.04
polar_order,ALF - knn_k6,0.0044444444444444444,0,50,0.003605957406989709,-0.012601008438602328,0.01947474683369083,0.42
polar_order,ALF - knn_k6,0.007561436672967864,0,50,-0.013953113321521682,-0.033112208375922214,0.0073061989254588275,0.34
polar_order,ALF - knn_k6,0.012345679012345678,1,50,-0.009227318017999116,-0.019187845748873358,-0.00032981441093524086,0.3
polar_order,ALF - knn_k6,0.02040816326530612,1,50,-0.008129769228243737,-0.020006193859920793,-0.0010763354332188311,0.18
polar_order,ALF - knn_k6,0.03305785123966942,1,50,-0.001993526236868328,-0.0036016428911235005,-0.0007282345133920037,0.3
polar_order,ALF - knn_k6,0.04938271604938271,1,50,-4.970308126290179e-05,-0.0009356094554964228,0.0007629870820570171,0.52
polar_order,ALF - knn_k6,0.08163265306122448,1,50,0.0006081688283346853,0.00015322439437872337,0.00110684058023077,0.66
polar_order,ALF - crdf,0.0044444444444444444,0,50,0.0002524367722215726,-0.025205715751431323,0.02883290524301044,0.44
polar_order,ALF - crdf,0.007561436672967864,0,50,0.026746522308393795,-0.012747639665679279,0.06760672581720224,0.66
polar_order,ALF - crdf,0.012345679012345678,1,50,0.018022851280285947,0.009378942287278865,0.027148345630692232,0.86
polar_order,ALF - crdf,0.02040816326530612,1,50,0.006928512852777899,-0.0019976309822525217,0.014335134052630193,0.86
polar_order,ALF - crdf,0.03305785123966942,1,50,0.006425221367790113,0.0025673605125885106,0.01138189326266268,1.0
polar_order,ALF - crdf,0.04938271604938271,1,50,0.001915457356218584,0.0009196794314389278,0.003353789611549459,0.98
polar_order,ALF - crdf,0.08163265306122448,1,50,0.0005876655056752345,0.00037503386093734224,0.000834102803862983,0.96
polar_order,ALF - crmf,0.0044444444444444444,0,50,0.0025720852141689985,-0.0015996136230269828,0.009576299254016606,0.06
polar_order,ALF - crmf,0.007561436672967864,0,50,0.004218742363052065,-0.0024236941164230206,0.013381193186184194,0.18
polar_order,ALF - crmf,0.012345679012345678,1,50,0.0014323648583433113,-0.0014500889441487342,0.005192687822696603,0.28
polar_order,ALF - crmf,0.02040816326530612,1,50,-0.004943775368425203,-0.013532184366970327,-0.00034675501456714233,0.3
polar_order,ALF - crmf,0.03305785123966942,1,50,-0.0006274147311382983,-0.0013865622804688426,-0.00010716307046757541,0.32
polar_order,ALF - crmf,0.04938271604938271,1,50,1.6645215215318478e-05,-0.00013119291006329705,0.00021908452898164788,0.46
polar_order,ALF - crmf,0.08163265306122448,1,50,7.963197529554212e-05,-3.824124825522551e-05,0.000202340551111125,0.54
