metric,method,density,half_width,n_seeds,mean,ci95_low,ci95_high,in_primary_band
polar_order,alf,0.0044444444444444444,,50,0.6150435923647865,0.5686740851536929,0.6605906107107851,0
polar_order,alf,0.007561436672967864,,50,0.7807997921024556,0.7324573528770133,0.8256199689292764,0
polar_order,alf,0.012345679012345678,,50,0.9043289806630577,0.8737251292751573,0.9294170158003568,1
polar_order,alf,0.02040816326530612,,50,0.969311020087207,0.9548403082278655,0.9786640243459683,1
polar_order,alf,0.03305785123966942,,50,0.9863399263143635,0.9834364127464233,0.9887799439964753,1
polar_order,alf,0.04938271604938271,,50,0.9892865605388043,0.98740501898174,0.9908948537532511,1
polar_order,alf,0.08163265306122448,,50,0.9903332772098226,0.9890411843857925,0.9913881119642054,1
polar_order,crdf,0.0044444444444444444,,50,0.6147911555925648,0.5644840854215466,0.6636684986667348,0
polar_order,crdf,0.007561436672967864,,50,0.754053269794062,0.7065213280898869,0.7998954286238067,0
polar_order,crdf,0.012345679012345678,,50,0.8863061293827716,0.8521748190145543,0.9149933199323076,1
polar_order,crdf,0.02040816326530612,,50,0.9623825072344292,0.9512569936485602,0.9714211048422989,1
polar_order,crdf,0.03305785123966942,,50,0.9799147049465735,0.9727926248876987,0.9857307301775481,1
polar_order,crdf,0.04938271604938271,,50,0.9873711031825857,0.9847205462952671,0.9897464125375218,1
polar_order,crdf,0.08163265306122448,,50,0.9897456117041473,0.9882828874463511,0.9910430292653496,1
polar_order,crmf,0.0044444444444444444,,50,0.6124715071506174,0.5627686006529274,0.6609683670066304,0
polar_order,crmf,0.007561436672967864,,50,0.7765810497394037,0.7291140021366282,0.8236792848319302,0
polar_order,crmf,0.012345679012345678,,50,0.9028966158047144,0.8723432715851558,0.9288615003480957,1
polar_order,crmf,0.02040816326530612,,50,0.9742547954556322,0.9682317021822955,0.979542885413884,1
polar_order,crmf,0.03305785123966942,,50,0.9869673410455019,0.9845180943160912,0.9890013915453411,1
polar_order,crmf,0.04938271604938271,,50,0.989269915323589,0.9873428801414047,0.9908579840306916,1
polar_order,crmf,0.08163265306122448,,50,0.990253645234527,0.9889780007783823,0.9913572746856382,1
polar_order,fixed_r4,0.0044444444444444444,,50,0.37244377620030794,0.330396756992451,0.4146729900056233,0
polar_order,fixed_r4,0.007561436672967864,,50,0.47934780048251613,0.4294990930642019,0.5313541434521719,0
polar_order,fixed_r4,0.012345679012345678,,50,0.5978058097219935,0.5379859620752463,0.6548126969848238,1
polar_order,fixed_r4,0.02040816326530612,,50,0.7703214493459393,0.7291284509353341,0.8079239206260604,1
polar_order,fixed_r4,0.03305785123966942,,50,0.8608280816708619,0.8199088698294267,0.895929631873008,1
polar_order,fixed_r4,0.04938271604938271,,50,0.9352557605457749,0.9135175727864436,0.9526614510849027,1
polar_order,fixed_r4,0.08163265306122448,,50,0.9794140835906237,0.9747792474935821,0.9833924326012952,1
polar_order,fixed_r8,0.0044444444444444444,,50,0.6104692382311284,0.5627296435294349,0.6562388009886049,0
polar_order,fixed_r8,0.007561436672967864,,50,0.7834669233362473,0.7349067181970675,0.8305951691985268,0
polar_order,fixed_r8,0.012345679012345678,,50,0.9054267657868087,0.8790619770934882,0.9298543441117209,1
polar_order,fixed_r8,0.02040816326530612,,50,0.9753253701276051,0.9694307635872836,0.9805014408428632,1
polar_order,fixed_r8,0.03305785123966942,,50,0.9888512946780205,0.9867586731505574,0.9904916958964928,1
polar_order,fixed_r8,0.04938271604938271,,50,0.9914322118959038,0.9901165278088275,0.9924220899750906,1
polar_order,fixed_r8,0.08163265306122448,,50,0.9926375100662053,0.991899889999428,0.9932548795927055,1
polar_order,fixed_r8_retained,0.0044444444444444444,,50,0.6153846873592078,0.5684795458089533,0.661526706688257,0
polar_order,fixed_r8_retained,0.007561436672967864,,50,0.7744160786472029,0.7234218827967839,0.8241821589448438,0
polar_order,fixed_r8_retained,0.012345679012345678,,50,0.905164088978313,0.8748116080061079,0.9310622660451523,1
polar_order,fixed_r8_retained,0.02040816326530612,,50,0.9762040097562634,0.9705532392978818,0.9813687246375841,1
polar_order,fixed_r8_retained,0.03305785123966942,,50,0.98900304217272,0.9871495857210771,0.9905038002899694,1
polar_order,fixed_r8_retained,0.04938271604938271,,50,0.9915390576448878,0.9902365168777149,0.9924384227577112,1
polar_order,fixed_r8_retained,0.08163265306122448,,50,0.9924281962076104,0.9916771915029531,0.9930853914752011,1
polar_order,knn_k6,0.0044444444444444444,,50,0.6114376349577967,0.5632689133236117,0.65860611222171,0
polar_order,knn_k6,0.007561436672967864,,50,0.7947529054239775,0.7501078810854636,0.8379882658303176,0
polar_order,knn_k6,0.012345679012345678,,50,0.9135562986810568,0.8853906179534642,0.9384606190298568,1
polar_order,knn_k6,0.02040816326530612,,50,0.9774407893154508,0.9717447972313953,0.9821705481378638,1
polar_order,knn_k6,0.03305785123966942,,50,0.988333452551232,0.9865499340446268,0.9897877243198933,1
polar_order,knn_k6,0.04938271604938271,,50,0.9893362636200672,0.9877351430615037,0.9906336151889648,1
polar_order,knn_k6,0.08163265306122448,,50,0.9897251083814878,0.98829661483725,0.9910062422581001,1
velocity_dispersion,alf,0.0044444444444444444,,50,0.11529727157295701,0.10504457420347608,0.12782447251415058,0
velocity_dispersion,alf,0.007561436672967864,,50,0.0433436697308394,0.03768453546808119,0.04950103793870254,0
velocity_dispersion,alf,0.012345679012345678,,50,0.0148020422976828,0.012911632260409566,0.0168640073689127,1
velocity_dispersion,alf,0.02040816326530612,,50,0.005953629822019749,0.005310448320643995,0.006733835051411569,1
velocity_dispersion,alf,0.03305785123966942,,50,0.004202570895718648,0.0039340719643614856,0.004493276141405798,1
velocity_dispersion,alf,0.04938271604938271,,50,0.00393478416650335,0.003689064259959629,0.0041922853599530765,1
velocity_dispersion,alf,0.08163265306122448,,50,0.0038411430776143355,0.0036088950430040708,0.004088131525269769,1
velocity_dispersion,crdf,0.0044444444444444444,,50,0.12246392330861744,0.10788693019001028,0.14222115417458955,0
velocity_dispersion,crdf,0.007561436672967864,,50,0.0487724708621272,0.043117807720270934,0.05497576734239965,0
velocity_dispersion,crdf,0.012345679012345678,,50,0.01741884478226011,0.015244227697730279,0.01989361629579397,1
velocity_dispersion,crdf,0.02040816326530612,,50,0.00694225020558177,0.006119025474161937,0.007832320239193722,1
velocity_dispersion,crdf,0.03305785123966942,,50,0.004508841824979472,0.004156412705362651,0.004893363663258041,1
velocity_dispersion,crdf,0.04938271604938271,,50,0.004027686616927108,0.0037603168946529677,0.004292991779726682,1
velocity_dispersion,crdf,0.08163265306122448,,50,0.0038672388131023184,0.003632271404731404,0.004103852388316805,1
velocity_dispersion,crmf,0.0044444444444444444,,50,0.11488919015741526,0.10325718018471525,0.1272176921003724,0
velocity_dispersion,crmf,0.007561436672967864,,50,0.043230851629323545,0.03744720584869216,0.04934392694619193,0
velocity_dispersion,crmf,0.012345679012345678,,50,0.01445761118036418,0.012736952173729802,0.01640133052030109,1
velocity_dispersion,crmf,0.02040816326530612,,50,0.005830778591661974,0.005257540125241433,0.006507753688531876,1
velocity_dispersion,crmf,0.03305785123966942,,50,0.0041683430735259775,0.0038938707249183183,0.004461511917135353,1
velocity_dispersion,crmf,0.04938271604938271,,50,0.003928790898216893,0.003689977176285029,0.004181946927089052,1
