control_energy_bootstrap_ci95_high,control_energy_bootstrap_ci95_low,control_energy_ci95_high,control_energy_ci95_low,control_energy_mean,control_energy_std,density,final_fragmentation_bootstrap_ci95_high,final_fragmentation_bootstrap_ci95_low,final_fragmentation_ci95_high,final_fragmentation_ci95_low,final_fragmentation_mean,final_fragmentation_std,final_largest_scc_fraction_bootstrap_ci95_high,final_largest_scc_fraction_bootstrap_ci95_low,final_largest_scc_fraction_ci95_high,final_largest_scc_fraction_ci95_low,final_largest_scc_fraction_mean,final_largest_scc_fraction_std,half_width,mean_degree_bootstrap_ci95_high,mean_degree_bootstrap_ci95_low,mean_degree_ci95_high,mean_degree_ci95_low,mean_degree_error_bootstrap_ci95_high,mean_degree_error_bootstrap_ci95_low,mean_degree_error_ci95_high,mean_degree_error_ci95_low,mean_degree_error_mean,mean_degree_error_sq_bootstrap_ci95_high,mean_degree_error_sq_bootstrap_ci95_low,mean_degree_error_sq_ci95_high,mean_degree_error_sq_ci95_low,mean_degree_error_sq_mean,mean_degree_error_sq_std,mean_degree_error_std,mean_degree_mean,mean_degree_std,mean_fragmentation_bootstrap_ci95_high,mean_fragmentation_bootstrap_ci95_low,mean_fragmentation_ci95_high,mean_fragmentation_ci95_low,mean_fragmentation_mean,mean_fragmentation_std,mean_interaction_area_bootstrap_ci95_high,mean_interaction_area_bootstrap_ci95_low,mean_interaction_area_ci95_high,mean_interaction_area_ci95_low,mean_interaction_area_mean,mean_interaction_area_std,mean_largest_scc_fraction_bootstrap_ci95_high,mean_largest_scc_fraction_bootstrap_ci95_low,mean_largest_scc_fraction_ci95_high,mean_largest_scc_fraction_ci95_low,mean_largest_scc_fraction_mean,mean_largest_scc_fraction_std,mean_radius_bootstrap_ci95_high,mean_radius_bootstrap_ci95_low,mean_radius_ci95_high,mean_radius_ci95_low,mean_radius_mean,mean_radius_std,method,method_label,n_seeds,neighbor_loss_rate_bootstrap_ci95_high,neighbor_loss_rate_bootstrap_ci95_low,neighbor_loss_rate_ci95_high,neighbor_loss_rate_ci95_low,neighbor_loss_rate_mean,neighbor_loss_rate_std,polar_order_bootstrap_ci95_high,polar_order_bootstrap_ci95_low,polar_order_ci95_high,polar_order_ci95_low,polar_order_mean,polar_order_std,radius_command_temporal_variation_bootstrap_ci95_high,radius_command_temporal_variation_bootstrap_ci95_low,radius_command_temporal_variation_ci95_high,radius_command_temporal_variation_ci95_low,radius_command_temporal_variation_mean,radius_command_temporal_variation_std,radius_max_saturation_fraction_bootstrap_ci95_high,radius_max_saturation_fraction_bootstrap_ci95_low,radius_max_saturation_fraction_ci95_high,radius_max_saturation_fraction_ci95_low,radius_max_saturation_fraction_mean,radius_max_saturation_fraction_std,radius_min_saturation_fraction_bootstrap_ci95_high,radius_min_saturation_fraction_bootstrap_ci95_low,radius_min_saturation_fraction_ci95_high,radius_min_saturation_fraction_ci95_low,radius_min_saturation_fraction_mean,radius_min_saturation_fraction_std,radius_oscillation_frequency_bootstrap_ci95_high,radius_oscillation_frequency_bootstrap_ci95_low,radius_oscillation_frequency_ci95_high,radius_oscillation_frequency_ci95_low,radius_oscillation_frequency_mean,radius_oscillation_frequency_std,radius_temporal_variation_bootstrap_ci95_high,radius_temporal_variation_bootstrap_ci95_low,radius_temporal_variation_ci95_high,radius_temporal_variation_ci95_low,radius_temporal_variation_mean,radius_temporal_variation_std,velocity_dispersion_bootstrap_ci95_high,velocity_dispersion_bootstrap_ci95_low,velocity_dispersion_ci95_high,velocity_dispersion_ci95_low,velocity_dispersion_mean,velocity_dispersion_std
0.008933683486674431,0.008244667838645801,0.008952616600388956,0.008231211793164358,0.008591914196776657,0.0013013016101252224,0.08163265306122448,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,7.0,7.43525342039801,7.1103692475124385,7.425219932650803,7.105364644463625,2.368252487562189,2.139712997512438,2.3726385610481153,2.138704722533974,2.2556716417910447,7.577133395522388,6.507917288557214,7.555823011182509,6.498579973892118,7.027201492537314,1.9071013291589232,0.4219801111284389,7.265292288557214,0.5769689879477824,0.0,0.0,0.0,0.0,0.0,0.0,89.59271366762246,84.18554745678857,89.70151445423849,84.19730322395921,86.94940883909885,9.928737464320502,1.0,1.0,1.0,1.0,1.0,0.0,5.253494966931714,5.078328038837955,5.25326149052605,5.080219147146396,5.166740318836223,0.31214136335756254,alf,ALF,50,0.00366875,0.0029,0.00367246934868173,0.0028650306513182708,0.0032687500000000004,0.001456493311985037,0.9914303604373013,0.9890216988782355,0.9915141112499211,0.9891524431697241,0.9903332772098226,0.004260080393926319,0.0028568521617344383,0.0024080938214300447,0.002864628680938285,0.002392104514572285,0.002628366597755285,0.0008523598018161197,0.15061582711442786,0.10957571517412937,0.15124454106454224,0.11002411565187567,0.13063432835820896,0.07435521003237455,0.0,0.0,0.0,0.0,0.0,0.0,0.0006375,0.00039375,0.0006408121194587635,0.0003841878805412364,0.0005124999999999999,0.00046291004988627575,0.0023660478164210293,0.001975157762682315,0.002363533259750766,0.001971547624547037,0.0021675404421489016,0.0007070808693374307,0.004085001231229923,0.0036104635550412234,0.0040821439412931666,0.003600142213935505,0.0038411430776143355,0.0008694558417301832
0.008996349752824177,0.008269140241589286,0.008994175370635479,0.008270941132154085,0.008632558251394782,0.0013046016184093954,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.98125,1.006,0.9815,0.99375,0.04419417382415922,9.0,6.99128125,6.685403140547264,6.980764912604763,6.677506231673843,3.7263582089552236,3.4548230721393036,3.7292802667801066,3.46467495710049,3.5969776119402983,15.559472014925372,13.929572139303481,15.550424176693491,13.86955094768462,14.709987562189056,3.032032802416077,0.4773066551337328,6.829135572139303,0.5470313003569921,0.0,0.0,0.0,0.0,0.0,0.0,140.37518303770074,131.45708122461687,140.20236223515363,131.52114144116322,135.86175183815843,15.65956656226602,1.0,0.982276119402985,1.0056716417910447,0.9825124378109453,0.994092039800995,0.04177558719696643,6.5706099582211674,6.354286607633591,6.575491216589362,6.351081945906603,6.463286581247982,0.4047992782165982,alf,ALF,50,0.0032124999999999996,0.00248125,0.003229245632802805,0.0024707543671971953,0.00285,0.001368199789235953,0.9908007668554597,0.9874015705177851,0.9910331720041958,0.9875399490734127,0.9892865605388043,0.006301228628962097,0.0029335151092229838,0.0022997878931822016,0.002946288311369389,0.0022905857908046457,0.0026184370510870174,0.0011827849457460243,0.23568034825870646,0.17909001865671642,0.23577836597313942,0.1780524797980049,0.20691542288557216,0.1041284835827561,0.0,0.0,0.0,0.0,0.0,0.0,0.000375,0.00016875,0.0003694649475295529,0.0001555350524704471,0.0002625,0.00038589612116025554,0.0024137773926723592,0.0019303323691393503,0.0024188950427829125,0.001935803465237236,0.002177349254010074,0.0008714217612669765,0.004191967355062825,0.0036917572606580172,0.004189267389369026,0.0036803009436376754,0.00393478416650335,0.000918095982584318
0.00906719526716077,0.008426223732763997,0.009062097168318337,0.008409122725405112,0.008735609946861725,0.0011778639197077751,0.03305785123966942,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.98875,1.0036,0.9889,0.99625,0.026516504294495532,11.0,5.573770055970148,5.308154228855722,5.575178745728701,5.309249114967816,4.5125065298507465,4.299463930348258,4.517348217224882,4.29630849919303,4.406828358208956,21.535896766169152,19.786206156716418,21.57262819984678,19.83018274542685,20.701405472636814,3.1430994812959363,0.3987211314588888,5.442213930348259,0.4796955235445327,0.0,0.0,0.0,0.0,0.0,0.0,168.8259106567134,160.444254803186,168.76468541629643,160.46888966029334,164.6167875382949,14.964319985735631,1.0,0.9912002487562189,1.0028054855715212,0.9913238676623097,0.9970646766169154,0.020711045618868055,7.268851398230851,7.073430846295132,7.269547505848005,7.06979170837883,7.169669607113417,0.3603282626831128,alf,ALF,50,0.00235625,0.0017125,0.0023687265086009875,0.001706273491399013,0.0020375000000000002,0.0011949617874515435,0.9887183435023572,0.983536316927821,0.9889982547356566,0.9836815978930704,0.9863399263143635,0.00959041863937391,0.002405858246593588,0.0016925899104321374,0.0024033373362878432,0.0016783375834252955,0.0020408374598565693,0.001307786330631833,0.4846400808457711,0.39435867537313435,0.48550764946238445,0.39640777342318767,0.44095771144278606,0.16072226160764505,0.0,0.0,0.0,0.0,0.0,0.0,0.00044374999999999997,0.00014375,0.00043406218047001364,0.00012843781952998645,0.00028125000000000003,0.0005512986176441281,0.001881579230737097,0.0013913358459137384,0.0018747121623877358,0.0013837053780898136,0.0016292087702387747,0.0008856995581266866,0.00447758185816134,0.00392960942321406,0.004489293158097949,0.003915848633339347,0.004202570895718648,0.001034404367579349
0.010298884930536815,0.009355532809703667,0.010293523940630489,0.009347398360620238,0.009820461150625364,0.0017066627894880186,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.98625,1.0027,0.9873,0.995,0.027779194975185797,14.0,4.088837375621891,3.833337064676617,4.085216612999385,3.8224575163538486,5.157482898009952,4.987838619402985,5.162335419181377,4.986619804699219,5.074477611940298,27.40795957711443,25.82922356965174,27.426489372756635,25.82060017948217,26.623544776119402,2.896773312241248,0.31696352694054797,3.953837064676617,0.47397637514415913,0.003004197761194027,0.0007151741293532339,0.002930228558266477,0.0005523585064101397,0.0017412935323383083,0.004289306220530672,188.28978417141127,182.44964614810627,188.33092828268673,182.49189355817595,185.41141092043134,10.532706758380852,0.9976559390547264,0.9832078669154227,0.9996121886668868,0.9844549755122177,0.9920335820895523,0.027341245422337904,7.718633288619544,7.579040775495911,7.7195198085095775,7.58491873776296,7.652219273136269,0.24279931091812038,alf,ALF,50,0.00149375,0.0010375,0.0014920068927942512,0.0010204931072057492,0.0012562500000000002,0.0008505372326851268,0.9792011481210845,0.9555287992848115,0.9815924627674665,0.9570295774069476,0.969311020087207,0.04430760919370075,0.0011669270923146025,0.0006639309408836326,0.0011725585890233756,0.0006472871299508371,0.0009099228594871063,0.0009475076802906739,0.7533813743781094,0.6683137437810945,0.7552721785631418,0.6713571746706892,0.7133146766169155,0.1513695619786959,0.0,0.0,0.0,0.0,0.0,0.0,0.00023125,6.25e-05,0.00021988021607157875,5.511978392842127e-05,0.0001375,0.00029720208887666497,0.0008671219624824955,0.00046993752590467156,0.0008521984119470352,0.0004666455808927224,0.0006594219964198788,0.0006954770952657547,0.006730762913699203,0.005302520547057609,0.006668965668662262,0.005238293975377237,0.005953629822019749,0.002580708306054799
0.020561589494077957,0.015186996294814513,0.020410810738759506,0.014834811788139238,0.017622811263449372,0.010058231300695573,0.012345679012345678,0.0075,0.0,0.0074,-0.0024,0.0025,0.017677669529663688,0.9975,0.95,1.0016880135604393,0.9533119864395606,0.9775,0.0872627980205044,18.0,2.9810082400497513,2.76189598880597,2.9842080820733163,2.7596476393197187,5.481537935323383,5.348847947761193,5.479724491353933,5.347489438994327,5.41360696517413,30.450568097014926,29.16914116915423,30.50568511941593,29.183817368146258,29.844751243781094,2.3844429866188697,0.2385313832500906,2.8719278606965175,0.4050719690237818,0.1113994092039801,0.05750481965174129,0.10990177506883919,0.057337030901310065,0.08361940298507463,0.094818589418867,195.89271959427188,192.57383516003458,196.00247718723602,192.58196814265187,194.29222266494395,6.170064134018846,0.9289521144278606,0.8653837064676617,0.9306569878041985,0.8658106738873438,0.8982338308457711,0.11697262322846808,7.890941630457569,7.816522866708662,7.891233904107815,7.81550721844608,7.8533705612769475,0.13659911466376257,alf,ALF,50,0.0009875,0.00064375,0.0009909656829757475,0.0006340343170242526,0.0008125000000000001,0.000643848442047141,0.9303226918511757,0.8756340101261572,0.9319210251413241,0.8767369361847912,0.9043289806630577,0.09954347835399527,0.00040397508002231944,0.00015528680693403422,0.00039935275494549745,0.0001490176431079129,0.0002741851990267052,0.00045156544680981844,0.8926990049751243,0.8376242226368159,0.8941845062852187,0.8387010658540848,0.8664427860696517,0.10008346166432326,0.0,0.0,0.0,0.0,0.0,0.0,9.375e-05,1.875e-05,9.05154291597658e-05,9.484570840234212e-06,5e-05,0.0001461670137834366,0.0003758610939133058,0.0001466563606419719,0.00037252757877979833,0.00013969427553921237,0.00025611092715950535,0.00041999491736602573,0.016818240738032092,0.012952507843303979,0.01676920592153384,0.01283487867383176,0.0148020422976828,0.007096911929227415
0.07310739342257913,0.046838003873714756,0.07317316387302675,0.045903730144057533,0.05953844700854214,0.0491897997675288,0.007561436672967864,0.10625,0.02875,0.10252679043030458,0.02747320956969542,0.065,0.13538493872160617,0.97125,0.89625,0.9725267904303047,0.8974732095696955,0.935,0.13538493872160617,23.0,2.379292599502487,2.1993746890547263,2.3825389846183787,2.1973863885159495,5.688273631840796,5.595683457711443,5.691056083936448,5.594217547904349,5.642636815920398,32.62725621890547,31.66501119402985,32.660614221455226,31.654112146703987,32.15736318407961,1.8155725569768668,0.17468159568488473,2.289962686567164,0.3339863680059222,0.28009499378109454,0.19839490049751243,0.2783580595070083,0.19679119422433497,0.23757462686567163,0.14713388663649973,199.9108618871018,197.91233610835988,200.01406911710865,197.9447518194586,198.97941046828362,3.732725238762712,0.7995273631840794,0.7195362251243781,0.8005561461824259,0.7182746995887185,0.7594154228855722,0.14842287972512572,7.975471421547394,7.930859687040634,7.977805481026692,7.932465074172946,7.955135277599819,0.08178701313275763,alf,ALF,50,0.0006687500000000001,0.0003625,0.0006646129139034768,0.0003478870860965233,0.0005062500000000001,0.0005713239301510705,0.8258182421881153,0.7340591629620449,0.8276628419787992,0.733936742226112,0.7807997921024556,0.1690672467073775,0.00017416697508022984,4.019237886466843e-05,0.0001708565210673148,3.259977589426026e-05,0.00010172814848078753,0.00024939357667512073,0.9735537935323383,0.9367638370646766,0.9746675227093157,0.9370364573901867,0.9558519900497512,0.06788056497558667,0.0,0.0,0.0,0.0,0.0,0.0,5.625e-05,0.0,5.5499999999999994e-05,-1.7999999999999994e-05,1.875e-05,0.00013258252147247765,0.00013101746653028363,3.349364790288877e-05,0.00012576743346575867,2.921685120489731e-05,7.749214233532798e-05,0.00017416217205144043,0.049372617645576204,0.0377127982076639,0.04913578704137479,0.037551552420304,0.0433436697308394,0.02089615014136513
0.19401247469734323,0.13482480649104636,0.19214050514731829,0.13254520761234917,0.16234285637983373,0.10750060972909847,0.0044444444444444444,0.3,0.19125,0.30130245226145697,0.19119754773854303,0.24625,0.19861205262767814,0.8075,0.69875,0.808802452261457,0.6986975477385431,0.75375,0.19861205262767814,30.0,1.8038341106965174,1.697466262437811,1.8039895207365007,1.6925278921988225,5.825064054726368,5.7405509950248765,5.8266441816530925,5.741863281033474,5.784253731343283,34.12831467661692,33.234730721393035,34.118638791806056,33.22636120819394,33.6725,1.60952941345121,0.15293150444702694,1.7482587064676616,0.20105937087012327,0.4809208644278607,0.413525342039801,0.482785391498741,0.41368227019280135,0.4482338308457712,0.12465123897088398,200.7109457010679,199.20046957136842,200.7639473621236,199.22467592119352,199.99431164165856,2.7766052907358083,0.5840275186567164,0.5176366604477612,0.5858757787423394,0.5168978530984567,0.5513868159203981,0.12442540554839525,7.99199203674373,7.959069110427042,7.99368366301859,7.9603575672136095,7.9770206151161,0.060115072281056926,alf,ALF,50,0.00035000000000000005,0.00015,0.00034770942718195406,0.000139790572818046,0.00024375000000000002,0.00037505314249300397,0.6616773269017001,0.5686845527793061,0.6619171693455955,0.5681700153839774,0.6150435923647865,0.1691052252122436,0.0001042225511190205,6.69872981077807e-06,9.97082094284084e-05,-3.43158943928246e-06,4.813830999456297e-05,0.00018604808976928778,0.9925001554726369,0.9648132773631841,0.993929955480334,0.965336213673895,0.9796330845771145,0.05157864472150609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010425372944485007,6.698703104794656e-06,9.970817071702453e-05,-3.431604504525492e-06,4.813828310624952e-05,0.00018604804711534254,0.1281665304407606,0.1042694304990611,0.12700996664808023,0.1035845764978338,0.11529727157295701,0.04225574547749949
0.00894438327263906,0.008213753206906631,0.008944543785503679,0.0082257647351539,0.008585154260328789,0.0012965651547886653,0.08163265306122448,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.98625,1.0027,0.9873,0.995,0.027779194975185797,7.0,5.6584530472636825,5.464774409203979,5.6561195138498634,5.463221282170038,1.2694009639303483,1.1579643967661692,1.2763620240604499,1.158389219720645,1.2173756218905474,2.3265071517412936,2.0470472636815917,2.3271739133554585,2.047502703559964,2.1873383084577114,0.5044831860944893,0.21280451516395388,5.559670398009951,0.3479582849482086,0.0,0.0,0.0,0.0,0.0,0.0,65.65449242989662,63.660408789409736,65.67038328564595,63.61989286390904,64.64513807477749,3.6987644948169285,1.0,0.9864987562189055,1.0026970584537147,0.9875143843323548,0.9951057213930348,0.02738717302999753,4.550829530844117,4.476666373056275,4.55107129402564,4.476743812707792,4.513907553366716,0.13407516854175164,crdf,Current-radius feedback,50,0.008287656249999999,0.00705,0.008292008677149793,0.006995491322850207,0.00764375,0.0023387148294675493,0.9909768631435151,0.988211232568479,0.9911163154207802,0.9883749079875145,0.9897456117041473,0.004945070882799264,0.16912302068540205,0.1356268512382796,0.16875076497433422,0.13543459382174783,0.15209267939804103,0.06009716975807522,0.0010760261194029844,0.00083955223880597,0.0010866612538020053,0.0008287616317701339,0.0009577114427860696,0.0004652106418474075,0.0,0.0,0.0,0.0,0.0,0.0,0.28975203124999993,0.23413625,0.28870888847651505,0.23445361152348493,0.26158125,0.09786804655265764,0.014584572409159051,0.012313574851303534,0.014583356595672751,0.012324586545849796,0.013453971570761274,0.0040744684167624695,0.0041133186014381835,0.003632843886439911,0.004109584463812835,0.0036248931623918024,0.0038672388131023184,0.0008743074133085325
0.008988832802808485,0.008276057031284687,0.008994990845578449,0.00827162600977309,0.008633308427675769,0.0013048371955863868,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,0.0,0.9975,0.98,0.9994952619763754,0.9805047380236246,0.99,0.03425593945223371,9.0,4.514439832089552,4.374742226368159,4.5180204466508656,4.372850200115304,2.2137506218905467,2.064188743781094,2.2147941672883,2.0667232456470233,2.1407587064676616,5.6803801305970145,5.175320429104477,5.6749465707970685,5.159506165521339,5.417226368159204,0.9297739945612497,0.26709681833951215,4.445435323383085,0.2618644534485186,0.0,0.0,0.0,0.0,0.0,0.0,85.88660052784167,83.10523096768844,85.92857976297728,83.06534589347538,84.49696282822633,5.164826748081093,0.9975621890547264,0.9789490049751244,0.9985190927318195,0.9794784197059914,0.9889987562189054,0.03434640054826256,5.194183851213156,5.10233072160302,5.195747664710528,5.104520966771294,5.150134315740911,0.16455871616859682,crdf,Current-radius feedback,50,0.01090015625,0.0094625,0.010886748902352509,0.009463251097647491,0.010175,0.0025677677314058177,0.9897572213616562,0.9845271221401538,0.9899276375506806,0.9848145688144908,0.9873711031825857,0.009223177489879332,0.24965773154961626,0.21067467103814777,0.2501561385527813,0.21004690703155116,0.23010152279216622,0.072350789787865,0.0015236318407960197,0.0011940298507462687,0.0015270066236646876,0.0011844361624049641,0.0013557213930348259,0.0006179436127320256,0.0,0.0,0.0,0.0,0.0,0.0,0.28609609374999995,0.24327265625000002,0.2862520689611589,0.24362293103884106,0.2649375,0.07689630740052954,0.023477966162242812,0.020473951471392318,0.023392188374767628,0.02043855902186146,0.021915373698314543,0.005327886083039763,0.004287475519639702,0.0037717541526475196,0.0042904793707395,0.0037648938631147173,0.004027686616927108,0.0009480741748338195
0.009087511338314865,0.008444274993523288,0.009091732083889872,0.008436426272656915,0.008764079178273394,0.0011820693440657527,0.03305785123966942,0.0,0.0,0.0,0.0,0.0,0.0,0.98625,0.94125,0.9892570098013628,0.9432429901986373,0.96625,0.083002105333515,11.0,3.7758429726368163,3.626571517412935,3.7726292803241277,3.6228309186808474,2.881237717661692,2.755084732587065,2.885561475489832,2.7523614100823077,2.81896144278607,9.043148631840795,8.371792288557213,9.033424817837954,8.368901052808813,8.701162935323383,1.1986970931421503,0.24027211608202032,3.6977300995024875,0.2702128503280577,0.004085820895522388,0.0,0.003994283743345896,-0.0012704031463309704,0.0013619402985074627,0.009496672960495984,105.88267525112407,101.9958116375927,105.87288377064802,102.02992120557606,103.95140248811204,6.932104310225581,0.9809359452736318,0.9336895211442787,0.984129883920097,0.9373999668261715,0.9607649253731343,0.0842934726056121,5.761006741836624,5.653327970842922,5.763854690768225,5.65361065440613,5.708732672587177,0.19886302473728176,crdf,Current-radius feedback,50,0.008737812499999999,0.0075621874999999995,0.008759954711433563,0.0075400452885664385,0.008150000000000001,0.0022005260850579363,0.9856001191404348,0.9726621815001403,0.9865715427228153,0.9732578671703317,0.9799147049465735,0.02401579149407846,0.3616346707406634,0.30165782549288567,0.3624087363243953,0.3010604010320759,0.3317345686782356,0.11066281607067617,0.0028109452736318407,0.0023507462686567166,0.0028060388559568226,0.002355652686331734,0.0025808457711442782,0.0008124263129962633,0.0,0.0,0.0,0.0,0.0,0.0,0.29987671875,0.2580734375,0.30015139752312225,0.25757360247687777,0.2788625,0.0768036928703328,0.03105335306385167,0.027155753729619057,0.031020062922384933,0.027046961076044783,0.029033511999214858,0.0071668552497242645,0.004904520542398758,0.004165979912934299,0.004886151569353285,0.0041315320806056596,0.004508841824979472,0.0013612157084412547
