method,mechanism,parameter,half_width,density,seed,steps,n_agents,noise_std,control_energy,mean_probe_degree,mean_abs_radius_update,radius_temporal_variation,mean_abs_radius_command_update,radius_command_temporal_variation,rms_radius_update,mean_agent_radius_temporal_std,mean_agent_degree_temporal_variance,radius_min_saturation_fraction,radius_max_saturation_fraction,radius_sign_reversal_rate,radius_oscillation_frequency,radius_sign_reversal_count,mean_degree_error,mean_degree_error_sq,mean_interaction_area,visible_neighbor_count_mean,distance_evaluations_per_step,sorting_operations_per_step,runtime_s,neighbor_loss_rate,contact_break_rate,polar_order,components,largest_component_fraction,fragmentation,final_fragmentation,mean_fragmentation,mean_largest_component_fraction,mean_degree,mean_interaction_out_degree,mean_radius,velocity_dispersion,agent_collision_rate,obstacle_collision_rate,obstacle_proximity_rate,minimum_agent_distance,minimum_obstacle_clearance,final_largest_scc_fraction,final_n_scc,mean_largest_scc_fraction,mean_n_scc,final_mean_out_degree,final_mean_in_degree,final_min_out_degree,final_min_in_degree,mean_min_out_degree,mean_min_in_degree,final_sym_lambda2,mean_sym_lambda2,final_edge_count,mean_edge_count,final_normalized_comm_cost,mean_normalized_comm_cost,final_rooted_fraction,mean_rooted_fraction,edge_persistence,mean_radius_sq,mean_radius_footprint,method_label,configured_target_degree
alf,alf,0.0,7.0,0.08163265306122448,21000,200,16,0.0,0.00684028616283362,4.122512437810945,0.0017719607212736887,0.0017719607212736887,0.0021982652772466462,0.0021982652772466462,0.0085418949275213,0.05481491967054787,0.030887230514096184,0.0,0.12531094527363185,0.0005589714924538849,0.0003125,1,2.2506218905472637,7.127487562189055,83.33507363734022,14.126243781094526,240,0,1.2944948000003933,0.0025,0.0025,0.9930121259735758,1.0,1.0,0.0,0.0,0.0,1.0,7.51181592039801,7.51181592039801,5.046845478914355,0.003567642471124286,0.0,0.0,0.0,0.45321131198206727,14.0,1.0,1.0,1.0,1.0,7.5,7.5,4.0,3.0,4.0,3.009950248756219,3.7782750002776297,3.8029293824235046,120.0,120.18905472636816,0.5,0.500787728026534,1.0,1.0,0.9996642992424242,26.52637780461958,424.4220448739133,ALF,6.0
alf,alf,0.0,7.0,0.08163265306122448,21001,200,16,0.0,0.008812692750530508,5.2450248756218905,0.0007144360042961631,0.0007144360042961631,0.0007144360048555811,0.0007144360048555811,0.004297231040692004,0.023858356876195065,0.014600504937996585,0.0,0.3125,0.0,0.0,0,2.495646766169154,8.116915422885572,78.64740523346006,13.751243781094526,240,0,1.2300097000006645,0.0009375,0.0015625,0.988218874382663,1.0,1.0,0.0,0.0,0.0,1.0,7.250621890547263,7.250621890547263,4.79142248057541,0.003987989471405875,0.0,0.0,0.0,0.28870678214448076,14.0,1.0,1.0,1.0,1.0,7.25,7.25,5.0,3.0,5.0,3.0,3.552311902329886,3.5516074681745486,116.0,116.00995024875621,0.48333333333333334,0.4833747927031516,1.0,1.0,0.9997496279761904,25.034246608513136,400.5479457362102,ALF,6.0
alf,alf,0.0,7.0,0.08163265306122448,21002,200,16,0.0,0.007819801143306021,4.247512437810945,0.0018722176007489226,0.0018722176007489226,0.0033621538613379798,0.0033621538613379798,0.009260834825478107,0.07172282823221102,0.2382923690007673,0.0,0.1875,0.0030581039755351682,0.001875,6,1.875,7.4856965174129355,79.62958269047557,14.622512437810945,240,0,1.3198589000021457,0.001875,0.0025,0.981056288038613,1.0,1.0,0.0,0.0,0.0,1.0,7.141791044776119,7.141791044776119,4.910597775091283,0.006567605717742193,0.0,0.0,0.0,0.17672993545168372,14.0,1.0,1.0,1.0,1.0,7.1875,7.1875,5.0,2.0,4.985074626865671,2.0,3.8871544165794534,3.8589748849564596,115.0,114.26865671641791,0.4791666666666667,0.47611940298507555,1.0,1.0,0.9996523832070707,25.346883403068027,405.55013444908843,ALF,6.0
alf,alf,0.0,7.0,0.08163265306122448,21003,200,16,0.0,0.006059987470819927,3.6237562189054726,0.0009064883528015647,0.0009064883528015647,0.001099764711324778,0.001099764711324778,0.005670675410464337,0.027234197105112497,0.08013724907799312,0.0,0.3125,0.0008375209380234506,0.0003125,1,2.5012437810945274,8.881218905472636,97.6879606559011,14.126865671641792,240,0,1.3637309999976424,0.0009375,0.0015625,0.9952678103897001,1.0,1.0,0.0,0.0,0.0,1.0,8.402674129353233,8.402674129353233,5.4560161741587105,0.002968628971677116,0.0,0.0,0.0,0.711787560909044,14.0,1.0,1.0,1.0,1.0,8.4375,8.4375,5.0,5.0,4.980099502487562,4.9950248756218905,5.224541021299109,5.1882431437264716,135.0,134.44278606965173,0.5625,0.5601782752902156,1.0,1.0,0.999809760551948,31.0950436379065,497.520698206504,ALF,6.0
alf,alf,0.0,7.0,0.08163265306122448,21004,200,16,0.0,0.008142095462181297,3.7512437810945274,0.0019588578095345046,0.0019588578095345046,0.002385162365668045,0.002385162365668045,0.009261868166995051,0.0616446545814817,0.07796836711962575,0.0,0.06312189054726368,0.0005592841163310962,0.0003125,1,2.3737562189054726,6.871890547263682,86.6227294785729,14.375621890547263,240,0,1.239071399999375,0.0015625,0.0015625,0.9904062732053651,1.0,1.0,0.0,0.0,0.0,1.0,6.728233830845771,6.728233830845771,5.18815750558514,0.00363184382635187,0.0,0.0,0.0,0.38747131453484895,14.0,1.0,1.0,1.0,1.0,6.75,6.75,5.0,2.0,5.0,2.0597014925373136,4.058203331319397,3.948578002594612,108.0,107.65174129353234,0.45,0.44854892205638636,1.0,1.0,0.9998088924963925,27.572871161253826,441.1659385800612,ALF,6.0
alf,alf,0.0,7.0,0.08163265306122448,21005,200,16,0.0,0.009419716861783093,3.5006218905472637,0.0018476242586837948,0.0018476242586837948,0.0026122204393155403,0.0026122204393155403,0.009869302853519897,0.05736001640880719,0.11550766070146778,0.0,0.1884328358208955,0.0006289308176100629,0.0003125,1,2.6237562189054726,8.373756218905474,95.45724781176025,13.762437810945274,240,0,1.3480485000000044,0.0040625,0.0046875,0.9864686944130953,1.0,1.0,0.0,0.0,0.0,1.0,7.863495024875622,7.863495024875622,5.430069525070828,0.004619146654619486,0.0,0.0,0.0,0.30432587370664305,14.0,1.0,1.0,1.0,1.0,7.875,7.875,5.0,4.0,5.0049751243781095,4.08955223880597,3.95657478641237,3.8875840032287794,126.0,125.81592039800995,0.525,0.5242330016583764,1.0,1.0,0.9993934624403374,30.38498568637931,486.15977098206895,ALF,6.0
alf,alf,0.0,7.0,0.08163265306122448,21006,200,16,0.0,0.006864284554694078,3.2475124378109452,0.003639666070556212,0.003639666070556212,0.003639666073391279,0.003639666073391279,0.01654656467434276,0.1211815971000204,0.3112330140343061,0.0,0.1881218905472637,0.0,0.0,0,2.7524875621890548,9.751243781094526,100.84581904769324,13.996890547263682,240,0,1.3379867000003287,0.005,0.0053125,0.9948299918687765,1.0,1.0,0.0,0.0,0.0,1.0,8.222636815920398,8.222636815920398,5.578324717183556,0.0037257840861641234,0.0,0.0,0.0,0.5487347027668324,14.0,1.0,1.0,1.0,1.0,8.25,8.25,5.0,5.0,5.029850746268656,4.980099502487562,6.213512659747695,6.11181838984648,132.0,131.56218905472636,0.55,0.5481757877280247,1.0,1.0,0.9992434466575091,32.100221183182384,513.6035389309181,ALF,6.0
alf,alf,0.0,7.0,0.08163265306122448,21007,200,16,0.0,0.009058957943678786,3.6274875621890548,0.002687298162118694,0.002687298162118694,0.0034930681825149777,0.0034930681825149777,0.012714268966996798,0.1025474976458825,0.4014783049924507,0.0,0.06467661691542288,0.0010178117048346056,0.000625,2,2.3725124378109452,7.2288557213930345,90.07451570992038,14.375621890547263,240,0,1.3869510000004084,0.005,0.0065625,0.9919869309604199,1.0,1.0,0.0,0.0,0.0,1.0,7.476990049751244,7.476990049751244,5.2844461194912205,0.004170411359752637,0.0,0.0,0.0,0.7507580150810704,14.0,1.0,1.0,1.0,1.0,7.5,7.5,6.0,3.0,5.930348258706467,2.9353233830845773,4.429022335665967,4.37635729831922,120.0,119.6318407960199,0.5,0.49846600331674956,1.0,1.0,0.9991403657106782,28.67160884368482,458.7457414989571,ALF,6.0
alf,alf,0.0,7.0,0.08163265306122448,21008,200,16,0.0,0.007270944804891228,3.3837064676616917,0.0028736833924577323,0.0028736833924577323,0.005357480476860937,0.005357480476860937,0.01271654958369915,0.08810591113847822,0.16343654860028217,0.0,0.18781094527363185,0.0027100271002710027,0.0021875,7,2.7425373134328357,9.597636815920398,95.28046604384792,14.253109452736318,240,0,1.2973076999987825,0.005625,0.0059375,0.9950779654381063,1.0,1.0,0.0,0.0,0.0,1.0,7.948072139303482,7.948072139303482,5.425163842574395,0.00286544610723185,0.0,0.0,0.0,0.4204645697714877,14.0,1.0,1.0,1.0,1.0,7.9375,7.9375,6.0,4.0,5.870646766169155,3.990049751243781,4.927358265774044,4.944053619821683,127.0,127.16915422885572,0.5291666666666667,0.5298714759535667,1.0,1.0,0.9993711297383172,30.328714301955767,485.25942883129227,ALF,6.0
alf,alf,0.0,7.0,0.08163265306122448,21009,200,16,0.0,0.008516943432208789,3.4925373134328357,0.00287736712262488,0.00287736712262488,0.0038570767157440986,0.0038570767157440986,0.012877017842659867,0.09318696309041322,0.2603339026261726,0.0,0.1896766169154229,0.0009170105456212746,0.000625,2,2.6318407960199006,8.292910447761194,92.28751820840067,14.375621890547263,240,0,1.3295891000016127,0.008125,0.0090625,0.9845673788722841,1.0,1.0,0.0,0.0,0.0,1.0,7.3818407960199,7.3818407960199,5.354301844714588,0.004549163831053497,0.0,0.0,0.0,0.5029113831071582,14.0,1.0,1.0,1.0,1.0,7.3125,7.3125,4.0,4.0,4.0,4.064676616915423,3.7508166538055194,3.8818756085832606,117.0,118.1094527363184,0.4875,0.4921227197346582,1.0,1.0,0.9988824855699855,29.376029417100526,470.0164706736084,ALF,6.0
