method,mechanism,parameter,half_width,density,seed,steps,n_agents,noise_std,control_energy,mean_probe_degree,mean_abs_radius_update,radius_temporal_variation,mean_abs_radius_command_update,radius_command_temporal_variation,rms_radius_update,mean_agent_radius_temporal_std,mean_agent_degree_temporal_variance,radius_min_saturation_fraction,radius_max_saturation_fraction,radius_sign_reversal_rate,radius_oscillation_frequency,radius_sign_reversal_count,mean_degree_error,mean_degree_error_sq,mean_interaction_area,visible_neighbor_count_mean,distance_evaluations_per_step,sorting_operations_per_step,runtime_s,neighbor_loss_rate,contact_break_rate,polar_order,components,largest_component_fraction,fragmentation,final_fragmentation,mean_fragmentation,mean_largest_component_fraction,mean_degree,mean_interaction_out_degree,mean_radius,velocity_dispersion,agent_collision_rate,obstacle_collision_rate,obstacle_proximity_rate,minimum_agent_distance,minimum_obstacle_clearance,final_largest_scc_fraction,final_n_scc,mean_largest_scc_fraction,mean_n_scc,final_mean_out_degree,final_mean_in_degree,final_min_out_degree,final_min_in_degree,mean_min_out_degree,mean_min_in_degree,final_sym_lambda2,mean_sym_lambda2,final_edge_count,mean_edge_count,final_normalized_comm_cost,mean_normalized_comm_cost,final_rooted_fraction,mean_rooted_fraction,edge_persistence,mean_radius_sq,mean_radius_footprint,method_label,configured_target_degree
alf,alf,0.0,7.0,0.08163265306122448,20000,200,16,0.0,0.007918308059890106,2.8762437810945274,0.002824805749572227,0.002824805749572227,0.003406654655288719,0.003406654655288719,0.013239234301002517,0.08694285065353959,0.24976176332269004,0.0,0.1256218905472637,0.001006036217303823,0.000625,2,3.1237562189054726,11.116915422885572,107.93508399159332,13.877487562189055,240,0,1.3623545000009472,0.0025,0.0028125,0.9951339982867697,1.0,1.0,0.0,0.0,0.0,1.0,8.026430348258707,8.026430348258707,5.80317068241343,0.0030114611482947207,0.0,0.0,0.0,0.1879986687082471,14.0,1.0,1.0,1.0,1.0,8.0625,8.0625,4.0,5.0,4.044776119402985,5.08955223880597,5.340114490431936,5.24548460135807,129.0,128.4228855721393,0.5375,0.5350953565505787,1.0,1.0,0.9996204117063492,34.35680430060196,549.7088688096313,ALF,6.0
alf,alf,0.0,7.0,0.08163265306122448,20001,200,16,0.0,0.008957164001657983,4.741293532338308,0.002149668322864552,0.002149668322864552,0.0024855040927662998,0.0024855040927662998,0.009673829167134964,0.07273619715851001,0.07862119749511151,0.0,0.12624378109452736,0.001010611419909045,0.000625,2,1.8756218905472637,5.1393034825870645,75.58377180145538,14.495646766169154,240,0,1.4061150000015914,0.004375,0.005,0.9902666089756819,1.0,1.0,0.0,0.0,0.0,1.0,7.009328358208955,7.009328358208955,4.796140333880868,0.003805942049621299,0.0,0.0,0.0,0.23347586618818664,14.0,1.0,1.0,1.0,1.0,7.0,7.0,4.0,4.0,3.990049751243781,4.0049751243781095,4.064052093635798,4.056371076406958,112.0,112.14925373134328,0.4666666666666667,0.4672885572139313,1.0,1.0,0.9991082780067154,24.05906179946287,384.94498879140593,ALF,6.0
alf,alf,0.0,7.0,0.08163265306122448,20002,200,16,0.0,0.008780413568314027,3.876865671641791,0.0023512899578395853,0.0023512899578395853,0.0023512899595437824,0.0023512899595437824,0.011510621764674756,0.07400516847589352,0.18722308853741246,0.0,0.1875,0.0,0.0,0,2.3737562189054726,7.491915422885572,92.46522598985676,13.875621890547263,240,0,1.412242399997922,0.00125,0.0015625,0.989858868231241,1.0,1.0,0.0,0.0,0.0,1.0,8.074937810945274,8.074937810945274,5.3074179935840045,0.0032559391215585434,0.0,0.0,0.0,0.46883753032851316,14.0,1.0,1.0,1.0,1.0,8.125,8.125,5.0,4.0,4.9950248756218905,4.0,4.989795985198914,4.964747470661281,130.0,129.19900497512438,0.5416666666666666,0.5383291873963529,1.0,1.0,0.999790798611111,29.432595560789792,470.9215289726367,ALF,6.0
alf,alf,0.0,7.0,0.08163265306122448,20003,200,16,0.0,0.00911761755041555,4.620646766169155,0.0031416349722910154,0.0031416349722910154,0.003461925239064648,0.003461925239064648,0.013378341527334586,0.1061400312860845,0.4528477017895597,0.0,0.06592039800995025,0.0012636899747262005,0.0009375,3,2.1274875621890548,7.004353233830845,82.1074175500474,14.376243781094526,240,0,1.3740735000028508,0.0046875,0.005625,0.9924028115112703,1.0,1.0,0.0,0.0,0.0,1.0,7.964863184079602,7.964863184079602,4.955375272421751,0.003615506778601197,0.0,0.0,0.0,0.17895080180462009,14.0,1.0,1.0,1.0,1.0,8.0,8.0,5.0,3.0,4.980099502487562,3.0646766169154227,6.110118545039675,6.121050126217914,128.0,127.43781094527363,0.5333333333333333,0.530990878938639,1.0,1.0,0.9992317257395382,26.135602735200564,418.169643763209,ALF,6.0
alf,alf,0.0,7.0,0.08163265306122448,20004,200,16,0.0,0.00622806049888266,3.1281094527363185,0.001009229408291456,0.001009229408291456,0.0013001538609171096,0.0013001538609171096,0.0067073024839200196,0.032656166348754886,0.03417304027128042,0.0,0.3125,0.0012594458438287153,0.0003125,1,2.8718905472636815,10.610074626865671,99.79459892745187,14.499378109452737,240,0,1.3842049000013503,0.0009375,0.00125,0.9941512277363584,1.0,1.0,0.0,0.0,0.0,1.0,7.228544776119403,7.228544776119403,5.547872548178901,0.0025471032178407856,0.0,0.0,0.0,0.2963259564077627,14.0,1.0,1.0,1.0,1.0,7.25,7.25,5.0,4.0,4.9950248756218905,4.0,4.459063033892286,4.436694351634833,116.0,115.65671641791045,0.48333333333333334,0.48190298507462764,1.0,1.0,0.9998622159090909,31.765607426354247,508.24971882166795,ALF,6.0
alf,alf,0.0,7.0,0.08163265306122448,20005,200,16,0.0,0.00891588217579611,4.491915422885572,0.001797296681282235,0.001797296681282235,0.002588998648537133,0.002588998648537133,0.00911551596026364,0.05708358841928864,0.10760253459072795,0.0,0.25,0.0015105740181268882,0.0009375,3,2.251865671641791,8.373134328358208,82.346434596722,14.246890547263682,240,0,1.3889584999997169,0.0046875,0.0053125,0.9951769602335807,1.0,1.0,0.0,0.0,0.0,1.0,7.230721393034826,7.230721393034826,4.965685557176233,0.003984905850275363,0.0,0.0,0.0,0.3051927446741854,14.0,1.0,1.0,1.0,1.0,7.1875,7.1875,5.0,3.0,5.009950248756219,3.0248756218905473,4.050346419025554,4.059047965278713,115.0,115.69154228855722,0.4791666666666667,0.48204809286898936,1.0,1.0,0.9992656328046954,26.211684224123545,419.3869475859767,ALF,6.0
alf,alf,0.0,7.0,0.08163265306122448,20006,200,16,0.0,0.007325740947724565,3.7487562189054726,0.0024733528149262596,0.0024733528149262596,0.0024733528166932515,0.0024733528166932515,0.011427360815433517,0.07694505508025941,0.06898034702111334,0.0,0.18781094527363185,0.0,0.0,0,2.2512437810945274,6.753731343283582,90.6445619960411,14.248756218905474,240,0,1.3477567000009003,0.0025,0.0025,0.9916445245165926,1.0,1.0,0.0,0.0,0.0,1.0,7.689365671641791,7.689365671641791,5.286913023749703,0.002634294157594922,0.0,0.0,0.0,0.5434258789360367,14.0,1.0,1.0,1.0,1.0,7.6875,7.6875,5.0,3.0,5.0,3.0,4.433356441357035,4.468297665370752,123.0,123.02985074626865,0.5125,0.5126243781094545,1.0,1.0,0.9996719990079365,28.8530602121394,461.6489633942304,ALF,6.0
alf,alf,0.0,7.0,0.08163265306122448,20007,200,16,0.0,0.0065661462840960645,3.6343283582089554,0.0031188250934592733,0.0031188250934592733,0.0036245010564720094,0.0036245010564720094,0.013504803755338522,0.10184793287619927,0.1548538402514789,0.0,0.0,0.0009153318077803204,0.000625,2,2.368781094527363,6.475124378109452,87.94893273548482,14.502487562189055,240,0,1.3841290999989724,0.00125,0.00125,0.9896399998282184,1.0,1.0,0.0,0.0,0.0,1.0,7.4471393034825875,7.4471393034825875,5.2417166481593656,0.0029246043734792834,0.0,0.0,0.0,0.6663582417030727,14.0,1.0,1.0,1.0,1.0,7.5,7.5,5.0,3.0,4.9502487562189055,3.129353233830846,4.591925628351305,4.526442384395213,120.0,119.1542288557214,0.5,0.4964759535655058,1.0,1.0,0.9997699652777777,27.995014769018034,447.92023630428855,ALF,6.0
alf,alf,0.0,7.0,0.08163265306122448,20008,200,16,0.0,0.007903303727908501,4.624378109452737,0.0017434589457318616,0.0017434589457318616,0.0018529651702961197,0.0018529651702961197,0.007905378644262247,0.05671652078620613,0.05755736244152373,0.0,0.125,0.0004589261128958238,0.0003125,1,2.3700248756218905,7.8681592039801,78.0499626202221,14.499378109452737,240,0,1.2696990999975242,0.003125,0.003125,0.9880297405184462,1.0,1.0,0.0,0.0,0.0,1.0,7.0625,7.0625,4.84193514687382,0.0035778242756674848,0.0,0.0,0.0,0.4947951198590514,14.0,1.0,1.0,1.0,1.0,7.0625,7.0625,4.0,3.0,4.029850746268656,2.9751243781094527,4.077403680962392,4.077603124054617,113.0,113.0,0.4708333333333333,0.4708333333333324,1.0,1.0,0.9995680768883893,24.844074718292013,397.5051954926722,ALF,6.0
alf,alf,0.0,7.0,0.08163265306122448,20009,200,16,0.0,0.00901723068354739,3.378731343283582,0.0026755188881150927,0.0026755188881150927,0.0026755188900845304,0.0026755188900845304,0.012081457377080055,0.08501884747026066,0.05438293606593896,0.0,0.06281094527363185,0.0,0.0,0,2.621268656716418,8.227611940298507,91.83583118261784,14.490671641791044,240,0,1.2520382000002428,0.0025,0.0028125,0.9923564103560376,1.0,1.0,0.0,0.0,0.0,1.0,7.034825870646766,7.034825870646766,5.360004469247326,0.003626727727246151,0.0,0.0,0.0,1.061216866081448,14.0,1.0,1.0,1.0,1.0,7.0625,7.0625,5.0,5.0,4.990049751243781,4.990049751243781,3.8478387387770674,3.7849257930977815,113.0,112.55721393034825,0.4708333333333333,0.4689883913764501,1.0,1.0,0.9996181795634921,29.2322529713329,467.7160475413264,ALF,6.0
