ci95_high,ci95_low,comparison,estimand,median_difference,method,metric,n_pairs,n_strata,paired_mean_difference,scenario,sign_consistency,standardized_effect
0.00038639392579000055,0.00018472114284406603,fixed_r4 - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,8.946635973156799e-05,fixed_r4,mean_contact_break_rate,180,6,0.0002838767715627352,position_noise_sigma_0p01rb,0.5944444444444444,0.38929067041272647
-0.0028302329505191007,-0.003287805494857824,fixed_r4 - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,-0.002882997567838264,fixed_r4,radius_temporal_variation,180,6,-0.0030534689648270765,position_noise_sigma_0p01rb,1.0,-1.3978389921672454
0.001020482839896121,0.0008323814094434718,fixed_r4 - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.00047784663730330006,fixed_r4,mean_control_effort_proxy,180,6,0.0009270439059138437,position_noise_sigma_0p01rb,0.8,0.8704495717639161
0.36666666666666664,0.22777777777777777,fixed_r4 - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.0,fixed_r4,failure_indicator,180,6,0.29444444444444445,position_noise_sigma_0p01rb,0.9722222222222222,0.5722241221368375
19.623055555555553,11.288611111111113,fixed_r4 - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.0,fixed_r4,recovery_steps_after_release,180,6,15.366666666666667,position_noise_sigma_0p01rb,0.9277777777777778,0.4751444473019184
0.004832118055555551,-0.011728038194444446,crmf - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.0,crmf,mean_fragmentation,180,6,-0.003291666666666668,observation_delay_2,0.8611111111111112,-0.05811117206249859
0.0022536024305555525,-0.015442925347222228,crmf - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.0,crmf,mean_largest_scc_fraction,180,6,-0.006447916666666665,observation_delay_2,0.8111111111111111,-0.10419548250258384
-2.9707259947675383e-05,-7.802202339620805e-05,crmf - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,-2.3006485738921094e-05,crmf,mean_contact_break_rate,180,6,-5.3656608987614097e-05,observation_delay_2,0.7166666666666667,-0.29534080250417843
0.0010664617799493747,0.0006784271908307232,crmf - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.0006862924084533966,crmf,radius_temporal_variation,180,6,0.0008667522768763043,observation_delay_2,0.7388888888888889,0.6124149113877844
2.6317869175732827e-06,3.9324787134378427e-08,crmf - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,3.9107999043460837e-07,crmf,mean_control_effort_proxy,180,6,1.3061466150028565e-06,observation_delay_2,0.6444444444444445,0.1417490244855035
0.016666666666666666,-0.049999999999999996,crmf - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.0,crmf,failure_indicator,180,6,-0.016666666666666666,observation_delay_2,0.9777777777777777,-0.06738577158477217
3.0666666666666664,-1.6558333333333335,crmf - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.0,crmf,recovery_steps_after_release,180,6,0.8222222222222223,observation_delay_2,0.9611111111111111,0.04830660779498026
0.22075425347222222,0.18236922743055556,fixed_r4 - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.15703124999999998,fixed_r4,mean_fragmentation,180,6,0.19983680555555558,observation_delay_2,0.9666666666666667,1.1178214447049082
-0.13994097222222224,-0.17554887152777776,fixed_r4 - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,-0.10390625000000003,fixed_r4,mean_largest_scc_fraction,180,6,-0.157796875,observation_delay_2,0.8333333333333334,-0.8267939732191365
0.00044266957938013575,0.00023229381505667095,fixed_r4 - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.00010536472867763217,fixed_r4,mean_contact_break_rate,180,6,0.0003372556516451166,observation_delay_2,0.6111111111111112,0.42917000614088147
-0.0017960304951068773,-0.0021214239762106877,fixed_r4 - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,-0.0017457711732059163,fixed_r4,radius_temporal_variation,180,6,-0.0019516705336028314,observation_delay_2,1.0,-1.3148765887316691
0.0010744050688886806,0.0008767160700674119,fixed_r4 - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.0005312656184245754,fixed_r4,mean_control_effort_proxy,180,6,0.000977242780766133,observation_delay_2,0.8055555555555556,0.8794697550729517
0.3666666666666667,0.2333333333333333,fixed_r4 - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.0,fixed_r4,failure_indicator,180,6,0.3,observation_delay_2,0.9722222222222222,0.5805422367949887
19.46736111111111,11.18861111111111,fixed_r4 - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.0,fixed_r4,recovery_steps_after_release,180,6,15.316666666666668,observation_delay_2,0.9222222222222223,0.46583890870988603
0.0054463975694444425,-0.012417795138888889,crmf - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.0,crmf,mean_fragmentation,180,6,-0.003484375,message_dropout_0p10,0.8611111111111112,-0.056047999448357366
0.00047977430555555073,-0.018826562500000005,crmf - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.0,crmf,mean_largest_scc_fraction,180,6,-0.00863888888888889,message_dropout_0p10,0.8055555555555556,-0.12875248927769914
-3.839150397380468e-05,-8.572006698758021e-05,crmf - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,-1.6516734010371068e-05,crmf,mean_contact_break_rate,180,6,-6.17324769649913e-05,message_dropout_0p10,0.7166666666666667,-0.3479213627553862
0.0010237151471640946,0.0006488482248920635,crmf - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.0006243531116637423,crmf,radius_temporal_variation,180,6,0.0008351024315475805,message_dropout_0p10,0.7444444444444445,0.5934216453545408
3.926106153982171e-06,2.502615676881985e-07,crmf - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,4.690232629014912e-07,crmf,mean_control_effort_proxy,180,6,2.0474902877027937e-06,message_dropout_0p10,0.5777777777777777,0.1574027415813572
