agent_collision_rate,components,contact_break_rate,control_energy,density,distance_evaluations_per_step,edge_persistence,final_edge_count,final_fragmentation,final_largest_scc_fraction,final_mean_in_degree,final_mean_out_degree,final_min_in_degree,final_min_out_degree,final_n_scc,final_normalized_comm_cost,final_rooted_fraction,final_sym_lambda2,fragmentation,half_width,largest_component_fraction,mean_abs_radius_command_update,mean_abs_radius_update,mean_agent_degree_temporal_variance,mean_agent_radius_temporal_std,mean_degree,mean_degree_error,mean_degree_error_sq,mean_edge_count,mean_fragmentation,mean_interaction_area,mean_interaction_out_degree,mean_largest_component_fraction,mean_largest_scc_fraction,mean_min_in_degree,mean_min_out_degree,mean_n_scc,mean_normalized_comm_cost,mean_probe_degree,mean_radius,mean_radius_footprint,mean_radius_sq,mean_rooted_fraction,mean_sym_lambda2,mechanism,method,minimum_agent_distance,minimum_obstacle_clearance,n_agents,neighbor_loss_rate,noise_std,obstacle_collision_rate,obstacle_proximity_rate,parameter,polar_order,radius_command_temporal_variation,radius_max_saturation_fraction,radius_min_saturation_fraction,radius_oscillation_frequency,radius_sign_reversal_count,radius_sign_reversal_rate,radius_temporal_variation,rms_radius_update,runtime_s,seed,sorting_operations_per_step,steps,velocity_dispersion,visible_neighbor_count_mean
0.0,1.0,0.0028125,0.007918308059890106,0.08163265306122448,240,0.9996204117063492,129.0,0.0,1.0,8.0625,8.0625,5.0,4.0,1.0,0.5375,1.0,5.340114490431936,0.0,7.0,1.0,0.003406654655288719,0.002824805749572227,0.24976176332269004,0.08694285065353959,8.026430348258707,3.1237562189054726,11.116915422885572,128.4228855721393,0.0,107.93508399159332,8.026430348258707,1.0,1.0,5.08955223880597,4.044776119402985,1.0,0.5350953565505787,2.8762437810945274,5.80317068241343,549.7088688096313,34.35680430060196,1.0,5.24548460135807,alf,alf,0.1879986687082471,14.0,16,0.0025,0.0,0.0,0.0,0.0,0.9951339982867697,0.003406654655288719,0.1256218905472637,0.0,0.000625,2,0.001006036217303823,0.002824805749572227,0.013239234301002517,1.444964299997082,20000,0,200,0.0030114611482947207,13.628731343283581
0.0,1.0,0.005,0.008957164001657983,0.08163265306122448,240,0.9991082780067154,112.0,0.0,1.0,7.0,7.0,4.0,4.0,1.0,0.4666666666666667,1.0,4.064052093635798,0.0,7.0,1.0,0.0024855040927662998,0.002149668322864552,0.07862119749511151,0.07273619715851001,7.009328358208955,1.8756218905472637,5.1393034825870645,112.14925373134328,0.0,75.58377180145538,7.009328358208955,1.0,1.0,4.0049751243781095,3.990049751243781,1.0,0.4672885572139313,4.741293532338308,4.796140333880868,384.94498879140593,24.05906179946287,1.0,4.056371076406958,alf,alf,0.23347586618818664,14.0,16,0.004375,0.0,0.0,0.0,0.0,0.9902666089756819,0.0024855040927662998,0.12624378109452736,0.0,0.000625,2,0.001010611419909045,0.002149668322864552,0.009673829167134964,1.2574909000031766,20001,0,200,0.003805942049621299,14.00497512437811
0.0,1.0,0.0015625,0.008780413568314027,0.08163265306122448,240,0.999790798611111,130.0,0.0,1.0,8.125,8.125,4.0,5.0,1.0,0.5416666666666666,1.0,4.989795985198914,0.0,7.0,1.0,0.0023512899595437824,0.0023512899578395853,0.18722308853741246,0.07400516847589352,8.074937810945274,2.3737562189054726,7.491915422885572,129.19900497512438,0.0,92.46522598985676,8.074937810945274,1.0,1.0,4.0,4.9950248756218905,1.0,0.5383291873963529,3.876865671641791,5.3074179935840045,470.9215289726367,29.432595560789792,1.0,4.964747470661281,alf,alf,0.46883753032851316,14.0,16,0.00125,0.0,0.0,0.0,0.0,0.989858868231241,0.0023512899595437824,0.1875,0.0,0.0,0,0.0,0.0023512899578395853,0.011510621764674756,1.1046959000013885,20002,0,200,0.0032559391215585434,13.625621890547263
0.0,1.0,0.005625,0.00911761755041555,0.08163265306122448,240,0.9992317257395382,128.0,0.0,1.0,8.0,8.0,3.0,5.0,1.0,0.5333333333333333,1.0,6.110118545039675,0.0,7.0,1.0,0.003461925239064648,0.0031416349722910154,0.4528477017895597,0.1061400312860845,7.964863184079602,2.1274875621890548,7.004353233830845,127.43781094527363,0.0,82.1074175500474,7.964863184079602,1.0,1.0,3.0646766169154227,4.980099502487562,1.0,0.530990878938639,4.620646766169155,4.955375272421751,418.169643763209,26.135602735200564,1.0,6.121050126217914,alf,alf,0.17895080180462009,14.0,16,0.0046875,0.0,0.0,0.0,0.0,0.9924028115112703,0.003461925239064648,0.06592039800995025,0.0,0.0009375,3,0.0012636899747262005,0.0031416349722910154,0.013378341527334586,1.1755680999995093,20003,0,200,0.003615506778601197,14.253109452736318
0.0,1.0,0.00125,0.00622806049888266,0.08163265306122448,240,0.9998622159090909,116.0,0.0,1.0,7.25,7.25,4.0,5.0,1.0,0.48333333333333334,1.0,4.459063033892286,0.0,7.0,1.0,0.0013001538609171096,0.001009229408291456,0.03417304027128042,0.032656166348754886,7.228544776119403,2.8718905472636815,10.610074626865671,115.65671641791045,0.0,99.79459892745187,7.228544776119403,1.0,1.0,4.0,4.9950248756218905,1.0,0.48190298507462764,3.1281094527363185,5.547872548178901,508.24971882166795,31.765607426354247,1.0,4.436694351634833,alf,alf,0.2963259564077627,14.0,16,0.0009375,0.0,0.0,0.0,0.0,0.9941512277363584,0.0013001538609171096,0.3125,0.0,0.0003125,1,0.0012594458438287153,0.001009229408291456,0.0067073024839200196,1.3123311000017566,20004,0,200,0.0025471032178407856,14.142412935323383
0.0,1.0,0.0053125,0.00891588217579611,0.08163265306122448,240,0.9992656328046954,115.0,0.0,1.0,7.1875,7.1875,3.0,5.0,1.0,0.4791666666666667,1.0,4.050346419025554,0.0,7.0,1.0,0.002588998648537133,0.001797296681282235,0.10760253459072795,0.05708358841928864,7.230721393034826,2.251865671641791,8.373134328358208,115.69154228855722,0.0,82.346434596722,7.230721393034826,1.0,1.0,3.0248756218905473,5.009950248756219,1.0,0.48204809286898936,4.491915422885572,4.965685557176233,419.3869475859767,26.211684224123545,1.0,4.059047965278713,alf,alf,0.3051927446741854,14.0,16,0.0046875,0.0,0.0,0.0,0.0,0.9951769602335807,0.002588998648537133,0.25,0.0,0.0009375,3,0.0015105740181268882,0.001797296681282235,0.00911551596026364,1.2309783000018797,20005,0,200,0.003984905850275363,13.760572139303482
0.0,1.0,0.0025,0.007325740947724565,0.08163265306122448,240,0.9996719990079365,123.0,0.0,1.0,7.6875,7.6875,3.0,5.0,1.0,0.5125,1.0,4.433356441357035,0.0,7.0,1.0,0.0024733528166932515,0.0024733528149262596,0.06898034702111334,0.07694505508025941,7.689365671641791,2.2512437810945274,6.753731343283582,123.02985074626865,0.0,90.6445619960411,7.689365671641791,1.0,1.0,3.0,5.0,1.0,0.5126243781094545,3.7487562189054726,5.286913023749703,461.6489633942304,28.8530602121394,1.0,4.468297665370752,alf,alf,0.5434258789360367,14.0,16,0.0025,0.0,0.0,0.0,0.0,0.9916445245165926,0.0024733528166932515,0.18781094527363185,0.0,0.0,0,0.0,0.0024733528149262596,0.011427360815433517,1.1765893999981927,20006,0,200,0.002634294157594922,13.875
0.0,1.0,0.00125,0.0065661462840960645,0.08163265306122448,240,0.9997699652777777,120.0,0.0,1.0,7.5,7.5,3.0,5.0,1.0,0.5,1.0,4.591925628351305,0.0,7.0,1.0,0.0036245010564720094,0.0031188250934592733,0.1548538402514789,0.10184793287619927,7.4471393034825875,2.368781094527363,6.475124378109452,119.1542288557214,0.0,87.94893273548482,7.4471393034825875,1.0,1.0,3.129353233830846,4.9502487562189055,1.0,0.4964759535655058,3.6343283582089554,5.2417166481593656,447.92023630428855,27.995014769018034,1.0,4.526442384395213,alf,alf,0.6663582417030727,14.0,16,0.00125,0.0,0.0,0.0,0.0,0.9896399998282184,0.0036245010564720094,0.0,0.0,0.000625,2,0.0009153318077803204,0.0031188250934592733,0.013504803755338522,1.30374650000158,20007,0,200,0.0029246043734792834,14.374378109452737
0.0,1.0,0.003125,0.007903303727908501,0.08163265306122448,240,0.9995680768883893,113.0,0.0,1.0,7.0625,7.0625,3.0,4.0,1.0,0.4708333333333333,1.0,4.077403680962392,0.0,7.0,1.0,0.0018529651702961197,0.0017434589457318616,0.05755736244152373,0.05671652078620613,7.0625,2.3700248756218905,7.8681592039801,113.0,0.0,78.0499626202221,7.0625,1.0,1.0,2.9751243781094527,4.029850746268656,1.0,0.4708333333333324,4.624378109452737,4.84193514687382,397.5051954926722,24.844074718292013,1.0,4.077603124054617,alf,alf,0.4947951198590514,14.0,16,0.003125,0.0,0.0,0.0,0.0,0.9880297405184462,0.0018529651702961197,0.125,0.0,0.0003125,1,0.0004589261128958238,0.0017434589457318616,0.007905378644262247,1.1021780999944895,20008,0,200,0.0035778242756674848,14.369402985074627
0.0,1.0,0.0028125,0.00901723068354739,0.08163265306122448,240,0.9996181795634921,113.0,0.0,1.0,7.0625,7.0625,5.0,5.0,1.0,0.4708333333333333,1.0,3.8478387387770674,0.0,7.0,1.0,0.0026755188900845304,0.0026755188881150927,0.05438293606593896,0.08501884747026066,7.034825870646766,2.621268656716418,8.227611940298507,112.55721393034825,0.0,91.83583118261784,7.034825870646766,1.0,1.0,4.990049751243781,4.990049751243781,1.0,0.4689883913764501,3.378731343283582,5.360004469247326,467.7160475413264,29.2322529713329,1.0,3.7849257930977815,alf,alf,1.061216866081448,14.0,16,0.0025,0.0,0.0,0.0,0.0,0.9923564103560376,0.0026755188900845304,0.06281094527363185,0.0,0.0,0,0.0,0.0026755188881150927,0.012081457377080055,1.2155772999976762,20009,0,200,0.003626727727246151,13.743781094527364
