experiment,method,density,metric,mean,ci95_low,ci95_high,bootstrap_scheme,n_top_level,n_episodes,n_bootstrap
canonical_analytical_density,alf,0.0816326530612,mean_fragmentation,0,0,0,episode,50,50,2000
canonical_analytical_density,alf,0.0816326530612,polar_order,0.99033327721,0.989068784298,0.991453063108,episode,50,50,2000
canonical_analytical_density,alf,0.0816326530612,mean_degree,7.26529228856,7.10819900498,7.42677798507,episode,50,50,2000
canonical_analytical_density,alf,0.0816326530612,mean_probe_degree,3.93144278607,3.77543034826,4.10242941542,episode,50,50,2000
canonical_analytical_density,alf,0.0816326530612,mean_radius,5.16674031884,5.07438529881,5.25314659123,episode,50,50,2000
canonical_analytical_density,alf,0.0816326530612,mean_radius_sq,27.6768564313,26.801549873,28.5405898897,episode,50,50,2000
canonical_analytical_density,alf,0.0816326530612,control_energy,0.00859191419678,0.00824594181334,0.00895588213235,episode,50,50,2000
canonical_analytical_density,alf,0.0816326530612,final_largest_scc_fraction,1,1,1,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.00444444444444,final_fragmentation,0.57625,0.54375,0.60875,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.00444444444444,mean_fragmentation,0.719160447761,0.702168843284,0.735827425373,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.00444444444444,polar_order,0.3724437762,0.330235758145,0.416529851329,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.00444444444444,mean_degree,1.03400497512,0.978100746269,1.08984421642,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.00444444444444,mean_probe_degree,1.03400497512,0.979763370647,1.08735789801,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.00444444444444,mean_radius,4,4,4,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.00444444444444,mean_radius_sq,16,16,16,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.00444444444444,control_energy,0.249802658435,0.219982600007,0.276969045743,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.00444444444444,final_largest_scc_fraction,0.42375,0.39125,0.4575,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.00756143667297,final_fragmentation,0.42125,0.37375,0.4675,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.00756143667297,mean_fragmentation,0.598675373134,0.574060323383,0.624128109453,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.00756143667297,polar_order,0.479347800483,0.430219537914,0.532321172687,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.00756143667297,mean_degree,1.43603233831,1.37855752488,1.49010074627,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.00756143667297,mean_probe_degree,1.43603233831,1.37932680348,1.48999751244,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.00756143667297,mean_radius,4,4,4,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.00756143667297,mean_radius_sq,16,16,16,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.00756143667297,control_energy,0.219131075111,0.190600273505,0.248996132973,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.00756143667297,final_largest_scc_fraction,0.57875,0.53,0.62375,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0123456790123,final_fragmentation,0.265,0.21371875,0.32,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0123456790123,mean_fragmentation,0.467151741294,0.43483550995,0.498982276119,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0123456790123,polar_order,0.597805809722,0.53923703314,0.652418598892,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0123456790123,mean_degree,1.81323383085,1.74461007463,1.88287562189,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0123456790123,mean_probe_degree,1.81323383085,1.74517661692,1.88124409204,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0123456790123,mean_radius,4,4,4,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0123456790123,mean_radius_sq,16,16,16,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0123456790123,control_energy,0.142823353655,0.122416800734,0.164466907888,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0123456790123,final_largest_scc_fraction,0.735,0.68,0.7875,episode,50,50,2000
