ci95_high,ci95_low,density,mean_radius,method,method_label,n_bootstrap,n_seeds,step
7.904628596423128,7.840407098876102,0.012345679012345678,7.872816678238256,alf,ALF,2000,50,0
7.900787304199631,7.835531118133377,0.012345679012345678,7.871402100196954,alf,ALF,2000,50,1
7.903798571554516,7.8367050147102875,0.012345679012345678,7.87012897995978,alf,ALF,2000,50,2
7.901448317824955,7.834988353249787,0.012345679012345678,7.868983171746326,alf,ALF,2000,50,3
7.899961960566924,7.832468569853858,0.012345679012345678,7.867951944354217,alf,ALF,2000,50,4
7.900572754494639,7.833755119637443,0.012345679012345678,7.867023839701318,alf,ALF,2000,50,5
7.89938705575017,7.829899257234233,0.012345679012345678,7.866188545513709,alf,ALF,2000,50,6
7.8966185455163105,7.828703103696791,0.012345679012345678,7.8654367807448615,alf,ALF,2000,50,7
7.896492389572933,7.826479866350162,0.012345679012345678,7.864760192452898,alf,ALF,2000,50,8
7.896684142896241,7.8262410121901205,0.012345679012345678,7.864151262990131,alf,ALF,2000,50,9
7.898460383388991,7.826142963925736,0.012345679012345678,7.863603226473641,alf,ALF,2000,50,10
7.898894706196393,7.827028235058267,0.012345679012345678,7.863109993608799,alf,ALF,2000,50,11
7.895073582745518,7.825667794860378,0.012345679012345678,7.862398134838012,alf,ALF,2000,50,12
7.89569578446472,7.824550129331335,0.012345679012345678,7.861757461944302,alf,ALF,2000,50,13
7.895616561346642,7.823916940021053,0.012345679012345678,7.861180856339964,alf,ALF,2000,50,14
7.894497583986977,7.822985151096825,0.012345679012345678,7.860502992673462,alf,ALF,2000,50,15
7.895452365269188,7.821941168218546,0.012345679012345678,7.859892915373609,alf,ALF,2000,50,16
7.893584168107339,7.8210174308711355,0.012345679012345678,7.859343845803743,alf,ALF,2000,50,17
7.8940701157119015,7.8223891556696845,0.012345679012345678,7.858849683190861,alf,ALF,2000,50,18
7.892845960936109,7.8199433251885395,0.012345679012345678,7.858404936839269,alf,ALF,2000,50,19
7.8944219996634875,7.817768393864633,0.012345679012345678,7.858004665122837,alf,ALF,2000,50,20
7.893997668460801,7.819875590588457,0.012345679012345678,7.857644420578047,alf,ALF,2000,50,21
7.893687000227823,7.818513236149816,0.012345679012345678,7.857454175083952,alf,ALF,2000,50,22
7.892688162070765,7.8165092423626525,0.012345679012345678,7.857282954139266,alf,ALF,2000,50,23
7.892953724296055,7.815049095195914,0.012345679012345678,7.85712885528905,alf,ALF,2000,50,24
7.892082942074257,7.816800877296426,0.012345679012345678,7.856990166323853,alf,ALF,2000,50,25
7.892096940431364,7.816822543754117,0.012345679012345678,7.856865346255177,alf,ALF,2000,50,26
7.891992389370845,7.818665674142741,0.012345679012345678,7.856753008193369,alf,ALF,2000,50,27
7.893494101423301,7.817852814210377,0.012345679012345678,7.856651903937742,alf,ALF,2000,50,28
7.892041975660818,7.817615327807142,0.012345679012345678,7.856560910107678,alf,ALF,2000,50,29
7.8924381417492455,7.815916523929709,0.012345679012345678,7.85647901566062,alf,ALF,2000,50,30
7.892731311794023,7.819153260730701,0.012345679012345678,7.856405310658268,alf,ALF,2000,50,31
7.892872804860343,7.8187661095281555,0.012345679012345678,7.85633897615615,alf,ALF,2000,50,32
