bootstrap_unit,ci95_high,ci95_low,comparison,density,half_width,metric,n_bootstrap,n_pairs,paired_mean_difference
shared evaluation seed,-0.016957866915422885,-0.058577425373134324,CRDF - ALF,0.03305785123966942,11.0,mean_largest_scc_fraction,2000,50,-0.0362997512437811
shared evaluation seed,-1.6133201181592038,-1.886199937810945,CRDF - ALF,0.03305785123966942,11.0,mean_degree,2000,50,-1.744483830845771
shared evaluation seed,-1.3905486501552842,-1.5300077039546107,CRDF - ALF,0.03305785123966942,11.0,mean_radius,2000,50,-1.460936934526239
shared evaluation seed,-57.68328773026004,-63.68611228881911,CRDF - ALF,0.03305785123966942,11.0,mean_interaction_area,2000,50,-60.66538505018284
shared evaluation seed,0.006669062499999999,0.005543593749999999,CRDF - ALF,0.03305785123966942,11.0,neighbor_loss_rate,2000,50,0.0061125
shared evaluation seed,-0.002711203109042802,-0.011081905593848144,CRDF - ALF,0.03305785123966942,11.0,polar_order,2000,50,-0.006425221367790113
shared evaluation seed,0.0004913515523346547,0.00016780916414711825,CRDF - ALF,0.03305785123966942,11.0,velocity_dispersion,2000,50,0.0003062709292608239
shared evaluation seed,5.312551164364248e-05,4.655736108239585e-06,CRDF - ALF,0.03305785123966942,11.0,control_energy,2000,50,2.8469231411668712e-05
shared evaluation seed,0.029471127010997723,0.02538496506772241,CRDF - ALF,0.03305785123966942,11.0,radius_temporal_variation,2000,50,0.027404303228976086
shared evaluation seed,0.35951214975948365,0.30093544390167676,CRDF - ALF,0.03305785123966942,11.0,radius_command_temporal_variation,2000,50,0.329693731218379
shared evaluation seed,0.0,0.0,CRDF - ALF,0.03305785123966942,11.0,radius_min_saturation_fraction,2000,50,0.0
shared evaluation seed,-0.3953103233830846,-0.48302876243781095,CRDF - ALF,0.03305785123966942,11.0,radius_max_saturation_fraction,2000,50,-0.43837686567164175
shared evaluation seed,-1.5151304415422886,-1.6640178793532336,CRDF - ALF,0.03305785123966942,11.0,mean_degree_error,2000,50,-1.5878669154228857
shared evaluation seed,-11.310546797263681,-12.689424129353233,CRDF - ALF,0.03305785123966942,11.0,mean_degree_error_sq,2000,50,-12.000242537313433
shared evaluation seed,0.29879640625,0.25682859375,CRDF - ALF,0.03305785123966942,11.0,radius_oscillation_frequency,2000,50,0.27858125
shared evaluation seed,0.0,0.0,CRDF - ALF,0.02040816326530612,14.0,final_fragmentation,2000,50,0.0
