contact_break_rate__A_aperture_main,contact_break_rate__B_base_main,contact_break_rate__I_interaction,contact_break_rate__abs_crmf_minus_fpcm_over_abs_I,contact_break_rate__alf,contact_break_rate__crdf,contact_break_rate__crmf,contact_break_rate__fpcm,contact_break_rate__identity_error,contact_break_rate__interaction_is_separable,contact_break_rate__raw_a,contact_break_rate__raw_b,contact_break_rate__total_CRMF_minus_ALF,density,geometry,mean_abs_radius_update__A_aperture_main,mean_abs_radius_update__B_base_main,mean_abs_radius_update__I_interaction,mean_abs_radius_update__abs_crmf_minus_fpcm_over_abs_I,mean_abs_radius_update__alf,mean_abs_radius_update__crdf,mean_abs_radius_update__crmf,mean_abs_radius_update__fpcm,mean_abs_radius_update__identity_error,mean_abs_radius_update__interaction_is_separable,mean_abs_radius_update__raw_a,mean_abs_radius_update__raw_b,mean_abs_radius_update__total_CRMF_minus_ALF,mean_largest_scc_fraction__A_aperture_main,mean_largest_scc_fraction__B_base_main,mean_largest_scc_fraction__I_interaction,mean_largest_scc_fraction__abs_crmf_minus_fpcm_over_abs_I,mean_largest_scc_fraction__alf,mean_largest_scc_fraction__crdf,mean_largest_scc_fraction__crmf,mean_largest_scc_fraction__fpcm,mean_largest_scc_fraction__identity_error,mean_largest_scc_fraction__interaction_is_separable,mean_largest_scc_fraction__raw_a,mean_largest_scc_fraction__raw_b,mean_largest_scc_fraction__total_CRMF_minus_ALF,n_agents,realized_degree__alf,realized_degree__crdf,realized_degree__crmf,realized_degree__fpcm,saturated_corner_count,saturation__alf,saturation__crdf,saturation__crmf,saturation__fpcm,saturation__max_over_corners,saturation__min_over_corners,saturation__spread
0.0008843749999999997,-0.0014343749999999999,-0.002531249999999999,0.15061728395061735,0.00246875,0.00461875,0.0019187499999999999,0.0023,0.0,1,0.002149999999999999,-0.00016875000000000028,-0.0005500000000000001,0.0123,clustered,0.0015744938136348736,-0.0005235386035402625,-0.01845452480422784,0.41468250576280535,0.002369187461032641,0.013170943676781434,0.0034201426711272524,0.011072911259606298,-4.336808689942018e-19,1,0.010801756215748793,0.008703723798573659,0.0010509552100946115,-0.0703544776119403,0.08453980099502495,-0.0570646766169155,1.7328901482127272,0.7839241293532337,0.7421019900497512,0.7981094527363184,0.8969962686567164,0.0,1,-0.04182213930348255,0.1130721393034827,0.014185323383084647,16,5.834378109452737,4.844968905472637,5.9469154228855725,7.267139303482587,2,0.06827114427860696,0.001654228855721393,0.03250621890547264,0.0825,0.0825,0.001654228855721393,0.08084577114427861
0.0007187499999999999,-0.0013125000000000003,-0.0029875000000000006,0.25941422594142266,0.00179375,0.00400625,0.0012,0.001975,-3.2526065174565133e-19,1,0.0022125,0.00018125,-0.0005937500000000001,0.0123,elongated,0.003615712693093247,-0.0012405136986042942,-0.017161944696124223,0.28931800812120073,0.002113519643203456,0.014310204684358814,0.0044887186376924085,0.009453978292661274,4.336808689942018e-19,1,0.01219668504115536,0.007340458649457817,0.0023751989944889524,-0.033196517412935334,0.07725746268656714,0.0016293532338308436,19.87404580152675,0.8853296019900497,0.851318407960199,0.9293905472636815,0.9617723880597014,0.0,1,-0.034011194029850755,0.07644278606965171,0.0440609452736318,16,5.096542288557214,4.199745024875622,5.431007462686567,6.245205223880597,3,0.13681592039800994,0.002195273631840796,0.12364427860696518,0.16875,0.16875,0.002195273631840796,0.1665547263681592
0.000959375,-0.001103125,-0.00191875,0.0,0.00078125,0.0027,0.0006375,0.0006375,1.0842021724855044e-19,0,0.00191875,-0.0001437499999999999,-0.00014375,0.0123,uniform,0.012753651010636597,-0.012487139332831012,-0.025505149269933206,4.2202288588978933e-05,0.0004567372282088463,0.025962962873812046,0.0007232489060144312,0.0007221725303444365,-1.6263032587282567e-19,0,0.0255062256456032,0.0002654353021355905,0.0002665116778055849,-0.09035136815920392,0.10648320895522384,0.18061567164179115,0.0002410219329952429,0.9143594527363185,0.733700248756219,0.9304912935323384,0.9305348258706467,0.0,0,-0.1806592039800995,0.016175373134328264,0.016131840796019925,16,2.9344154228855723,2.0943781094527365,3.020192786069652,3.032375621890547,4,0.8522450248756219,0.10371268656716419,0.884912935323383,0.8925,0.8925,0.10371268656716419,0.7887873134328358
-0.0033906250000000004,0.0029406249999999997,-0.00760625,0.9457682826622843,0.00251875,0.0029312500000000003,0.00206875,0.0092625,-4.336808689942018e-19,1,0.00041249999999999967,0.00674375,-0.0004500000000000003,0.0204,clustered,-0.0017517542809811835,0.001913759033694173,-0.01485435457465542,0.6179286701537363,0.002294968524623328,0.007970391530969855,0.0024569732773363174,0.011635904845645213,0.0,1,0.005675423006346526,0.009340936321021884,0.00016200475271298947,0.0014490049751244016,-0.002332089552238681,0.0026243781094527074,1.052132701421816,0.7952300995024875,0.7953669154228855,0.7943470149253732,0.7915858208955224,0.0,1,0.0001368159203980479,-0.0036442786069650346,-0.0008830845771142792,16,6.196592039800995,5.797667910447761,6.030292288557214,6.517531094527364,0,0.006592039800995026,9.328358208955223e-05,0.0025870646766169153,0.01875,0.01875,9.328358208955223e-05,0.018656716417910446
-0.0010531249999999998,0.00027187499999999966,-0.004406249999999999,0.7390070921985817,0.0023250000000000002,0.0034750000000000002,0.0015437500000000002,0.0048,-1.0842021724855044e-19,1,0.0011499999999999995,0.002474999999999999,-0.00078125,0.0204,elongated,0.0004710994355255245,0.00114920655654549,-0.01608869064926253,0.4707185969451704,0.0021640334608113705,0.01067947822096816,0.0037843394528823855,0.011357585341988125,-4.336808689942018e-19,1,0.008515444760156789,0.009193551881176754,0.001620305992071015,0.008317786069651723,0.019785447761193953,0.048986318407960194,0.6697981465024752,0.913837064676617,0.8976616915422886,0.9419402985074626,0.9091293532338308,0.0,1,-0.016175373134328375,-0.004707711442786144,0.028103233830845675,16,5.610460199004975,4.930161691542288,5.828271144278607,6.8053917910447765,1,0.04462064676616915,0.0003482587064676617,0.03473880597014925,0.07,0.07,0.0003482587064676617,0.06965174129353234
0.0018999999999999998,-0.0021999999999999997,-0.003649999999999999,0.020547945205479482,0.0012875,0.0050125,0.0009875,0.0009125,0.0,0,0.003724999999999999,-0.0003750000000000001,-0.0002999999999999999,0.0204,uniform,0.013914850232519097,-0.012730582543963986,-0.028199729251463045,0.006560857076414175,0.0008082067709293519,0.02882292162917997,0.001992474459484463,0.002177488852696888,6.505213034913027e-19,0,0.02801471485825062,0.0013692820817675366,0.0011842676885551108,-0.08421019900497517,0.10657960199004979,0.16542288557213936,0.009060150375939982,0.9706032338308458,0.8036815920398009,0.9929726368159204,0.9944713930348259,0.0,0,-0.16692164179104485,0.02386815920398011,0.022369402985074616,16,3.8789179104477616,2.5871828358208955,4.083420398009951,4.217730099502488,3,0.6712562189054726,0.02763059701492537,0.6631840796019901,0.71875,0.71875,0.02763059701492537,0.6911194029850747
-0.008678125,0.008571875,-0.01613125,1.0379697791553664,0.0024124999999999997,0.0018,0.00230625,0.01905,-8.673617379884035e-19,1,-0.0006125000000000002,0.0166375,-0.00010624999999999957,0.0331,clustered,-0.003015734851589364,0.004015365739948509,-0.012657894575360106,0.7382493260340312,0.0019023765829379832,0.005215589019028672,0.002902007471297128,0.012246689610566545,-2.168404344971009e-19,1,0.003313212436090689,0.010344313027628562,0.0009996308883591448,0.1587810945273631,-0.1659079601990049,0.2841666666666667,1.0587604499496648,0.8437935323383084,0.8604912935323382,0.8366666666666667,0.5358022388059702,0.0,1,0.01669776119402977,-0.30799129353233823,-0.00712686567164178,16,6.57151119402985,6.66098880597015,6.08292288557214,4.543669154228856,0,0.00125,6.218905472636816e-06,6.218905472636816e-06,0.00125,0.00125,6.218905472636816e-06,0.0012437810945273632
-0.00358125,0.0031999999999999997,-0.008150000000000001,0.9394171779141103,0.0024875,0.0029812500000000004,0.00210625,0.0097625,0.0,1,0.0004937500000000007,0.007275,-0.0003812500000000001,0.0331,elongated,-0.0008033662358168168,0.0018252843010854612,-0.015723029322191644,0.5510948761434247,0.0018121680861547657,0.008870316511433772,0.00283408615142341,0.01149896704833605,2.168404344971009e-19,1,0.007058148425279005,0.009686798962181283,0.0010219180652686441,0.0719931592039802,-0.08054415422885575,0.1615111940298506,0.9457471795464182,0.9507587064676616,0.9419962686567165,0.942207711442786,0.7894589552238805,0.0,1,-0.0087624378109451,-0.16129975124378104,-0.008550995024875552,16,6.15021144278607,5.779657960199005,6.019564676616916,6.60205223880597,0,0.011380597014925373,6.840796019900498e-05,6.840796019900498e-05,0.01375,0.01375,6.840796019900498e-05,0.013681592039800995
0.003671875,-0.003709375,-0.00573125,0.1406761177753544,0.00173125,0.00826875,0.00169375,0.0008874999999999999,-2.168404344971009e-19,1,0.0065375,-0.0008437499999999999,-3.749999999999999e-05,0.0331,uniform,0.0124265119529758,-0.010715018579804024,-0.027584535807440982,0.04951165248089024,0.0011003642392088942,0.027319144095905187,0.0028118576123806705,0.004177613563125362,-2.168404344971009e-19,0,0.02621877985669629,0.003077249323916467,0.0017114933731717764,-0.023364427860696535,0.0373507462686567,0.04572139303482581,0.011017410228510334,0.9844029850746269,0.9381778606965174,0.998389303482587,0.9988930348258707,0.0,0,-0.04622512437810944,0.014490049751243794,0.013986318407960163,16,5.3683955223880595,3.2357400497512434,5.399384328358209,6.3618407960199015,3,0.44333333333333336,0.002549751243781094,0.31406716417910446,0.51,0.51,0.002549751243781094,0.5074502487562189
-0.00315625,0.003140625,-0.009162499999999999,0.844474761255116,0.0047875,0.006212499999999999,0.004771875,0.012509375,0.0,1,0.0014249999999999992,0.007721875,-1.5625000000000014e-05,0.0123,clustered,0.001212827196013391,-0.0005166859523699861,-0.017534077648346424,0.4308302825881594,0.002854140744783363,0.012834006764969964,0.0035502819884267677,0.011104493616586587,0.0,1,0.009979866020186603,0.008250352871803226,0.0006961412436434049,-0.010175684079601954,-0.01567941542288559,0.12164490049751231,0.41634927532527305,0.7376772388059701,0.666679104477612,0.7118221393034826,0.6611753731343284,0.0,1,-0.07099813432835811,-0.07650186567164174,-0.025855099502487544,32,6.586766169154228,5.543535447761194,5.9853016169154225,7.542260572139304,2,0.08927549751243781,0.0018407960199004975,0.028078358208955226,0.11739738805970149,0.11739738805970149,0.0018407960199004975,0.11555659203980098
