method,method_label,seed,n_density_cells,density_cell_mean_final_fragmentation,density_cell_mean_mean_fragmentation,density_cell_mean_final_largest_scc_fraction,density_cell_mean_mean_largest_scc_fraction,density_cell_mean_mean_degree,density_cell_mean_mean_radius,density_cell_mean_mean_interaction_area,density_cell_mean_radius_temporal_variation,density_cell_mean_radius_command_temporal_variation,density_cell_mean_neighbor_loss_rate,density_cell_mean_contact_break_rate,density_cell_mean_control_energy
alf,ALF,20000,5,0.0,0.023694029850746267,0.9,0.8958333333333334,5.306094527363184,7.282654856378241,169.6414637015277,0.001365175267971783,0.0018030157535468942,0.001375,0.0014375,0.011840454316479036
alf,ALF,20001,5,0.0,0.003980099502487562,1.0,0.9960199004975123,5.6375,6.7943075653292695,151.49766574984068,0.0017526599025657202,0.001819827057687465,0.0021875,0.002375,0.01004400840959003
alf,ALF,20002,5,0.0,0.008146766169154229,1.0,0.9918532338308458,5.6494402985074625,6.9935678130343435,158.79140052658562,0.0012606654234185543,0.0014371120669701624,0.001875,0.0021875,0.012447267358095562
alf,ALF,20003,5,0.0,0.0018034825870646767,1.0,0.9967039800995025,5.572325870646766,6.692953054568354,147.53042722034215,0.0016688113903248667,0.0018534465811124207,0.003125,0.0033750000000000004,0.010887968466936326
alf,ALF,20004,5,0.0,0.031778606965174136,1.0,0.9682213930348258,4.971393034825871,6.974897475597066,158.13710184435635,0.0008038924988741137,0.0011276828263654336,0.0010624999999999999,0.001125,0.010281636410796172
alf,ALF,20005,5,0.0,0.037251243781094526,0.9625,0.9263681592039801,5.273445273631841,6.642398136698715,145.29643761119058,0.001222413838387655,0.0017025430197776365,0.0021874999999999998,0.0025625,0.010932659512946804
alf,ALF,20006,5,0.0,0.009577114427860696,1.0,0.9904228855721392,5.210634328358209,7.043728728354973,160.59396144518365,0.0012617987689750078,0.0012617987699264932,0.00125,0.001375,0.008331023220936156
alf,ALF,20007,5,0.0,0.0003109452736318408,1.0,0.9996890547263682,5.4962064676616915,6.959597874115223,156.41702447809968,0.0015344814420367257,0.0017599776103133676,0.0021874999999999998,0.0023125,0.008742895470875497
alf,ALF,20008,5,0.0,0.004788557213930349,1.0,0.9949004975124378,5.552114427860697,6.628306649892752,145.37197234539198,0.0013400905999411052,0.002143178374747429,0.002,0.0020625,0.009816802658356074
alf,ALF,20009,5,0.0,0.010012437810945274,1.0,0.9899875621890548,5.162624378109453,7.068040605408605,161.23571090461098,0.0013920901758661388,0.0015979282244188442,0.0016875000000000002,0.0019375,0.012190219161438922
alf,ALF,20010,5,0.0,0.004228855721393035,1.0,0.9957711442786069,5.3613184079602,7.119255857934649,164.25774984846723,0.001532417405791811,0.0015964970409720544,0.0030625,0.0033125000000000003,0.013189112044599948
alf,ALF,20011,5,0.0,0.00541044776119403,1.0,0.9932835820895523,5.229664179104478,6.445401219805136,137.46793720470464,0.0010313997078233036,0.0013030567226240764,0.0014375,0.0016875000000000002,0.007332521313731242
alf,ALF,20012,5,0.0,0.011380597014925373,1.0,0.9886194029850746,5.348445273631841,7.306249059203535,171.35139233205103,0.0011219515459483496,0.0011801364371131471,0.002,0.002125,0.0182080040769277
alf,ALF,20013,5,0.0,0.04906716417910448,0.8375,0.8404850746268657,4.776679104477612,6.639853350110211,143.9195622790362,0.0011589668775573146,0.0012172158550543056,0.0016250000000000001,0.0018124999999999999,0.01190187443548851
alf,ALF,20014,5,0.0,0.006840796019900497,1.0,0.9825870646766169,5.190858208955224,6.349344851506823,131.32421901242168,0.0021133514824046846,0.0023004792262840937,0.002125,0.0023125,0.008318505079002171
alf,ALF,20015,5,0.0,0.028358208955223885,1.0,0.9715174129353233,5.417661691542288,7.287098060259308,170.091916494361,0.001190699702395491,0.0013700029349648479,0.00225,0.0024375,0.02124915685411247
alf,ALF,20016,5,0.0,0.0,1.0,1.0,5.320460199004975,6.667977782425292,145.44680690402353,0.001794055514294966,0.0021776147820718283,0.0015,0.0015,0.009259889841692756
alf,ALF,20017,5,0.025,0.0291044776119403,0.975,0.9708955223880598,4.962624378109453,6.9143734127950385,155.14025224703045,0.0015119887969324325,0.0018054895168597516,0.0023125,0.002625,0.011325009941411732
