method,candidate_target_degree,n_episodes,reference_alf_area,mean_interaction_area,absolute_area_error,mean_final_fragmentation,mean_final_largest_scc_fraction
stardisplay,4.0,100,155.651032164468,64.58655673566696,91.06447542880105,0.03125,0.683125
stardisplay,5.0,100,155.651032164468,73.25583074354059,82.39520142092742,0.02125,0.75125
stardisplay,6.0,100,155.651032164468,80.36980383443876,75.28122833002925,0.011875,0.813125
stardisplay,7.0,100,155.651032164468,86.44951436820622,69.20151779626178,0.013125,0.855625
stardisplay,8.0,100,155.651032164468,91.97932636088147,63.67170580358653,0.00375,0.89625
stardisplay,9.0,100,155.651032164468,96.6045518808682,59.046480283599806,0.005,0.9075
stardisplay,10.0,100,155.651032164468,100.70257469991111,54.948457464556896,0.00625,0.904375
stardisplay,11.0,100,155.651032164468,104.49496195423302,51.15607021023499,0.004375,0.911875
stardisplay,12.0,100,155.651032164468,107.83619248665904,47.81483967780896,0.00625,0.921875
stardisplay,14.0,100,155.651032164468,113.79132585085307,41.859706313614936,0.0025,0.9375
stardisplay,15.0,100,155.651032164468,116.40408166317178,39.246950501296226,0.009375,0.93875
