absolute_area_error,candidate_cap,mean_interaction_area,method,n_tuning_seeds,reference_area,sd_interaction_area
41.51691090544648,7.0,152.0472549370696,alf,20,193.56416584251608,3.81717435312757
37.70163081039192,7.1,155.86253503212416,alf,20,193.56416584251608,4.171620448237652
33.72898449115223,7.2,159.83518135136384,alf,20,193.56416584251608,4.4487220334655895
29.73305230888755,7.3,163.83111353362852,alf,20,193.56416584251608,4.834980998308187
25.78191508642493,7.4,167.78225075609114,alf,20,193.56416584251608,5.213735755187045
21.643560514690307,7.5,171.92060532782577,alf,20,193.56416584251608,5.684422135543108
17.366067074642643,7.6,176.19809876787343,alf,20,193.56416584251608,6.060238277693868
13.128677393350756,7.7,180.43548844916532,alf,20,193.56416584251608,6.6124573195574055
8.84618049238685,7.8,184.71798535012923,alf,20,193.56416584251608,7.1157717900612925
4.487424156763183,7.9,189.0767416857529,alf,20,193.56416584251608,7.62675947497897
0.0,8.0,193.56416584251608,alf,20,193.56416584251608,8.102127000432372
39.81712986439439,7.0,153.7470359781217,crmf,20,193.56416584251608,0.4036070001379158
35.43816942585093,7.1,158.12599641666515,crmf,20,193.56416584251608,0.518996576322763
31.023634162084335,7.2,162.54053168043174,crmf,20,193.56416584251608,0.6546465353389824
26.557128398308606,7.3,167.00703744420747,crmf,20,193.56416584251608,0.8666005944932368
22.027405809484236,7.4,171.53676003303184,crmf,20,193.56416584251608,1.0936565203165451
17.44371977507646,7.5,176.12044606743962,crmf,20,193.56416584251608,1.3337398627929564
12.762844319784278,7.6,180.8013215227318,crmf,20,193.56416584251608,1.4523099446838725
8.094136767538686,7.7,185.4700290749774,crmf,20,193.56416584251608,1.8339379685623036
3.296474006683553,7.8,190.26769183583252,crmf,20,193.56416584251608,1.9981421091223979
1.5274301434010908,7.9,195.09159598591717,crmf,20,193.56416584251608,2.2091199575178178
6.345429542432214,8.0,199.9095953849483,crmf,20,193.56416584251608,2.7625622568511568
