comparison,method,half_width,density,metric,n_pairs,n_bootstrap,paired_mean_difference,ci95_low,ci95_high
knn_k6 - alf,knn_k6,7.0,0.08163265306122448,radius_temporal_variation,50,2000,-0.0021675404421489016,-0.002369266222219378,-0.001971206573491741
knn_k6 - alf,knn_k6,7.0,0.08163265306122448,radius_command_temporal_variation,50,2000,-0.002628366597755285,-0.0028637976957249017,-0.0023905190959969077
knn_k6 - alf,knn_k6,7.0,0.08163265306122448,neighbor_loss_rate,50,2000,-0.0032687500000000004,-0.0036875000000000002,-0.002887343750000001
knn_k6 - alf,knn_k6,7.0,0.08163265306122448,contact_break_rate,50,2000,0.00059375,6.234374999999998e-05,0.0010875
knn_k6 - alf,knn_k6,7.0,0.08163265306122448,control_energy,50,2000,4.7487269812114885e-05,-1.9599262787545058e-05,0.00011102220355550384
fixed_r8_retained - alf,fixed_r8_retained,7.0,0.08163265306122448,final_fragmentation,50,2000,0.0,0.0,0.0
fixed_r8_retained - alf,fixed_r8_retained,7.0,0.08163265306122448,mean_fragmentation,50,2000,0.0,0.0,0.0
fixed_r8_retained - alf,fixed_r8_retained,7.0,0.08163265306122448,final_largest_scc_fraction,50,2000,0.0,0.0,0.0
fixed_r8_retained - alf,fixed_r8_retained,7.0,0.08163265306122448,mean_largest_scc_fraction,50,2000,0.0,0.0,0.0
fixed_r8_retained - alf,fixed_r8_retained,7.0,0.08163265306122448,mean_degree,50,2000,4.072157960199005,3.8605584577114436,4.294996890547264
fixed_r8_retained - alf,fixed_r8_retained,7.0,0.08163265306122448,mean_radius,50,2000,1.5832596811637771,1.5017556227797964,1.666732979540788
fixed_r8_retained - alf,fixed_r8_retained,7.0,0.08163265306122448,mean_interaction_area,50,2000,56.189406440086074,53.457875260968756,58.897225923063395
fixed_r8_retained - alf,fixed_r8_retained,7.0,0.08163265306122448,radius_temporal_variation,50,2000,-0.0021675404421489016,-0.0023642666116421643,-0.0019698458977322523
fixed_r8_retained - alf,fixed_r8_retained,7.0,0.08163265306122448,radius_command_temporal_variation,50,2000,-0.002628366597755285,-0.0028639058079208157,-0.002388092103716291
fixed_r8_retained - alf,fixed_r8_retained,7.0,0.08163265306122448,neighbor_loss_rate,50,2000,-0.0019312499999999998,-0.00233125,-0.0015375
fixed_r8_retained - alf,fixed_r8_retained,7.0,0.08163265306122448,contact_break_rate,50,2000,-0.0019500000000000001,-0.0023750000000000004,-0.001518593750000001
fixed_r8_retained - alf,fixed_r8_retained,7.0,0.08163265306122448,control_energy,50,2000,-0.00014236386328553158,-0.00021912569543614536,-6.041996382499545e-05
crmf - alf,crmf,9.0,0.04938271604938271,final_fragmentation,50,2000,0.0,0.0,0.0
crmf - alf,crmf,9.0,0.04938271604938271,mean_fragmentation,50,2000,0.0,0.0,0.0
crmf - alf,crmf,9.0,0.04938271604938271,final_largest_scc_fraction,50,2000,0.00625,0.0,0.01875
crmf - alf,crmf,9.0,0.04938271604938271,mean_largest_scc_fraction,50,2000,0.005907960199004976,0.0,0.017723880597014928
crmf - alf,crmf,9.0,0.04938271604938271,mean_degree,50,2000,-0.1922014925373134,-0.302532027363184,-0.08972870024875619
crmf - alf,crmf,9.0,0.04938271604938271,mean_radius,50,2000,-0.0770290295035303,-0.14868856895490742,-0.003199647205045975
crmf - alf,crmf,9.0,0.04938271604938271,mean_interaction_area,50,2000,-4.871342802756235,-7.687381276824647,-1.872140615321427
crmf - alf,crmf,9.0,0.04938271604938271,radius_temporal_variation,50,2000,0.0013471168068380163,0.0010114418121932507,0.0017420409682996384
crmf - alf,crmf,9.0,0.04938271604938271,radius_command_temporal_variation,50,2000,0.01138957906995288,0.009132607132623429,0.014809727790994702
crmf - alf,crmf,9.0,0.04938271604938271,neighbor_loss_rate,50,2000,0.00075625,0.00036234375,0.00111875
crmf - alf,crmf,9.0,0.04938271604938271,contact_break_rate,50,2000,0.000775,0.00041874999999999996,0.0011751562499999993
crmf - alf,crmf,9.0,0.04938271604938271,control_energy,50,2000,-6.056821523639493e-06,-1.735315656391603e-05,3.7303041414812653e-06
stardisplay - alf,stardisplay,9.0,0.04938271604938271,final_fragmentation,50,2000,0.0,0.0,0.0
stardisplay - alf,stardisplay,9.0,0.04938271604938271,mean_fragmentation,50,2000,0.0,0.0,0.0
stardisplay - alf,stardisplay,9.0,0.04938271604938271,final_largest_scc_fraction,50,2000,0.00125,-0.01125,0.0175
stardisplay - alf,stardisplay,9.0,0.04938271604938271,mean_largest_scc_fraction,50,2000,0.0010883084577114422,-0.012095771144278608,0.01744869402985072
stardisplay - alf,stardisplay,9.0,0.04938271604938271,mean_degree,50,2000,-1.5842537313432836,-1.7434528917910448,-1.4226859452736316
stardisplay - alf,stardisplay,9.0,0.04938271604938271,mean_radius,50,2000,-0.8136276295368701,-0.9048204339060475,-0.7293147667760327
stardisplay - alf,stardisplay,9.0,0.04938271604938271,mean_interaction_area,50,2000,-34.606425638078925,-38.090325136624266,-31.01589971828063
stardisplay - alf,stardisplay,9.0,0.04938271604938271,radius_temporal_variation,50,2000,0.018483394428586618,0.017432164808738587,0.01942444681553773
stardisplay - alf,stardisplay,9.0,0.04938271604938271,radius_command_temporal_variation,50,2000,0.16658243864347963,0.1522542154012535,0.18129961241344703
stardisplay - alf,stardisplay,9.0,0.04938271604938271,neighbor_loss_rate,50,2000,0.01349375,0.01292484375,0.014037500000000001
stardisplay - alf,stardisplay,9.0,0.04938271604938271,contact_break_rate,50,2000,0.01336875,0.01279359375,0.0139375
stardisplay - alf,stardisplay,9.0,0.04938271604938271,control_energy,50,2000,-0.0001575637344380398,-0.00022187999563057743,-9.459581787845094e-05
density_oracle - alf,density_oracle,9.0,0.04938271604938271,final_fragmentation,50,2000,0.0,0.0,0.0
density_oracle - alf,density_oracle,9.0,0.04938271604938271,mean_fragmentation,50,2000,0.0,0.0,0.0
density_oracle - alf,density_oracle,9.0,0.04938271604938271,final_largest_scc_fraction,50,2000,0.00625,0.0,0.01875
density_oracle - alf,density_oracle,9.0,0.04938271604938271,mean_largest_scc_fraction,50,2000,0.005758706467661692,-0.00044776119402985205,0.017723880597014928
density_oracle - alf,density_oracle,9.0,0.04938271604938271,mean_degree,50,2000,-0.8332587064676616,-1.0227994402985072,-0.653729633084577
density_oracle - alf,density_oracle,9.0,0.04938271604938271,mean_radius,50,2000,-0.2286809995321187,-0.3357736817545124,-0.1294915090577676
density_oracle - alf,density_oracle,9.0,0.04938271604938271,mean_interaction_area,50,2000,-13.620604233912074,-17.797702332875144,-9.769832139778309
density_oracle - alf,density_oracle,9.0,0.04938271604938271,radius_temporal_variation,50,2000,0.0034113372517470012,0.003049471406093307,0.0037921255540750228
density_oracle - alf,density_oracle,9.0,0.04938271604938271,radius_command_temporal_variation,50,2000,0.008770393559123598,0.00829011694562638,0.00922302886510994
density_oracle - alf,density_oracle,9.0,0.04938271604938271,neighbor_loss_rate,50,2000,0.0040125,0.0034248437500000004,0.00456875
density_oracle - alf,density_oracle,9.0,0.04938271604938271,contact_break_rate,50,2000,0.00394375,0.00333125,0.004543906249999999
density_oracle - alf,density_oracle,9.0,0.04938271604938271,control_energy,50,2000,-3.6579505426770355e-06,-1.320700456304825e-05,6.200875105922671e-06
knn_k6 - alf,knn_k6,9.0,0.04938271604938271,final_fragmentation,50,2000,0.0,0.0,0.0
knn_k6 - alf,knn_k6,9.0,0.04938271604938271,mean_fragmentation,50,2000,0.0,0.0,0.0
knn_k6 - alf,knn_k6,9.0,0.04938271604938271,final_largest_scc_fraction,50,2000,0.00625,0.0,0.01875
knn_k6 - alf,knn_k6,9.0,0.04938271604938271,mean_largest_scc_fraction,50,2000,0.005883084577114428,-5.597014925373235e-05,0.01771766169154229
knn_k6 - alf,knn_k6,9.0,0.04938271604938271,mean_degree,50,2000,-0.8379291044776118,-0.9936847014925373,-0.6892173507462686
knn_k6 - alf,knn_k6,9.0,0.04938271604938271,mean_radius,50,2000,1.786713418752017,1.676705897402063,1.9000212618660188
knn_k6 - alf,knn_k6,9.0,0.04938271604938271,mean_interaction_area,50,2000,77.96289814679687,73.70839024351876,82.19664193438392
knn_k6 - alf,knn_k6,9.0,0.04938271604938271,radius_temporal_variation,50,2000,-0.002177349254010074,-0.0024101829829706375,-0.0019542614695685166
knn_k6 - alf,knn_k6,9.0,0.04938271604938271,radius_command_temporal_variation,50,2000,-0.0026184370510870174,-0.002949628696046721,-0.0023110079897682746
knn_k6 - alf,knn_k6,9.0,0.04938271604938271,neighbor_loss_rate,50,2000,-0.00280625,-0.0031562499999999998,-0.0024375
knn_k6 - alf,knn_k6,9.0,0.04938271604938271,contact_break_rate,50,2000,0.0004625,5.000000000000001e-05,0.0008501562499999992
knn_k6 - alf,knn_k6,9.0,0.04938271604938271,control_energy,50,2000,1.5723054163794408e-06,-7.103248344103473e-05,6.999560580976377e-05
fixed_r8_retained - alf,fixed_r8_retained,9.0,0.04938271604938271,final_fragmentation,50,2000,0.0,0.0,0.0
