label,n_episodes,polar_order_mean,polar_order_std,polar_order_ci95_low,polar_order_ci95_high,final_fragmentation_mean,final_fragmentation_std,final_fragmentation_ci95_low,final_fragmentation_ci95_high,mean_fragmentation_mean,mean_fragmentation_std,mean_fragmentation_ci95_low,mean_fragmentation_ci95_high,largest_component_fraction_mean,largest_component_fraction_std,largest_component_fraction_ci95_low,largest_component_fraction_ci95_high,velocity_dispersion_mean,velocity_dispersion_std,velocity_dispersion_ci95_low,velocity_dispersion_ci95_high,neighbor_loss_rate_mean,neighbor_loss_rate_std,neighbor_loss_rate_ci95_low,neighbor_loss_rate_ci95_high,contact_break_rate_mean,contact_break_rate_std,contact_break_rate_ci95_low,contact_break_rate_ci95_high,control_energy_mean,control_energy_std,control_energy_ci95_low,control_energy_ci95_high,episode_return_mean,episode_return_std,episode_return_ci95_low,episode_return_ci95_high,minimum_agent_distance_mean,minimum_agent_distance_std,minimum_agent_distance_ci95_low,minimum_agent_distance_ci95_high,obstacle_collision_rate_mean,obstacle_collision_rate_std,obstacle_collision_rate_ci95_low,obstacle_collision_rate_ci95_high,obstacle_proximity_rate_mean,obstacle_proximity_rate_std,obstacle_proximity_rate_ci95_low,obstacle_proximity_rate_ci95_high
alf_agents8,50,0.98123941684905,0.017200221206060084,0.9764717587723862,0.9860070749257138,0.0,0.0,0.0,0.0,0.010845771144278607,0.022116638294802673,0.004715351777479028,0.016976190511078185,1.0,0.0,1.0,1.0,0.006947180825587009,0.004255036881761925,0.005767744775736263,0.008126616875437755,0.00048750000000000003,0.0007319707985978675,0.0002846080459949188,0.0006903919540050813,0.0005,0.000739509972887452,0.0002950182934991515,0.0007049817065008485,0.01335867292578027,0.008795392056102209,0.010920714630283119,0.015796631221277422,-0.013913371066889661,0.008877129853819764,-0.016373985923996585,-0.011452756209782738,2.0912006934861367,1.0596062093236087,1.797492836974099,2.3849085499981744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alf_agents32,50,0.9788677420612626,0.012562960079467354,0.9753854671897875,0.9823500169327377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.004683631411127583,0.0007854988839377131,0.004465902228848429,0.004901360593406737,0.00416875,0.0014050133451323514,0.003779300170111733,0.004558199829888266,0.004434375,0.0014405165360470529,0.004035084187668311,0.004833665812331689,0.00860037105776744,0.0007067970397382262,0.00840445691371662,0.008796285201818257,-0.009058559468382325,0.0007597284365951266,-0.00926914544709798,-0.00884797348966667,0.42517349101271223,0.23657689725889686,0.3595977207097673,0.49074926131565716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alf_noise002,50,0.9547444163451582,0.05097903330161433,0.9406137492479629,0.9688750834423534,0.0,0.0,0.0,0.0,4.3532338308457714e-05,0.000304726368159204,-4.0933501573577135e-05,0.00012799817819049257,1.0,0.0,1.0,1.0,0.005628616107527626,0.0013259291799597082,0.005261087289834756,0.005996144925220496,0.0030125,0.0015048878695769995,0.002595366364338717,0.003429633635661283,0.003175,0.0016218238190383073,0.002725453372829914,0.0036245466271700856,0.013911050553266286,0.0012931599294370502,0.013552604908402934,0.014269496198129639,-0.014575565479087789,0.0013824515410749741,-0.014958761495955304,-0.014192369462220274,0.8730432878434032,0.47072734225837953,0.7425643254894814,1.003522250197325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alf_noise005,50,0.8818548057656467,0.10778641336027707,0.85197793627337,0.9117316752579233,0.0,0.0,0.0,0.0,9.328358208955223e-05,0.0006529850746268656,-8.771464622909386e-05,0.0002742818104081983,1.0,0.0,1.0,1.0,0.011239762562056853,0.0018659872816832192,0.010722537275946319,0.011756987848167387,0.007531250000000001,0.0024094945657751545,0.006863372180896835,0.008199127819103166,0.007687500000000001,0.0025054627816034304,0.006993021148630141,0.00838197885136986,0.03926955124213996,0.0020967331791923185,0.038688366456396436,0.039850736027883485,-0.040635760869538864,0.002161014711363307,-0.04123476358694523,-0.0400367581521325,0.785965884485419,0.4433934144350144,0.6630635003738803,0.9088682685969578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alf_obstacles,50,0.9827364115850279,0.018741746760211602,0.9775414644246606,0.9879313587453952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.004531771720572238,0.0009952846131023425,0.004255892900911202,0.004807650540233273,0.00164375,0.000851950886201781,0.0014076012624425023,0.0018798987375574978,0.00173125,0.0009040058420718309,0.0014806723648247912,0.0019818276351752087,0.008999692055671632,0.0013887579159647019,0.008614748000868018,0.009384636110475247,-0.009506950660067452,0.0015034633116094986,-0.009923689428405921,-0.009090211891728983,1.2175192796530663,0.43873475974374754,1.095908208740301,1.3391303505658316,0.038121890547263684,0.014465339894585419,0.03411230289406486,0.04213147820046251,0.1290858208955224,0.03470957227305647,0.11946481831638818,0.13870682347465663
alf_dense_obstacles,50,0.990284598137628,0.004219053088612952,0.9891151362863635,0.9914540599888926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.003982110534297588,0.0008837823337479984,0.0037371385696334434,0.004227082498961731,0.00335625,0.0015956606194614193,0.002913955441758549,0.0037985445582414505,0.00374375,0.0016577116192209066,0.003284255782136489,0.004203244217863511,0.008663783794932892,0.001393005264124009,0.008277662435284558,0.009049905154581225,-0.009586674617280319,0.0016032854257203482,-0.010031082663988451,-0.009142266570572186,0.9236068691029847,0.28321956349495614,0.8451024113294896,1.0021113268764799,0.0879415422885572,0.02546941252841748,0.08088178131837802,0.09500130325873639,0.2679539800995025,0.060187819221554036,0.25127076777387725,0.28463719242512775
alf_full,50,0.9837655327437744,0.011195043456237244,0.9806624250154897,0.9868686404720591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.004541854741536041,0.0012932435038809976,0.0041833859310187165,0.004900323552053365,0.0015937500000000001,0.0008320954347308967,0.0013631049127989067,0.0018243950872010935,0.00173125,0.0009147446706595235,0.0014776957134063791,0.001984804286593621,0.009049472103666724,0.0012044627085386922,0.008715612074100265,0.009383332133233183,-0.009581320310133732,0.001302280101395276,-0.009942293937688487,-0.009220346682578977,0.9175560157964057,0.4685416548664248,0.7876828950780346,1.0474291365147768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alf_no_smoothing,50,0.9838370508669969,0.010820011266758816,0.9808378967580148,0.986836204975979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.004534543262335643,0.0012912841501734095,0.004176617556957323,0.004892468967713963,0.00153125,0.0008506660993010124,0.001295457387202228,0.001767042612797772,0.00165625,0.0009040922588430895,0.001405648411317885,0.001906851588682115,0.009053711385543093,0.0012103471720927741,0.008718220265896203,0.009389202505189983,-0.009585874879309725,0.0013081384176441345,-0.009948472349281673,-0.009223277409337777,0.9171092837940303,0.4693920288770183,0.7870004514257206,1.0472181161623402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alf_no_retention,50,0.9829993891626085,0.012882097536723362,0.9794286539011521,0.986570124424065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.00460613302304544,0.0013716764537094186,0.004225923708016797,0.004986342338074083,0.00231875,0.001130351853406717,0.0020054324514170965,0.0026320675485829036,0.0026125,0.0011193608667449475,0.00230222899748768,0.0029227710025123196,0.009076733709849617,0.0012146706252300998,0.00874004419013436,0.009413423229564873,-0.009607763134024831,0.001313279664141932,-0.009971785684819618,-0.009243740583230044,0.9174513868672877,0.4685626357172675,0.7875724505537696,1.0473303231808058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alf_no_hysteresis,50,0.9829302834612661,0.012559777119436786,0.9794488908612987,0.9864116760612335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.00459965039829081,0.0013701678774173489,0.004219859239276382,0.004979441557305239,0.00218125,0.0010725444338114856,0.0018839558506293808,0.0024785441493706192,0.00244375,0.0010582451570879028,0.0021504194079200057,0.0027370805920799946,0.009073778044043164,0.0012175606436949228,0.008736287452079449,0.00941126863600688,-0.009604929418695458,0.0013157345496012105,-0.00996963242902312,-0.009240226408367797,0.9167909300443549,0.4699780507450346,0.7865196607016203,1.0470621993870894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
