density,failure_indicator_mean,failure_indicator_sd,geometry,mean_contact_break_rate_mean,mean_contact_break_rate_sd,mean_control_effort_proxy_mean,mean_control_effort_proxy_sd,mean_fragmentation_mean,mean_fragmentation_sd,mean_largest_scc_fraction_mean,mean_largest_scc_fraction_sd,method,method_label,n_pairs,radius_temporal_variation_mean,radius_temporal_variation_sd,recovery_steps_after_release_mean,recovery_steps_after_release_sd,scenario
0.0123,0.36666666666666664,0.49013251785356093,clustered,0.000444267913869356,0.00026407410644995616,0.00638111019998774,0.0010518634660045885,0.17584375,0.21949167907874328,0.7565520833333333,0.23183335210329362,alf,ALF,30,0.0025827930392046936,0.0012939189930920047,32.53333333333333,30.952392067700416,actuation_velocity_scale_acceleration_heading_lag
0.0204,0.3333333333333333,0.47946330148538413,clustered,0.0005830903853659864,0.00043262424395893145,0.0070228832727831005,0.0026589686697175924,0.1513854166666667,0.2087298295046396,0.7658645833333334,0.21474222222285103,alf,ALF,30,0.002692202105896349,0.0016591904390443665,32.53333333333333,30.952392067700416,actuation_velocity_scale_acceleration_heading_lag
0.0331,0.3,0.466091599699399,clustered,0.00047048659145035814,0.0005525185046118365,0.006852843944192385,0.003516036448376826,0.1444375,0.2027606048451108,0.8270729166666667,0.216749853390639,alf,ALF,30,0.002176099878861647,0.0019757436165139105,20.333333333333332,29.247261390608433,actuation_velocity_scale_acceleration_heading_lag
0.0123,0.43333333333333335,0.5040069329937309,uniform,0.0008813523452361886,0.0015431398372375517,0.009783890861328616,0.009687710619269676,0.12857291666666665,0.13167344161671743,0.85946875,0.13108174123514332,alf,ALF,30,0.0003492101500816605,0.00046798199687022137,29.3,30.4655260230653,actuation_velocity_scale_acceleration_heading_lag
0.0204,0.0,0.0,uniform,0.0005071945890773763,0.00046280566445364174,0.00676814557810308,0.0012635383365556061,0.0063437499999999996,0.018570649044304405,0.9888333333333333,0.02725917441521021,alf,ALF,30,0.0009236614381955672,0.0007753729199115259,4.066666666666666,15.476196033850208,actuation_velocity_scale_acceleration_heading_lag
0.0331,0.0,0.0,uniform,0.0005807807247718934,0.00037628313859287274,0.006302755159223959,0.0006058286620041173,0.0,0.0,0.9999687500000001,0.0001711632992203709,alf,ALF,30,0.0017918051060368018,0.001069225467031033,0.0,0.0,actuation_velocity_scale_acceleration_heading_lag
0.0123,0.4,0.4982728791224398,clustered,0.0005145127783010204,0.00030511049530656154,0.006273296269022385,0.0009107130413265162,0.17659375,0.1769848254365499,0.7366145833333333,0.20527686576250453,alf,ALF,30,0.002831386284207679,0.001164931124930343,32.56666666666667,29.90062083697898,clean
0.0204,0.16666666666666666,0.3790490217894517,clustered,0.0005076001472282656,0.0002867987211535883,0.006237505021427349,0.0008736250930607235,0.12497916666666667,0.16452030611532917,0.7804895833333333,0.1832013655084859,alf,ALF,30,0.002794351033243819,0.0010984769339527655,24.466666666666665,29.42053391921965,clean
0.0331,0.13333333333333333,0.3457459036417604,clustered,0.0004378122025225251,0.00026328362984760816,0.006229397281495058,0.000899072501275865,0.11422916666666666,0.16563989712878155,0.83821875,0.19151490186769343,alf,ALF,30,0.002362225413108121,0.0012233608682284563,15.4,26.364291419815657,clean
0.0123,0.16666666666666666,0.3790490217894517,uniform,0.00048331007898244486,0.0003966410449896117,0.0069272700186367485,0.000729003304061463,0.08446875000000001,0.07100623521294717,0.906875,0.0701376417703322,alf,ALF,30,0.0003729623718827415,0.00047981597026828496,8.133333333333333,21.090500122147382,clean
0.0204,0.0,0.0,uniform,0.0004714075479454074,0.0003017022070366862,0.006559140763591793,0.0005892609352858742,0.0032083333333333334,0.0071052420647611,0.9921875,0.020930341673900288,alf,ALF,30,0.0009358358970787783,0.0009336238289776278,2.033333333333333,11.137025335938377,clean
0.0331,0.0,0.0,uniform,0.0005807807247718934,0.00037628313859287274,0.00630275612917012,0.0006058285737990187,0.0,0.0,0.9999687500000001,0.0001711632992203709,alf,ALF,30,0.0017918051060368018,0.001069225467031033,0.0,0.0,clean
0.0123,0.43333333333333335,0.5040069329937309,clustered,0.000970626248819335,0.0003505779688600073,0.006273396780901725,0.0009106315247167825,0.19492708333333333,0.17752841115759294,0.7074583333333333,0.19406030027720292,alf,ALF,30,0.008153086884754437,0.001535252230397236,36.93333333333333,28.838352496504438,count_overcount_one
0.0204,0.23333333333333334,0.4301830671520763,clustered,0.0008268440636276825,0.00032882817441369966,0.006237578332875784,0.0008737117015663848,0.1467291666666667,0.17264343762598128,0.7619166666666667,0.1856853410671199,alf,ALF,30,0.006469858615478543,0.0015072805154899129,28.766666666666666,29.76654374355178,count_overcount_one
0.0331,0.13333333333333333,0.3457459036417604,clustered,0.0006220944705042237,0.0003209837359662847,0.006229498291312182,0.0008991058671230927,0.12120833333333333,0.1704521381317294,0.8142291666666667,0.1883292677060914,alf,ALF,30,0.005031692803717907,0.001391198547505727,21.5,29.10593019324057,count_overcount_one
0.0123,0.13333333333333333,0.3457459036417604,uniform,0.0009903164483766227,0.00048760219640781163,0.006928254286960248,0.0007273688813172575,0.09147916666666668,0.07355453959165423,0.87553125,0.09789428833755512,alf,ALF,30,0.005380966536694356,0.002327991599386013,10.3,20.861034457109014,count_overcount_one
0.0204,0.0,0.0,uniform,0.0013319937505990066,0.0004587011984737447,0.006559141700416134,0.0005891919087449145,0.004645833333333333,0.010145670329592895,0.9676041666666666,0.0416935347998847,alf,ALF,30,0.00847577698487509,0.002068674208406346,4.366666666666666,11.324320283578059,count_overcount_one
0.0331,0.0,0.0,uniform,0.0016685999883882003,0.0005714783400054694,0.006302756104316896,0.000605828944658074,0.0023125000000000003,0.012666084142306968,0.99425,0.018892882314648876,alf,ALF,30,0.010788570111697994,0.0018284905628833895,0.7666666666666667,2.37346441585572,count_overcount_one
0.0123,0.36666666666666664,0.49013251785356093,clustered,0.0007991270689690363,0.0003726872939160913,0.006273488577919702,0.0009106483756325207,0.16961458333333335,0.17445894043427443,0.75384375,0.20046632310663115,alf,ALF,30,0.009076233751084612,0.0015879217941897315,30.433333333333334,30.09717976630132,count_undercount_one
0.0204,0.16666666666666666,0.3790490217894517,clustered,0.0006879012094356276,0.0003466412649028192,0.006237611259210602,0.0008733983568266198,0.1214375,0.16375716867040746,0.81434375,0.17374547155938264,alf,ALF,30,0.007515966378571411,0.0016531681026268111,20.6,28.28378358340877,count_undercount_one
0.0331,0.13333333333333333,0.3457459036417604,clustered,0.0005831361047556431,0.0003175651792229195,0.006229403606516928,0.0008990003348379546,0.09264583333333333,0.14304980174559495,0.85028125,0.18629498469560865,alf,ALF,30,0.006035355740047681,0.0019327563008174847,13.466666666666667,25.14061603685645,count_undercount_one
0.0123,0.13333333333333333,0.3457459036417604,uniform,0.0005416634772909145,0.0003901516367337804,0.006927226821249225,0.0007290390272193174,0.08436458333333333,0.07096739948519386,0.9092187500000001,0.06948106359100348,alf,ALF,30,0.0012003241654394566,0.001204747285003838,8.133333333333333,21.090500122147382,count_undercount_one
0.0204,0.0,0.0,uniform,0.0006945372263041079,0.00037660922356194443,0.006559152330043353,0.0005892677131271723,0.0032083333333333334,0.0071052420647611,0.9940416666666666,0.012601402636990064,alf,ALF,30,0.0033273480122020336,0.002038780011315165,0.0,0.0,count_undercount_one
0.0331,0.0,0.0,uniform,0.0010775022877074678,0.0005757205624668289,0.006302756414065146,0.0006058287003672489,0.0,0.0,0.9999687500000001,0.0001711632992203709,alf,ALF,30,0.007037013298703248,0.0029408624306796567,0.0,0.0,count_undercount_one
0.0123,0.4,0.4982728791224398,clustered,0.0005120477584308188,0.0002996948169683672,0.006286657842559547,0.0009106009907541866,0.17555208333333333,0.17757260238358086,0.7360520833333334,0.20531453351702061,alf,ALF,30,0.002808232369827712,0.0011298695600223932,32.666666666666664,29.842498431660815,gilbert_burst_message_loss
0.0204,0.16666666666666666,0.3790490217894517,clustered,0.0005076472676912131,0.0002859885219514083,0.0062444641194391425,0.0008687853623208861,0.1248125,0.16398748490278572,0.7805104166666667,0.183128465957648,alf,ALF,30,0.0027875568482526925,0.0011030230406488147,24.466666666666665,29.42053391921965,gilbert_burst_message_loss
0.0331,0.13333333333333333,0.3457459036417604,clustered,0.00043632330233389296,0.00027477177997949987,0.006241138567345695,0.0008954451170737205,0.1140625,0.16531079907540305,0.8400520833333334,0.19228937206371186,alf,ALF,30,0.0023470397805446354,0.0012479852432038675,15.4,26.364291419815657,gilbert_burst_message_loss
0.0123,0.13333333333333333,0.3457459036417604,uniform,0.0004859555816279475,0.0003946701311039735,0.0069437712824810685,0.0007308150328139925,0.08428125,0.07097122707645027,0.9068333333333333,0.0703405228321403,alf,ALF,30,0.000373269575776072,0.0004802311495179964,8.133333333333333,21.090500122147382,gilbert_burst_message_loss
0.0204,0.0,0.0,uniform,0.0004755742146120741,0.00029939333544017093,0.006559662634615155,0.0005887783135392579,0.0032083333333333334,0.0071052420647611,0.9921875,0.020930341673900288,alf,ALF,30,0.0009191877373826432,0.0008734619981489543,2.033333333333333,11.137025335938377,gilbert_burst_message_loss
0.0331,0.0,0.0,uniform,0.0005807807247718934,0.00037628313859287274,0.006302758849178081,0.0006058280974008849,0.0,0.0,0.9999687500000001,0.0001711632992203709,alf,ALF,30,0.0017918051060368018,0.001069225467031033,0.0,0.0,gilbert_burst_message_loss
0.0123,0.4,0.4982728791224398,clustered,0.0005162914617590008,0.00030610244051055267,0.006276087391408025,0.0009097104773933857,0.17657291666666666,0.17694791210985203,0.7366875,0.20537470354880277,alf,ALF,30,0.002806576634787002,0.0011522482162938563,32.56666666666667,29.90062083697898,message_dropout_0p10
0.0204,0.16666666666666666,0.3790490217894517,clustered,0.0005044019195375836,0.000286458081654443,0.006240621796422405,0.0008721877994297633,0.124875,0.1646771757053049,0.78046875,0.18325525242243257,alf,ALF,30,0.0027780021467023797,0.0010770556359231047,24.466666666666665,29.42053391921965,message_dropout_0p10
0.0331,0.13333333333333333,0.3457459036417604,clustered,0.00043776200040106006,0.00026320047645597884,0.006230832480716563,0.0008987637428546885,0.11447916666666667,0.16545278809920022,0.8391354166666667,0.19183683637323434,alf,ALF,30,0.002361773967465566,0.0012225603105916972,15.4,26.364291419815657,message_dropout_0p10
0.0123,0.13333333333333333,0.3457459036417604,uniform,0.00047984106880668165,0.00039486178903472063,0.006953182429807057,0.0007285001356031883,0.08436458333333333,0.07096739948519386,0.90703125,0.07035565007379319,alf,ALF,30,0.0003620137725341106,0.0004685602830980106,8.133333333333333,21.090500122147382,message_dropout_0p10
0.0204,0.0,0.0,uniform,0.00047567684186987374,0.0002996424929393335,0.00655971525514973,0.0005897172028524741,0.0032083333333333334,0.0071052420647611,0.9921875,0.020930341673900288,alf,ALF,30,0.0009244931828477485,0.0009258459896171417,2.033333333333333,11.137025335938377,message_dropout_0p10
0.0331,0.0,0.0,uniform,0.0005807807247718934,0.00037628313859287274,0.00630275743085328,0.0006058285773603,0.0,0.0,0.9999687500000001,0.0001711632992203709,alf,ALF,30,0.0017918051060368018,0.001069225467031033,0.0,0.0,message_dropout_0p10
0.0123,0.4666666666666667,0.5074162634049248,clustered,0.0005503425480260642,0.00032672309111766345,0.006273293291079436,0.0009107178140895606,0.17955208333333333,0.17577146157293053,0.73215625,0.20124967120207668,alf,ALF,30,0.0029537824015009395,0.0013709291499916193,32.53333333333333,29.935255806989275,observation_delay_2
0.0204,0.2,0.4068381021724862,clustered,0.0005307769741796973,0.0002927655126098103,0.006237416383619062,0.0008740497181288334,0.1331875,0.16974962149543907,0.7734166666666666,0.183372455742796,alf,ALF,30,0.0029367112433580527,0.0013244891028564056,28.5,29.993964910202898,observation_delay_2
