target_degree,n_episodes,eval_seed_min,eval_seed_max,final_fragmentation_mean,final_fragmentation_std,final_fragmentation_ci95_low,final_fragmentation_ci95_high,mean_fragmentation_mean,mean_fragmentation_std,mean_fragmentation_ci95_low,mean_fragmentation_ci95_high,polar_order_mean,polar_order_std,polar_order_ci95_low,polar_order_ci95_high,neighbor_loss_rate_mean,neighbor_loss_rate_std,neighbor_loss_rate_ci95_low,neighbor_loss_rate_ci95_high,control_energy_mean,control_energy_std,control_energy_ci95_low,control_energy_ci95_high,mean_radius_mean,mean_radius_std,mean_radius_ci95_low,mean_radius_ci95_high,mean_probe_degree_mean,mean_probe_degree_std,mean_probe_degree_ci95_low,mean_probe_degree_ci95_high,mean_interaction_out_degree_mean,mean_interaction_out_degree_std,mean_interaction_out_degree_ci95_low,mean_interaction_out_degree_ci95_high
2,50,20000,20049,0.05,0.11978935593748874,0.01679608456823202,0.08320391543176799,0.072568407960199,0.08104361365504899,0.05010426435555866,0.09503255156483935,0.8938396076677033,0.12782207155992306,0.8584091370622525,0.9292700782731541,0.0037062500000000003,0.002233936779133032,0.0030870343166553354,0.004325465683344665,0.014395649246972335,0.003986681339670316,0.013290597558365721,0.015500700935578949,4.640590398765359,0.4859591640237186,4.5058893908230795,4.775291406707638,1.6732089552238807,0.6106333692135206,1.5039500207175305,1.842467889730231,2.408009950248756,0.21292329378169048,2.3489906243257574,2.4670292761717545
3,50,20000,20049,0.0,0.0,0.0,0.0,0.005180348258706467,0.019495560684942338,-0.0002235454613293119,0.010584241978742246,0.9642429110653247,0.03594683021459513,0.9542789580818192,0.9742068640488302,0.00219375,0.0014500203420459105,0.0017918248670461127,0.002595675132953887,0.009982586243200343,0.0015577832659878004,0.009550790751688774,0.010414381734711913,5.95006976269662,0.46524338139705457,5.8211108767405175,6.079028648652722,1.3631467661691543,0.4189969738044234,1.2470067303914443,1.4792868019468643,3.4959452736318406,0.30423710076772675,3.411615051751614,3.5802754955120673
4,50,20000,20049,0.0,0.0,0.0,0.0,1.8656716417910448e-05,0.0001319229069377887,-1.7910447761194024e-05,5.522388059701492e-05,0.9788269149867841,0.01872841730729559,0.9736356625622631,0.9840181674113051,0.00224375,0.0014557815989273634,0.0018402279281129717,0.0026472720718870284,0.009244740124638004,0.0012577229648126325,0.008896117105226965,0.009593363144049044,6.90880400026889,0.47410099334934164,6.777389909541967,7.040218090995812,1.3223756218905474,0.36251401834520347,1.2218918625968929,1.4228593811842019,4.403221393034825,0.3710400334168166,4.300374342936306,4.506068443133345
5,50,20000,20049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9805214721842441,0.020343416044413618,0.9748825649487425,0.9861603794197458,0.0017687500000000001,0.001100081890504669,0.0014638228570625438,0.0020736771429374565,0.009147298198255785,0.0012311862242183167,0.008806030788060878,0.009488565608450692,7.170739056917996,0.3780779127820054,7.065941206187551,7.275536907648441,1.3102114427860696,0.35485401302846753,1.2118509286401435,1.4085719569319957,4.658880597014925,0.36113182954029976,4.558779960911387,4.7589812331184635
6,50,20000,20049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9837655327039699,0.01130870178973201,0.9806309204929711,0.9869001449149688,0.0015937500000000001,0.0008405433207036933,0.001360763278275349,0.0018267367217246512,0.00904947210213984,0.0012166910707703369,0.008712222543493514,0.009386721660786164,7.401384773949046,0.30300854535906835,7.317395090254146,7.485374457643947,1.3010323383084577,0.3488670433882006,1.2043313274804368,1.3977333491364785,4.888662935323383,0.41566028452297255,4.773447782627783,5.0038780880189835
7,50,20000,20049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9857912126760777,0.00819421680145027,0.983519891659485,0.9880625336926705,0.00143125,0.0008185362511139963,0.0012043633267465892,0.0016581366732534109,0.008991307493708512,0.0012072039472851407,0.00865668763152752,0.009325927355889505,7.61237019851132,0.2499168569296788,7.543096780038341,7.6816436169842985,1.2894651741293532,0.3548664801328159,1.1911012042784088,1.3878291439802977,5.110590796019901,0.44006636041967434,4.988610624230965,5.232570967808837
8,50,20000,20049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9865388697469567,0.008098474288644818,0.9842940872009446,0.9887836522929688,0.0013812499999999999,0.0007811607091830903,0.0011647232984133365,0.0015977767015866633,0.008955851666403095,0.0012198344431833242,0.008617730809376755,0.009293972523429435,7.807167846742768,0.20350892113445607,7.750758051781644,7.863577641703892,1.288718905472637,0.3461044545164207,1.1927836452119636,1.3846541657333102,5.331268656716418,0.4995311513356144,5.19280568582327,5.4697316276095655
10,50,20000,20049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9866603392066761,0.008271296320492295,0.9843676528374461,0.988953025575906,0.0012812499999999998,0.0008115919179775823,0.001056288197686807,0.0015062118023131926,0.008944950524687611,0.001216899610693904,0.0086076431617236,0.009282257887651623,7.892455720144875,0.1313627126869341,7.8560438338899665,7.928867606399784,1.2868283582089552,0.35087258379990327,1.1895714399407114,1.3840852764771991,5.421529850746269,0.5284862268268142,5.275040942403119,5.568018759089418
