geometry,half_width,density,method,mean_interaction_out_degree,alf_mean_interaction_out_degree,signed_degree_difference_from_alf,absolute_degree_difference_from_alf
clustered,11.0,0.0330578512396694,alf,6.774446517412936,6.774446517412936,0.0,0.0
clustered,11.0,0.0330578512396694,crmf,6.72014303482587,6.774446517412936,-0.05430348258706541,0.05430348258706541
clustered,11.0,0.0330578512396694,fixed_retained,7.04771144278607,6.774446517412936,0.27326492537313385,0.27326492537313385
clustered,11.0,0.0330578512396694,knn,7.0,6.774446517412936,0.2255534825870642,0.2255534825870642
clustered,14.0,0.0204081632653061,alf,6.423600746268656,6.423600746268656,0.0,0.0
clustered,14.0,0.0204081632653061,crmf,6.465485074626866,6.423600746268656,0.041884328358209544,0.041884328358209544
clustered,14.0,0.0204081632653061,fixed_retained,6.390111940298508,6.423600746268656,-0.03348880597014858,0.03348880597014858
clustered,14.0,0.0204081632653061,knn,6.0,6.423600746268656,-0.4236007462686562,0.4236007462686562
clustered,18.0,0.0123456790123456,alf,6.010640547263681,6.010640547263681,0.0,0.0
clustered,18.0,0.0123456790123456,crmf,6.145373134328358,6.010640547263681,0.1347325870646774,0.1347325870646774
clustered,18.0,0.0123456790123456,fixed_retained,6.04429104477612,6.010640547263681,0.03365049751243898,0.03365049751243898
clustered,18.0,0.0123456790123456,knn,5.977220149253732,6.010640547263681,-0.033420398009949004,0.033420398009949004
elongated,11.0,0.0330578512396694,alf,6.372879353233831,6.372879353233831,0.0,0.0
elongated,11.0,0.0330578512396694,crmf,6.4620895522388055,6.372879353233831,0.08921019900497473,0.08921019900497473
elongated,11.0,0.0330578512396694,fixed_retained,5.9691542288557216,6.372879353233831,-0.40372512437810926,0.40372512437810926
elongated,11.0,0.0330578512396694,knn,5.997325870646766,6.372879353233831,-0.37555348258706456,0.37555348258706456
elongated,14.0,0.0204081632653061,alf,5.774639303482587,5.774639303482587,0.0,0.0
elongated,14.0,0.0204081632653061,crmf,5.956579601990049,5.774639303482587,0.1819402985074623,0.1819402985074623
elongated,14.0,0.0204081632653061,fixed_retained,5.83318407960199,5.774639303482587,0.0585447761194029,0.0585447761194029
elongated,14.0,0.0204081632653061,knn,5.8832711442786065,5.774639303482587,0.1086318407960194,0.1086318407960194
elongated,18.0,0.0123456790123456,alf,5.212692786069652,5.212692786069652,0.0,0.0
elongated,18.0,0.0123456790123456,crmf,5.392400497512438,5.212692786069652,0.17970771144278608,0.17970771144278608
elongated,18.0,0.0123456790123456,fixed_retained,4.977574626865672,5.212692786069652,-0.23511815920397972,0.23511815920397972
elongated,18.0,0.0123456790123456,knn,4.765827114427861,5.212692786069652,-0.4468656716417909,0.4468656716417909
uniform,11.0,0.0330578512396694,alf,5.5127114427860695,5.5127114427860695,0.0,0.0
uniform,11.0,0.0330578512396694,crmf,5.414253731343283,5.5127114427860695,-0.09845771144278626,0.09845771144278626
uniform,11.0,0.0330578512396694,fixed_retained,5.842425373134329,5.5127114427860695,0.3297139303482597,0.3297139303482597
uniform,11.0,0.0330578512396694,knn,5.533743781094528,5.5127114427860695,0.02103233830845852,0.02103233830845852
uniform,14.0,0.0204081632653061,alf,3.974303482587065,3.974303482587065,0.0,0.0
uniform,14.0,0.0204081632653061,crmf,3.9420584577114424,3.974303482587065,-0.03224502487562253,0.03224502487562253
uniform,14.0,0.0204081632653061,fixed_retained,3.9280099502487564,3.974303482587065,-0.04629353233830846,0.04629353233830846
uniform,14.0,0.0204081632653061,knn,3.9907960199004977,3.974303482587065,0.01649253731343281,0.01649253731343281
uniform,18.0,0.0123456790123456,alf,2.98532960199005,2.98532960199005,0.0,0.0
uniform,18.0,0.0123456790123456,crmf,2.963905472636816,2.98532960199005,-0.02142412935323401,0.02142412935323401
uniform,18.0,0.0123456790123456,fixed_retained,3.0559577114427863,2.98532960199005,0.07062810945273634,0.07062810945273634
uniform,18.0,0.0123456790123456,knn,3.0497761194029853,2.98532960199005,0.06444651741293539,0.06444651741293539
