"density","method","method_label","metric","mean","ci95_low","ci95_high","n_seeds","n_bootstrap","bootstrap_unit"
"0.012345679012345678","alf","ALF","neighbor_loss_rate","0.0008125000000000001","0.00064375","0.0009875","50","2000","shared evaluation seed"
"0.012345679012345678","fixed_r8","Maximum radius","final_fragmentation","0.015","0.0","0.03875","50","2000","shared evaluation seed"
"0.012345679012345678","fixed_r8","Maximum radius","final_largest_scc_fraction","0.985","0.96125","1.0","50","2000","shared evaluation seed"
"0.012345679012345678","fixed_r8","Maximum radius","mean_degree","2.9433706467661693","2.8208569651741295","3.062537624378109","50","2000","shared evaluation seed"
"0.012345679012345678","fixed_r8","Maximum radius","mean_interaction_area","201.06192982974676","201.06192982974676","201.06192982974676","50","2000","shared evaluation seed"
"0.012345679012345678","fixed_r8","Maximum radius","mean_radius","8.0","8.0","8.0","50","2000","shared evaluation seed"
"0.012345679012345678","fixed_r8","Maximum radius","neighbor_loss_rate","0.00115","0.00093125","0.0013812499999999999","50","2000","shared evaluation seed"
"0.012345679012345678","fixed_r8_retained","Maximum radius + retention","final_fragmentation","0.0025","0.0","0.0075","50","2000","shared evaluation seed"
"0.012345679012345678","fixed_r8_retained","Maximum radius + retention","final_largest_scc_fraction","0.9975","0.9925","1.0","50","2000","shared evaluation seed"
"0.012345679012345678","fixed_r8_retained","Maximum radius + retention","mean_degree","2.966902985074627","2.843058146766169","3.097664490049751","50","2000","shared evaluation seed"
"0.012345679012345678","fixed_r8_retained","Maximum radius + retention","mean_interaction_area","201.06192982974676","201.06192982974676","201.06192982974676","50","2000","shared evaluation seed"
"0.012345679012345678","fixed_r8_retained","Maximum radius + retention","mean_radius","8.0","8.0","8.0","50","2000","shared evaluation seed"
"0.012345679012345678","fixed_r8_retained","Maximum radius + retention","neighbor_loss_rate","0.00075","0.0005812500000000001","0.00093125","50","2000","shared evaluation seed"
"0.02040816326530612","alf","ALF","final_fragmentation","0.0","0.0","0.0","50","2000","shared evaluation seed"
"0.02040816326530612","alf","ALF","final_largest_scc_fraction","0.995","0.98625","1.0","50","2000","shared evaluation seed"
"0.02040816326530612","alf","ALF","mean_degree","3.953837064676617","3.833337064676617","4.088837375621891","50","2000","shared evaluation seed"
"0.02040816326530612","alf","ALF","mean_interaction_area","185.41141092043134","182.44964614810627","188.28978417141127","50","2000","shared evaluation seed"
"0.02040816326530612","alf","ALF","mean_radius","7.652219273136269","7.579040775495911","7.718633288619544","50","2000","shared evaluation seed"
"0.02040816326530612","alf","ALF","neighbor_loss_rate","0.0012562500000000002","0.0010375","0.00149375","50","2000","shared evaluation seed"
"0.02040816326530612","fixed_r8","Maximum radius","final_fragmentation","0.0","0.0","0.0","50","2000","shared evaluation seed"
"0.02040816326530612","fixed_r8","Maximum radius","final_largest_scc_fraction","1.0","1.0","1.0","50","2000","shared evaluation seed"
"0.02040816326530612","fixed_r8","Maximum radius","mean_degree","4.155186567164179","3.9993379975124377","4.311447450248757","50","2000","shared evaluation seed"
"0.02040816326530612","fixed_r8","Maximum radius","mean_interaction_area","201.06192982974676","201.06192982974676","201.06192982974676","50","2000","shared evaluation seed"
"0.02040816326530612","fixed_r8","Maximum radius","mean_radius","8.0","8.0","8.0","50","2000","shared evaluation seed"
"0.02040816326530612","fixed_r8","Maximum radius","neighbor_loss_rate","0.0017499999999999998","0.00149375","0.0020314062499999994","50","2000","shared evaluation seed"
"0.02040816326530612","fixed_r8_retained","Maximum radius + retention","final_fragmentation","0.0","0.0","0.0","50","2000","shared evaluation seed"
"0.02040816326530612","fixed_r8_retained","Maximum radius + retention","final_largest_scc_fraction","1.0","1.0","1.0","50","2000","shared evaluation seed"
