agent_collision_rate,candidate_cap,components,contact_break_rate,control_energy,density,distance_evaluations_per_step,edge_persistence,final_edge_count,final_fragmentation,final_largest_scc_fraction,final_mean_in_degree,final_mean_out_degree,final_min_in_degree,final_min_out_degree,final_n_scc,final_normalized_comm_cost,final_rooted_fraction,final_sym_lambda2,fragmentation,half_width,largest_component_fraction,mean_abs_radius_command_update,mean_abs_radius_update,mean_agent_degree_temporal_variance,mean_agent_radius_temporal_std,mean_degree,mean_degree_error,mean_degree_error_sq,mean_edge_count,mean_fragmentation,mean_interaction_area,mean_interaction_out_degree,mean_largest_component_fraction,mean_largest_scc_fraction,mean_min_in_degree,mean_min_out_degree,mean_n_scc,mean_normalized_comm_cost,mean_probe_degree,mean_radius,mean_radius_footprint,mean_radius_sq,mean_rooted_fraction,mean_sym_lambda2,mechanism,method,minimum_agent_distance,minimum_obstacle_clearance,n_agents,neighbor_loss_rate,noise_std,obstacle_collision_rate,obstacle_proximity_rate,parameter,polar_order,radius_command_temporal_variation,radius_max_saturation_fraction,radius_min_saturation_fraction,radius_oscillation_frequency,radius_sign_reversal_count,radius_sign_reversal_rate,radius_temporal_variation,rms_radius_update,runtime_s,seed,sorting_operations_per_step,steps,velocity_dispersion,visible_neighbor_count_mean
0.0,7.0,2.0,0.0,0.017150512568607026,0.012345679012345678,240,1.0,55.0,0.0625,0.9375,3.4375,3.4375,0.0,0.0,2.0,0.22916666666666666,0.0,0.0019938504948008567,0.0625,18.0,0.9375,0.0004736717274537655,0.0004736716690963033,0.3149457934209549,0.040614938480906596,3.230410447761194,4.906094527363184,26.03047263681592,51.6865671641791,0.11194029850746269,138.3615220731739,3.230410447761194,0.8880597014925373,0.8880597014925373,0.0,0.0,2.3582089552238807,0.21536069651741274,1.0939054726368158,6.597286810309763,704.6694454932484,44.041840343328026,0.0,0.0017205962110657712,alf,alf,1.3111209246851816,36.0,16,0.0,0.0,0.0,0.0,0.5,0.8974659466705299,0.0004736717274537655,0.75,0.0,0.0,0,0.0,0.0004736716690963033,0.004346709878701668,1.0138749999996435,21000,0,200,0.03687571384657153,4.0335820895522385
0.0,7.0,1.0,0.0003125,0.03226327486107462,0.012345679012345678,240,0.9999369681689254,65.0,0.0,1.0,4.0625,4.0625,1.0,1.0,1.0,0.2708333333333333,1.0,0.2735070658800831,0.0,18.0,1.0,0.00041973304703363105,0.00041973304598514005,0.25494109056706515,0.022821508560446187,3.818407960199005,5.133706467661692,27.196517412935325,61.09452736318408,0.1318407960199005,150.36889311203703,3.818407960199005,0.8681592039800995,0.8681592039800995,0.9203980099502488,0.9203980099502488,1.572139303482587,0.25456053067993434,0.8662935323383084,6.911779682364762,765.8224840332015,47.86390525207509,0.6019900497512438,0.16358918324938346,alf,alf,0.7423888683715184,36.0,16,0.0003125,0.0,0.0,0.0,0.5,0.7432529821632774,0.00041973304703363105,0.7540422885572139,0.0,0.0,0,0.0,0.00041973304598514005,0.005164216146322728,1.118346400000064,21001,0,200,0.02192185928388444,4.749378109452737
0.0,7.0,1.0,0.00125,0.010602479767103896,0.012345679012345678,240,0.9995253164556962,66.0,0.0,1.0,4.125,4.125,1.0,1.0,1.0,0.275,1.0,0.46502140599849034,0.0,18.0,1.0,8.974596215561404e-05,8.666436771225083e-05,0.5411840053464023,0.0026674895386676763,3.9129353233830844,5.03544776119403,26.100124378109452,62.60696517412935,0.030472636815920398,152.82236990323074,3.9129353233830844,0.9695273631840796,0.966728855721393,0.9203980099502488,0.9203980099502488,1.2487562189054726,0.2608623548922048,0.9645522388059702,6.974505002773947,778.3179387237526,48.64487117023454,0.8855721393034826,0.4010436206495231,alf,alf,0.8220891170972661,36.0,16,0.00125,0.0,0.0,0.0,0.5,0.9068026250752629,8.974596215561404e-05,0.625,0.0,0.000625,2,0.005208333333333333,8.666436771225083e-05,0.0005722633634411455,1.1683293999999478,21002,0,200,0.03766340833298946,4.86318407960199
0.0,7.0,1.0,0.0009375,0.023565039397693784,0.012345679012345678,240,0.9997324772605672,38.0,0.0,1.0,2.375,2.375,1.0,1.0,1.0,0.15833333333333333,1.0,0.15968436880669165,0.0,18.0,1.0,0.0008619025846061657,0.0008619025839980893,0.12286824583549912,0.026543061592063356,2.262437810945274,5.748134328358209,33.358830845771145,36.19900497512438,0.06996268656716417,153.38391370176225,2.262437810945274,0.9300373134328358,0.9219527363184079,0.7810945273631841,0.7810945273631841,1.681592039800995,0.15082918739635232,0.251865671641791,6.986936556777205,781.177857805317,48.82361611283231,0.7810945273631841,0.11812887473542613,alf,alf,1.8134174287994451,36.0,16,0.0009375,0.0,0.0,0.0,0.5,0.9570371878464943,0.0008619025846061657,0.75,0.0,0.0,0,0.0,0.0008619025839980893,0.007511699526417195,1.1770403999998962,21003,0,200,0.025057655205687982,2.881218905472637
0.0,7.0,1.0,0.00125,0.02312816421242154,0.012345679012345678,240,0.9994962350196203,38.0,0.0,1.0,2.375,2.375,1.0,1.0,1.0,0.15833333333333333,1.0,0.050908009209049566,0.0,18.0,1.0,0.0,0.0,0.17852280884136532,0.0,2.2002487562189055,5.376243781094527,29.138681592039802,35.20398009950249,0.08675373134328358,153.93804002589985,2.2002487562189055,0.9132462686567164,0.9132462686567164,0.8308457711442786,0.8308457711442786,1.6119402985074627,0.14668325041459448,0.6237562189054726,7.0,784.0,49.0,0.7761194029850746,0.037310076070545074,alf,alf,1.9058185900027613,36.0,16,0.00125,0.0,0.0,0.0,0.5,0.9297263086709873,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,1.1063011999999617,21004,0,200,0.020762637396237148,3.1063432835820897
0.0,7.0,1.0,0.000625,0.02583221153137305,0.012345679012345678,240,0.9997381102032264,42.0,0.0,1.0,2.625,2.625,1.0,1.0,1.0,0.175,1.0,0.1495924332559766,0.0,18.0,1.0,0.0,0.0,0.1805277097101557,5.551115123125783e-17,2.478233830845771,5.5,30.625,39.65174129353234,0.07866915422885572,153.7416904850505,2.478233830845771,0.9213308457711443,0.9213308457711443,0.9303482587064676,0.9303482587064676,1.3980099502487562,0.16521558872305153,0.5,6.995512701892246,783.0,48.9375,0.7860696517412935,0.10908577583610571,alf,alf,0.673106222202849,36.0,16,0.000625,0.0,0.0,0.0,0.5,0.8801502207083352,0.0,0.9375,0.0,0.0,0,0.0,0.0,0.0,1.0874265000002197,21005,0,200,0.02362904963732463,3.279228855721393
0.0,7.0,1.0,0.00125,0.05023708245299499,0.012345679012345678,240,0.9996563028764807,42.0,0.0,1.0,2.625,2.625,1.0,1.0,1.0,0.175,1.0,0.13453621098577778,0.0,18.0,1.0,0.0,0.0,0.20996386228063663,0.0,2.472636815920398,5.749378109452737,33.2431592039801,39.56218905472637,0.13308457711442787,153.93804002589985,2.472636815920398,0.8669154228855721,0.8669154228855721,0.835820895522388,0.835820895522388,1.7213930348258706,0.16484245439469347,0.2506218905472637,7.0,784.0,49.0,0.6716417910447762,0.08704330258534736,alf,alf,1.4110320928289972,36.0,16,0.00125,0.0,0.0,0.0,0.5,0.9700441267887303,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,1.2522767999998905,21006,0,200,0.024495902015988943,2.7941542288557213
0.0,7.0,2.0,0.0015625,0.011888842873244865,0.012345679012345678,240,0.9988965952080706,36.0,0.125,0.875,2.25,2.25,1.0,1.0,2.0,0.15,0.0,0.0006426765666156665,0.125,18.0,0.875,0.0,0.0,0.16454728843345462,0.0,2.192786069651741,5.625,31.875,35.08457711442786,0.20833333333333334,153.93804002589985,2.192786069651741,0.7916666666666666,0.7916666666666666,0.9402985074626866,0.9402985074626866,2.3134328358208953,0.14618573797678236,0.375,7.0,784.0,49.0,0.208955223880597,0.01820238822371767,alf,alf,2.418630477183995,36.0,16,0.0015625,0.0,0.0,0.0,0.5,0.9661127701246421,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,1.074824499999977,21007,0,200,0.010992620026244822,2.533582089552239
0.0,7.0,1.0,0.0,0.014429539023056317,0.012345679012345678,240,1.0,46.0,0.0,1.0,2.875,2.875,1.0,1.0,1.0,0.19166666666666668,1.0,0.14920163075901402,0.0,18.0,1.0,6.730947161671053e-05,2.6923788012561124e-05,0.19747345362738547,0.0018081284272308251,2.638059701492537,5.351990049751244,29.269900497512438,42.208955223880594,0.09172885572139304,153.30402706487445,2.638059701492537,0.908271144278607,0.9073383084577115,0.21890547263681592,0.21890547263681592,2.129353233830846,0.1758706467661695,0.6480099502487562,6.985511161836777,780.7709985045913,48.798187406536954,0.21890547263681592,0.03460797179837051,alf,alf,1.0811946079838228,36.0,16,0.0,0.0,0.0,0.0,0.5,0.9619831753286869,6.730947161671053e-05,0.6878109452736318,0.0,0.0003125,1,0.0027548209366391185,2.6923788012561124e-05,0.0003189655197977403,1.1851090999998632,21008,0,200,0.02148962372798201,3.7108208955223883
0.0,7.0,2.0,0.0,0.01973550933918108,0.012345679012345678,240,1.0,50.0,0.25,0.75,3.125,3.125,1.0,1.0,2.0,0.20833333333333334,0.0,3.9111069584054724e-05,0.25,18.0,0.75,0.0,0.0,0.2738453256107522,0.0,2.913557213930348,5.513059701492537,30.64365671641791,46.61691542288557,0.3050373134328358,153.93804002589985,2.913557213930348,0.6949626865671642,0.6949626865671642,0.900497512437811,0.900497512437811,2.442786069651741,0.19423714759535637,0.4869402985074627,7.0,784.0,49.0,0.0,5.135628254310379e-05,alf,alf,1.0972966219470421,36.0,16,0.0,0.0,0.0,0.0,0.5,0.43718609413979526,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,1.1084556999999222,21009,0,200,0.04320781257441394,3.5049751243781095
0.0,7.0,1.0,0.001875,0.04615240622525508,0.012345679012345678,240,0.9988072001734982,36.0,0.0,1.0,2.25,2.25,1.0,1.0,1.0,0.15,1.0,0.16818523309430639,0.0,18.0,1.0,0.0,0.0,0.23675465953813024,0.0,2.0167910447761193,5.5068407960199,30.575248756218905,32.26865671641791,0.19527363184079602,153.93804002589985,2.0167910447761193,0.804726368159204,0.804726368159204,0.7661691542288557,0.7661691542288557,2.189054726368159,0.1344527363184076,0.4931592039800995,7.0,784.0,49.0,0.5920398009950248,0.09340008065356598,alf,alf,1.2084774787864174,36.0,16,0.001875,0.0,0.0,0.0,0.5,0.6845440808359398,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,1.1104355000002215,21010,0,200,0.027948047699346775,2.7319651741293534
0.0,7.0,1.0,0.000625,0.012545167552996337,0.012345679012345678,240,0.9997637051039697,44.0,0.0,1.0,2.75,2.75,1.0,1.0,1.0,0.18333333333333332,1.0,0.1487432389410938,0.0,18.0,1.0,2.243649053890351e-05,2.243649050213181e-05,0.10802950422019257,0.0010803700848559424,2.675995024875622,5.630597014925373,32.05597014925373,42.81592039800995,0.061567164179104475,153.759250173582,2.675995024875622,0.9384328358208955,0.9384328358208955,0.9253731343283582,0.9253731343283582,1.3333333333333333,0.17839966832504126,0.3694029850746269,6.995914549483628,783.0894307593261,48.94308942245788,0.8557213930348259,0.127174520935429,alf,alf,2.0022003586590387,36.0,16,0.000625,0.0,0.0,0.0,0.5,0.8407001684662482,2.243649053890351e-05,0.9402985074626866,0.0,0.0,0,0.0,2.243649050213181e-05,0.0002911743504326314,1.267167800000152,21011,0,200,0.02607611791333874,3.2195273631840795
0.0,7.0,1.0,0.0003125,0.02921363570639107,0.012345679012345678,240,0.99991989746876,51.0,0.0,1.0,3.1875,3.1875,1.0,1.0,1.0,0.2125,1.0,0.17012236784425516,0.0,18.0,1.0,0.0008394660940672621,0.0008394660934750131,0.4681381648969085,0.025852109782751875,2.917910447761194,4.883706467661692,24.842039800995025,46.6865671641791,0.14085820895522388,146.99023455918402,2.917910447761194,0.8591417910447762,0.8569651741293532,0.6567164179104478,0.6567164179104478,1.800995024875622,0.19452736318407887,1.1162935323383085,6.826997783316284,748.615117322601,46.78844483266256,0.6567164179104478,0.1118612345793707,alf,alf,0.3284770887410736,36.0,16,0.0003125,0.0,0.0,0.0,0.5,0.9146916693006429,0.0008394660940672621,0.6881218905472637,0.0,0.0,0,0.0,0.0008394660934750131,0.007303304513155711,1.099301000000196,21012,0,200,0.03281479926522186,3.679726368159204
0.0,7.0,1.0,0.000625,0.02583912144653343,0.012345679012345678,240,0.9996048055643376,42.0,0.0,1.0,2.625,2.625,1.0,1.0,1.0,0.175,1.0,0.15393065076401735,0.0,18.0,1.0,0.0,0.0,0.0740018811415559,5.551115123125783e-17,2.5690298507462686,5.625,32.0,41.1044776119403,0.022388059701492536,153.7416904850505,2.5690298507462686,0.9776119402985075,0.9776119402985075,0.8706467661691543,0.8706467661691543,1.263681592039801,0.17126865671641817,0.375,6.995512701892246,783.0,48.9375,0.8706467661691543,0.1342396833944855,alf,alf,2.326844076614802,36.0,16,0.000625,0.0,0.0,0.0,0.5,0.9738725712932461,0.0,0.9375,0.0,0.0,0,0.0,0.0,0.0,1.107360299999982,21013,0,200,0.014306712679628106,3.167910447761194
