target_degree,eval_seed,n_agents,steps,final_fragmentation,mean_fragmentation,polar_order,neighbor_loss_rate,control_energy,mean_radius,mean_probe_degree,mean_interaction_out_degree
2,20000,16,200,0.0625,0.11287313432835822,0.9562864047845007,0.0015625,0.021421237954974973,4.934108367755846,1.3314676616915422,2.623445273631841
2,20001,16,200,0.375,0.08550995024875623,0.4700131539036914,0.0065625,0.012159388199821755,4.175523900939973,2.142412935323383,2.2347636815920398
2,20002,16,200,0.0,0.022388059701492536,0.9411764606183088,0.000625,0.01567385125083672,4.954529250033888,1.2456467661691542,2.2745646766169156
2,20003,16,200,0.0,0.0046641791044776115,0.9683809387180142,0.0034375,0.012143061393407168,4.6858309806571095,1.5901741293532339,2.2291666666666665
2,20004,16,200,0.0,0.05503731343283582,0.9695751295742628,0.0040625,0.01689744254887576,5.005403288222491,1.373134328358209,2.869092039800995
2,20005,16,200,0.0,0.09732587064676616,0.9635567125733602,0.00375,0.012405598053521039,4.2847773509976275,2.0223880597014925,2.3914800995024876
2,20006,16,200,0.0,0.012437810945273632,0.9533213349387145,0.0015625,0.010884863184848277,5.519591827213228,0.8837064676616916,2.4813432835820897
2,20007,16,200,0.0,0.0,0.9395252872302468,0.00125,0.01390691803123879,4.835639798713052,1.3737562189054726,2.4384328358208953
2,20008,16,200,0.0,0.009328358208955223,0.959102480673999,0.0003125,0.014622838208229101,4.89706096297849,1.248134328358209,2.6529850746268657
2,20009,16,200,0.0,0.024564676616915422,0.8890956080462428,0.0040625,0.017410596590325303,4.639831872922749,1.445273631840796,2.3292910447761193
2,20010,16,200,0.0,0.005907960199004975,0.9513369347082696,0.0028125,0.017693192858432263,5.321890908762779,0.9875621890547264,2.6315298507462686
2,20011,16,200,0.4375,0.26927860696517414,0.6117877178378134,0.0053125,0.020572488978091042,4.546049908059688,1.7935323383084578,2.478233830845771
2,20012,16,200,0.0,0.02767412935323383,0.9756501326098436,0.0021875,0.020455275360967203,5.553300858899098,0.6256218905472637,2.0382462686567164
2,20013,16,200,0.375,0.34110696517412936,0.3667090282111601,0.00125,0.0164481408545161,4.8078667373480295,1.6262437810945274,2.9791666666666665
2,20014,16,200,0.25,0.21237562189054726,0.8826701531704713,0.00625,0.009285437359361921,3.853222070668511,2.3606965174129355,2.2475124378109452
2,20015,16,200,0.0,0.13495024875621892,0.7602430520075085,0.0015625,0.02415403440679724,5.181575210318085,0.9421641791044776,2.273009950248756
2,20016,16,200,0.0,0.0,0.9864564406558204,0.0034375,0.011442336044756807,4.4416400095981245,1.853855721393035,2.467350746268657
2,20017,16,200,0.0,0.0,0.9799717992283729,0.0034375,0.013775899132467795,4.829051349452088,1.4720149253731343,2.271144278606965
2,20018,16,200,0.0,0.005907960199004975,0.9571142119236703,0.000625,0.01396078486126876,4.573156080626521,1.7419154228855722,2.1884328358208953
2,20019,16,200,0.0,0.054104477611940295,0.8899043378565709,0.0034375,0.012999499211543458,4.423929253514537,1.7350746268656716,2.652363184079602
2,20020,16,200,0.0,0.036069651741293535,0.9216157113644932,0.0034375,0.014148343236098902,4.418805820310902,1.9888059701492538,2.138992537313433
2,20021,16,200,0.0,0.015236318407960199,0.9740216821849426,0.0025,0.016347654777552935,4.862538299470417,1.2419154228855722,2.2046019900497513
2,20022,16,200,0.0,0.03575870646766169,0.9383026994548378,0.0021875,0.01028292131425731,5.264793900018099,0.7475124378109452,2.9073383084577116
