band,comparison,metric,paired_mean_difference,ci95_low,ci95_high,n_cells,n_bootstrap,bootstrap_unit
tuned,CRMF - ALF,mean_n_scc,-0.004145936981757877,-0.01890547263681592,0.006467661691542288,3,2000,"cell-stratified, seed-paired"
all,maxR+retention - ALF,mean_sym_lambda2,0.654334021856988,0.03168249118305705,1.4719951909795839,7,2000,"cell-stratified, seed-paired"
all,maxR+retention - ALF,final_sym_lambda2,0.6548973949747378,0.025702126412908637,1.540233868213872,7,2000,"cell-stratified, seed-paired"
all,maxR+retention - ALF,mean_min_in_degree,1.1166027007818053,0.13323312011371713,2.3846929637526655,7,2000,"cell-stratified, seed-paired"
all,maxR+retention - ALF,final_min_in_degree,1.1199999999999999,0.13428571428571429,2.4285714285714284,7,2000,"cell-stratified, seed-paired"
all,maxR+retention - ALF,mean_n_scc,-0.031016346837242362,-0.05741613361762617,-0.009748400852878484,7,2000,"cell-stratified, seed-paired"
all,Local-KNN - ALF,mean_sym_lambda2,-0.21677461583393262,-0.5914191311297953,0.05660646886228688,7,2000,"cell-stratified, seed-paired"
all,Local-KNN - ALF,final_sym_lambda2,-0.21828816440282736,-0.5864621601448818,0.052622266264303504,7,2000,"cell-stratified, seed-paired"
all,Local-KNN - ALF,mean_min_in_degree,-0.2342572850035536,-0.5025870646766168,0.025245202558635393,7,2000,"cell-stratified, seed-paired"
all,Local-KNN - ALF,final_min_in_degree,-0.24571428571428572,-0.5828571428571429,0.014285714285714282,7,2000,"cell-stratified, seed-paired"
all,Local-KNN - ALF,mean_n_scc,-0.039687277896233115,-0.078317697228145,-0.007981165600568631,7,2000,"cell-stratified, seed-paired"
all,CRDF - ALF,mean_sym_lambda2,-0.830129544685401,-1.5814097076957319,-0.17501050747126853,7,2000,"cell-stratified, seed-paired"
all,CRDF - ALF,final_sym_lambda2,-0.8469796632346981,-1.590790528664832,-0.19215901860441936,7,2000,"cell-stratified, seed-paired"
all,CRDF - ALF,mean_min_in_degree,-0.9324804548685145,-1.3783511016346837,-0.5494811656005686,7,2000,"cell-stratified, seed-paired"
all,CRDF - ALF,final_min_in_degree,-1.0114285714285713,-1.4372857142857145,-0.6399285714285718,7,2000,"cell-stratified, seed-paired"
all,CRDF - ALF,mean_n_scc,0.7169438521677328,0.30717839374555794,1.1219900497512438,7,2000,"cell-stratified, seed-paired"
all,CRMF - ALF,mean_sym_lambda2,-0.07129481650605339,-0.21958990497945452,0.023650374923927856,7,2000,"cell-stratified, seed-paired"
all,CRMF - ALF,final_sym_lambda2,-0.06913966578340558,-0.21779723765257558,0.0260782147715377,7,2000,"cell-stratified, seed-paired"
all,CRMF - ALF,mean_min_in_degree,-0.06264392324093816,-0.22887029140014215,0.06500213219616191,7,2000,"cell-stratified, seed-paired"
all,CRMF - ALF,final_min_in_degree,-0.06285714285714286,-0.2285714285714286,0.07428571428571429,7,2000,"cell-stratified, seed-paired"
all,CRMF - ALF,mean_n_scc,-0.017754086709310588,-0.039829424307036246,0.002219260838663814,7,2000,"cell-stratified, seed-paired"
