comparison,method,metric,estimand,n_pairs,n_bootstrap,paired_mean_difference,ci95_low,ci95_high
knn_k6 - alf,knn_k6,mean_largest_scc_fraction,equal-weight mean over five primary density cells,50,2000,0.006247512437810947,0.001335634328358216,0.011752549751243778
knn_k6 - alf,knn_k6,mean_degree,equal-weight mean over five primary density cells,50,2000,-0.3167300995024876,-0.37908274253731356,-0.2511246579601989
knn_k6 - alf,knn_k6,mean_radius,equal-weight mean over five primary density cells,50,2000,1.1389427316778322,1.0729641263868106,1.2070285021216411
knn_k6 - alf,knn_k6,mean_interaction_area,equal-weight mean over five primary density cells,50,2000,48.421011632958724,45.839712139211336,51.160451897134074
knn_k6 - alf,knn_k6,radius_temporal_variation,equal-weight mean over five primary density cells,50,2000,-0.0013779262779954268,-0.0014709273167107012,-0.0012855392255631606
knn_k6 - alf,knn_k6,radius_command_temporal_variation,equal-weight mean over five primary density cells,50,2000,-0.0016943498334425367,-0.0018124184137159696,-0.0015758355324655654
knn_k6 - alf,knn_k6,neighbor_loss_rate,equal-weight mean over five primary density cells,50,2000,-0.0012725,-0.0014275,-0.00111875
knn_k6 - alf,knn_k6,contact_break_rate,equal-weight mean over five primary density cells,50,2000,0.00062375,0.00043496874999999997,0.00079628125
knn_k6 - alf,knn_k6,control_energy,equal-weight mean over five primary density cells,50,2000,-0.00023116131742076566,-0.0004600381769135428,1.0478594088029765e-06
fixed_r8_retained - alf,fixed_r8_retained,final_fragmentation,equal-weight mean over five primary density cells,50,2000,0.0,0.0,0.0
fixed_r8_retained - alf,fixed_r8_retained,mean_fragmentation,equal-weight mean over five primary density cells,50,2000,-0.0003880597014925378,-0.0021121579601990066,0.0008173507462686557
fixed_r8_retained - alf,fixed_r8_retained,final_largest_scc_fraction,equal-weight mean over five primary density cells,50,2000,0.0069999999999999975,0.0007499999999999996,0.015999999999999997
fixed_r8_retained - alf,fixed_r8_retained,mean_largest_scc_fraction,equal-weight mean over five primary density cells,50,2000,0.007031094527363166,0.002526710199004954,0.012686131840795999
fixed_r8_retained - alf,fixed_r8_retained,mean_degree,equal-weight mean over five primary density cells,50,2000,1.6499738805970148,1.5436009017412935,1.7540223569651743
fixed_r8_retained - alf,fixed_r8_retained,mean_radius,equal-weight mean over five primary density cells,50,2000,0.8889427316778322,0.8198473409177506,0.9595461888656288
fixed_r8_retained - alf,fixed_r8_retained,mean_interaction_area,equal-weight mean over five primary density cells,50,2000,36.05099055944889,33.46913010298736,38.62494976298403
fixed_r8_retained - alf,fixed_r8_retained,radius_temporal_variation,equal-weight mean over five primary density cells,50,2000,-0.0013779262779954268,-0.0014705911120071033,-0.0012868509608660358
fixed_r8_retained - alf,fixed_r8_retained,radius_command_temporal_variation,equal-weight mean over five primary density cells,50,2000,-0.0016943498334425367,-0.0018085140210637762,-0.0015815358495695603
fixed_r8_retained - alf,fixed_r8_retained,neighbor_loss_rate,equal-weight mean over five primary density cells,50,2000,-0.00093875,-0.00107003125,-0.00080875
fixed_r8_retained - alf,fixed_r8_retained,contact_break_rate,equal-weight mean over five primary density cells,50,2000,-0.000915,-0.00104753125,-0.0007837187500000002
fixed_r8_retained - alf,fixed_r8_retained,control_energy,equal-weight mean over five primary density cells,50,2000,-5.422075566124696e-05,-0.00015126890769214392,9.574106194195309e-05
