candidate_cap,contact_break_rate,controller_wall_s_per_agent_step,degree_variance,density,edge_persistence,episode_failure,final_edge_count,final_fragmentation,final_largest_scc_fraction,final_mean_in_degree,final_mean_out_degree,final_min_in_degree,final_min_out_degree,final_n_scc,final_normalized_comm_cost,final_rooted_fraction,final_sym_lambda2,geometry,half_width,mean_degree,mean_edge_count,mean_fragmentation,mean_interaction_area,mean_largest_scc_fraction,mean_min_in_degree,mean_min_out_degree,mean_n_scc,mean_normalized_comm_cost,mean_radius_footprint,mean_radius_sq,mean_rooted_fraction,mean_sym_lambda2,method,n_agents,neighbor_loss_rate,radius_max_saturation_fraction,radius_temporal_variation,seed,stage,steps
8.0,0.0046875,0.00017952662500022142,0.8939528685861736,0.0123,0.9993598675629926,0,107.0,0.0,1.0,6.6875,6.6875,1.0,5.0,1.0,0.44583333333333336,1.0,1.2786816583092264,clustered,18.033392693348645,6.530783582089552,104.49253731343283,0.10199004975124377,56.85545555074988,0.8706467661691543,1.0,5.0049751243781095,1.2587064676616915,0.4353855721393053,289.5624573645882,18.097653585286764,0.7686567164179104,0.923722491373699,alf,16,0.0046875,0.0625,0.0028467271424416542,29000,evaluation,200
8.0,0.004375,0.00015007446874960807,0.9812875918912898,0.0123,0.9992859813797313,0,109.0,0.0,1.0,6.8125,6.8125,1.0,5.0,1.0,0.45416666666666666,1.0,1.244144940878678,clustered,18.033392693348645,6.507462686567164,104.11940298507463,0.11691542288557213,50.66618816592203,0.8731343283582089,1.0,4.5721393034825875,1.2537313432835822,0.43383084577114406,258.0407774153786,16.127548588461163,0.7562189054726368,0.8557962292528409,crdf,16,0.00375,0.0003109452736318408,0.008738340418715695,29000,evaluation,200
8.0,0.004375,0.00018125687499946253,0.40781632880374247,0.0123,0.9993773717601843,0,110.0,0.0,1.0,6.875,6.875,1.0,6.0,1.0,0.4583333333333333,1.0,1.451582849252933,clustered,18.033392693348645,6.690298507462686,107.04477611940298,0.1044776119402985,54.03955579530792,0.8731343283582089,1.0,5.880597014925373,1.2537313432835822,0.44601990049751167,275.22119767403314,17.20132485462707,0.7686567164179104,0.9999196094611605,crmf,16,0.0040625,0.0003109452736318408,0.004305928616142643,29000,evaluation,200
8.0,0.0034375,0.00017376603125057955,2.7748752351426944,0.0123,0.9995849419677545,0,140.0,0.0,1.0,8.75,8.75,7.0,7.0,1.0,0.5833333333333334,1.0,2.180188602276901,clustered,18.033392693348645,8.167288557213931,130.6766169154229,0.10199004975124377,201.06192982974676,0.8980099502487562,7.0,7.0,1.2039800995024876,0.5444859038142604,1024.0,64.0,0.7960199004975125,1.4617052079533508,fixed_r_retained,16,0.0034375,1.0,0.0,29000,evaluation,200
8.0,0.00125,0.00017754856250007834,0.5754606940422267,0.0123,0.9998035714285715,1,92.0,0.5,0.5,5.75,5.75,3.0,4.0,2.0,0.38333333333333336,0.0,-4.3313725461980245e-19,clustered,18.033392693348645,5.759950248756219,92.1592039800995,0.5,86.61816020815274,0.5,2.9353233830845773,4.044776119402985,2.0,0.3839966832504154,441.14266747690317,27.571416717306448,0.0,-5.9458603309981984e-18,alf,16,0.00125,0.06343283582089553,0.0015108893238389544,29001,evaluation,200
8.0,0.004375,0.0001405818750004073,1.0169070691319522,0.0123,0.9992172619047619,1,80.0,0.5,0.5,5.0,5.0,1.0,3.0,2.0,0.3333333333333333,0.0,1.6523776337071532e-06,clustered,18.033392693348645,5.0335820895522385,80.53731343283582,0.5,67.91099886225577,0.5,1.0248756218905473,3.0696517412935322,2.0,0.33557213930348323,345.8678770955547,21.61674231847217,0.0,1.5778587108598332e-06,crdf,16,0.004375,0.0009328358208955224,0.007355403833623986,29001,evaluation,200
8.0,0.0003125,0.00017249653124963517,0.264275249993812,0.0123,0.9999553571428571,1,100.0,0.5,0.5,6.25,6.25,4.0,6.0,2.0,0.4166666666666667,0.0,4.0150582291198015e-16,clustered,18.033392693348645,6.275497512437811,100.40796019900498,0.5,99.84280852166333,0.5,3.825870646766169,5.865671641791045,2.0,0.4183665008291883,508.49524826881054,31.78095301680066,0.0,3.6738117263234394e-16,crmf,16,0.0003125,0.0009328358208955224,0.0022741162312749194,29001,evaluation,200
8.0,0.001875,0.00017202331250018688,0.03849688126531522,0.0123,0.9997777777777778,1,112.0,0.5,0.5,7.0,7.0,7.0,7.0,2.0,0.4666666666666667,0.0,-2.220446049250313e-16,clustered,18.033392693348645,7.026119402985074,112.41791044776119,0.44029850746268656,201.06192982974676,0.5597014925373134,7.0,7.0,1.8805970149253732,0.46840796019900593,1024.0,64.0,0.11940298507462686,0.03942355706337528,fixed_r_retained,16,0.001875,1.0,0.0,29001,evaluation,200
8.0,0.0034375,0.0001630977812499168,1.860464081953417,0.0123,0.9995484758297257,0,100.0,0.0,0.5625,6.25,6.25,3.0,5.0,2.0,0.4166666666666667,0.5625,0.9217283284659328,clustered,18.033392693348645,6.279228855721393,100.46766169154229,0.0,82.98512339497812,0.5625,2.9601990049751246,5.0,2.0,0.4186152570480943,422.63976292485296,26.41498518280331,0.5625,0.914331280408606,alf,16,0.003125,0.0003109452736318408,0.0024923962731112238,29002,evaluation,200
8.0,0.005625,0.0001532459374999462,0.4723846563203881,0.0123,0.9991283482142858,0,88.0,0.0,1.0,5.5,5.5,2.0,4.0,1.0,0.36666666666666664,1.0,0.34547084767740627,clustered,18.033392693348645,5.546019900497512,88.7363184079602,0.0,61.82189132855506,0.8345771144278606,2.1940298507462686,4.333333333333333,1.3781094527363185,0.36973466003316685,314.8563070793446,19.67851919245904,0.8345771144278606,0.3571489462170518,crdf,16,0.0053125,0.0003109452736318408,0.010953602160813139,29002,evaluation,200
