bootstrap_unit,ci95_high,ci95_low,comparison,density,geometry,half_width,method,metric,n_bootstrap,n_pairs,paired_mean_difference
shared held-out evaluation seed,0.0328350435323382,-0.0104050062189054,crmf - ALF,0.0123456790123456,clustered,18.0,crmf,mean_fragmentation,2000,50,0.0083706467661691
shared held-out evaluation seed,0.2028796641791043,0.0705035758706466,crmf - ALF,0.0123456790123456,clustered,18.0,crmf,mean_interaction_out_degree,2000,50,0.1347325870646765
shared held-out evaluation seed,0.0338435945273631,-0.0190211442786069,crmf - ALF,0.0123456790123456,clustered,18.0,crmf,mean_largest_scc_fraction,2000,50,0.0068034825870646
shared held-out evaluation seed,0.0007655511216343,0.0001275967776074,crmf - ALF,0.0123456790123456,clustered,18.0,crmf,radius_temporal_variation,2000,50,0.0004501898753131
shared held-out evaluation seed,9.585824995887662e-05,-0.0005531117546739,crmf - ALF,0.0123456790123456,clustered,18.0,crmf,velocity_dispersion,2000,50,-0.0002315351456462
shared held-out evaluation seed,-0.001,-0.0018625,fixed_retained - ALF,0.0123456790123456,clustered,18.0,fixed_retained,contact_break_rate,2000,50,-0.00140625
shared held-out evaluation seed,0.0661319962686567,0.0045310945273631,fixed_retained - ALF,0.0123456790123456,clustered,18.0,fixed_retained,mean_fragmentation,2000,50,0.0334266169154228
shared held-out evaluation seed,0.167689987562189,-0.1027596393034824,fixed_retained - ALF,0.0123456790123456,clustered,18.0,fixed_retained,mean_interaction_out_degree,2000,50,0.0336504975124377
shared held-out evaluation seed,0.0468722014925373,-0.0095301616915422,fixed_retained - ALF,0.0123456790123456,clustered,18.0,fixed_retained,mean_largest_scc_fraction,2000,50,0.0171890547263681
shared held-out evaluation seed,-0.0020796220632427,-0.0026772526144896,fixed_retained - ALF,0.0123456790123456,clustered,18.0,fixed_retained,radius_temporal_variation,2000,50,-0.002370606724785
shared held-out evaluation seed,0.0033896039366609,-0.0002790120501174,fixed_retained - ALF,0.0123456790123456,clustered,18.0,fixed_retained,velocity_dispersion,2000,50,0.0012569873845699
shared held-out evaluation seed,0.0008501562499999,0.00011234375,knn - ALF,0.0123456790123456,clustered,18.0,knn,contact_break_rate,2000,50,0.000475
shared held-out evaluation seed,0.0436323072139303,-0.0057546641791044,knn - ALF,0.0123456790123456,clustered,18.0,knn,mean_fragmentation,2000,50,0.0156405472636815
