bootstrap_unit,ci95_high,ci95_low,comparison,density,half_width,metric,n_bootstrap,n_pairs,paired_mean_difference
shared evaluation seed,0.008815298507462677,-0.018291200248756218,CRDF - ALF,0.04938271604938271,9.0,mean_largest_scc_fraction,2000,50,-0.00509328358208955
shared evaluation seed,-2.232941231343284,-2.5450921952736323,CRDF - ALF,0.04938271604938271,9.0,mean_degree,2000,50,-2.383700248756219
shared evaluation seed,-1.2283401255004975,-1.3941399940631898,CRDF - ALF,0.04938271604938271,9.0,mean_radius,2000,50,-1.3131522655070722
shared evaluation seed,-47.8836303085357,-54.916200230671144,CRDF - ALF,0.04938271604938271,9.0,mean_interaction_area,2000,50,-51.3647890099321
shared evaluation seed,0.00801875,0.00664359375,CRDF - ALF,0.04938271604938271,9.0,neighbor_loss_rate,2000,50,0.007325000000000001
shared evaluation seed,-0.0009096435109740668,-0.003199850744180841,CRDF - ALF,0.04938271604938271,9.0,polar_order,2000,50,-0.001915457356218584
shared evaluation seed,0.00013829889837443913,5.933950375997858e-05,CRDF - ALF,0.04938271604938271,9.0,velocity_dispersion,2000,50,9.290245042375853e-05
shared evaluation seed,1.3876808132892333e-05,-1.3561255482262732e-05,CRDF - ALF,0.04938271604938271,9.0,control_energy,2000,50,7.50176280986687e-07
shared evaluation seed,0.02132095337067642,0.0182829875626531,CRDF - ALF,0.04938271604938271,9.0,radius_temporal_variation,2000,50,0.019738024444304468
shared evaluation seed,0.24802901787964649,0.20835594611926816,CRDF - ALF,0.04938271604938271,9.0,radius_command_temporal_variation,2000,50,0.2274830857410792
shared evaluation seed,0.0,0.0,CRDF - ALF,0.04938271604938271,9.0,radius_min_saturation_fraction,2000,50,0.0
shared evaluation seed,-0.17698212064676616,-0.23392490671641794,CRDF - ALF,0.04938271604938271,9.0,radius_max_saturation_fraction,2000,50,-0.20555970149253733
shared evaluation seed,-1.3698566542288557,-1.53701026119403,CRDF - ALF,0.04938271604938271,9.0,mean_degree_error,2000,50,-1.4562189054726369
