ci95_high,ci95_low,comparison,density,metric,n_pairs,paired_mean_difference,positive_fraction
-0.0175,-0.0975,alf - stardisplay,0.012345679012345678,final_fragmentation,50,-0.055,0.04
-0.06258037935323382,-0.11888961442786068,alf - stardisplay,0.012345679012345678,mean_fragmentation,50,-0.09059701492537313,0.06
0.35625,0.23125,alf - stardisplay,0.012345679012345678,final_largest_scc_fraction,50,0.29625,0.92
0.36730954601990035,0.2791728855721393,alf - stardisplay,0.012345679012345678,mean_largest_scc_fraction,50,0.32436567164179103,1.0
1.0618844838308459,0.8948359763681591,alf - stardisplay,0.012345679012345678,mean_degree,50,0.9782898009950248,1.0
1.0599745024875622,0.8927165733830845,alf - stardisplay,0.012345679012345678,mean_interaction_out_degree,50,0.9782898009950248,1.0
1.9329436807443428,1.817783667073792,alf - stardisplay,0.012345679012345678,mean_radius,50,1.8751867092899315,1.0
415.72522463131776,394.5992600312186,alf - stardisplay,0.012345679012345678,mean_radius_footprint,50,405.17384380080637,1.0
26.04171897302419,24.63303672035021,alf - stardisplay,0.012345679012345678,mean_radius_sq,50,25.323365237550398,1.0
0.0706667081260365,0.060069413349917083,alf - stardisplay,0.012345679012345678,mean_normalized_comm_cost,50,0.06521932006633499,1.0
0.8941501865671642,0.8081728855721393,alf - stardisplay,0.012345679012345678,radius_max_saturation_fraction,50,0.8531405472636816,1.0
-0.003575,-0.00441265625,alf - stardisplay,0.012345679012345678,contact_break_rate,50,-0.0039875,0.0
-0.0035062500000000003,-0.00430625,alf - stardisplay,0.012345679012345678,neighbor_loss_rate,50,-0.00390625,0.0
0.1032414890872434,0.04305082639490209,alf - stardisplay,0.012345679012345678,polar_order,50,0.06867146946052925,0.96
-0.009122857314135745,-0.013926684690221455,alf - stardisplay,0.012345679012345678,velocity_dispersion,50,-0.011321026994694377,0.0
0.0,0.0,alf - lint,0.012345679012345678,final_fragmentation,50,0.0,0.0
0.0033768656716417892,-0.0007527985074626868,alf - lint,0.012345679012345678,mean_fragmentation,50,0.0010572139303482578,0.2
-0.00875,-0.05375,alf - lint,0.012345679012345678,final_largest_scc_fraction,50,-0.02875,0.0
-0.008655783582089545,-0.04138805970149252,alf - lint,0.012345679012345678,mean_largest_scc_fraction,50,-0.023246268656716407,0.14
-0.011792754975124439,-0.0749824315920398,alf - lint,0.012345679012345678,mean_degree,50,-0.042524875621890564,0.12
-0.011987717661691556,-0.07445398009950252,alf - lint,0.012345679012345678,mean_interaction_out_degree,50,-0.042524875621890564,0.12
-0.07699485407519427,-0.152859538124165,alf - lint,0.012345679012345678,mean_radius,50,-0.11330626253913341,0.0
-17.82271997278123,-34.878502024406956,alf - lint,0.012345679012345678,mean_radius_footprint,50,-25.99416576821487,0.0
-1.126730403756763,-2.2098513453972695,alf - lint,0.012345679012345678,mean_radius_sq,50,-1.6246353605134294,0.0
-0.0007995646766169202,-0.004975611525704808,alf - lint,0.012345679012345678,mean_normalized_comm_cost,50,-0.0028349917081260377,0.12
-0.05303451492537312,-0.10542335199004974,alf - lint,0.012345679012345678,radius_max_saturation_fraction,50,-0.07703358208955223,0.0
0.00025,5.0000000000000016e-05,alf - lint,0.012345679012345678,contact_break_rate,50,0.0001375,0.2
0.00024375000000000002,5e-05,alf - lint,0.012345679012345678,neighbor_loss_rate,50,0.0001375,0.2
0.0047648607796909525,-0.004969873165564666,alf - lint,0.012345679012345678,polar_order,50,-1.736012647968188e-05,0.26
0.0012075187087928541,0.00023261102870046564,alf - lint,0.012345679012345678,velocity_dispersion,50,0.0006233462330038195,0.38
-0.00375,-0.05625,alf - stardisplay,0.02040816326530612,final_fragmentation,50,-0.0275,0.0
-0.044527207711442786,-0.08889039179104476,alf - stardisplay,0.02040816326530612,mean_fragmentation,50,-0.06538557213930347,0.02
0.27375,0.16496875,alf - stardisplay,0.02040816326530612,final_largest_scc_fraction,50,0.22125,0.84
0.3142576181592039,0.2161124067164179,alf - stardisplay,0.02040816326530612,mean_largest_scc_fraction,50,0.2652487562189055,0.96
1.6040881529850748,1.3895251865671643,alf - stardisplay,0.02040816326530612,mean_degree,50,1.5004539800995025,1.0
1.6049667288557212,1.403719682835821,alf - stardisplay,0.02040816326530612,mean_interaction_out_degree,50,1.5004539800995025,1.0
2.1854516622439295,2.067745729021381,alf - stardisplay,0.02040816326530612,mean_radius,50,2.126266413967098,1.0
453.90836869230145,428.8245769107516,alf - stardisplay,0.02040816326530612,mean_radius_footprint,50,441.3501181558872,1.0
28.355440657182296,26.760075835461542,alf - stardisplay,0.02040816326530612,mean_radius_sq,50,27.58438238474295,1.0
0.10692883499170812,0.09316096600331676,alf - stardisplay,0.02040816326530612,mean_normalized_comm_cost,50,0.10003026533996684,1.0
0.7609303482587064,0.6660256529850747,alf - stardisplay,0.02040816326530612,radius_max_saturation_fraction,50,0.7123072139303482,1.0
