candidate_cap,contact_break_rate,controller_wall_s_per_agent_step,degree_variance,density,edge_persistence,episode_failure,final_edge_count,final_fragmentation,final_largest_scc_fraction,final_mean_in_degree,final_mean_out_degree,final_min_in_degree,final_min_out_degree,final_n_scc,final_normalized_comm_cost,final_rooted_fraction,final_sym_lambda2,geometry,half_width,mean_degree,mean_edge_count,mean_fragmentation,mean_interaction_area,mean_largest_scc_fraction,mean_min_in_degree,mean_min_out_degree,mean_n_scc,mean_normalized_comm_cost,mean_radius_footprint,mean_radius_sq,mean_rooted_fraction,mean_sym_lambda2,method,n_agents,neighbor_loss_rate,radius_max_saturation_fraction,radius_temporal_variation,seed,stage,steps
8.0,0.00140625,0.00023146804687513623,2.4511134277307494,0.0204,0.9996543898809525,0,126.0,0.0,1.0,3.9375,3.9375,1.0,1.0,1.0,0.12701612903225806,1.0,0.26531654079326844,uniform,19.802950859533485,3.9207089552238807,125.46268656716418,0.0,194.89663947795964,1.0,1.1194029850746268,1.1194029850746268,1.0,0.12647448242657744,1985.2008681546438,62.03752712983262,1.0,0.28080444697413515,alf,32,0.00140625,0.8443718905472637,0.0004501211493301219,28000,tuning,200
8.0,0.00265625,0.00023223209374975795,2.263238934950558,0.0204,0.9992910185724745,0,122.0,0.0,0.96875,3.8125,3.8125,0.0,1.0,2.0,0.12298387096774194,0.03125,0.3677365823090325,uniform,19.802950859533485,3.683613184079602,117.87562189054727,0.025963930348258706,185.97619297078845,0.949160447761194,0.0,0.8855721393034826,2.218905472636816,0.1188262317445027,1894.3379461576435,59.19806081742636,0.024875621890547265,0.32028161770858316,alf,32,0.00265625,0.632929104477612,0.0015911956146059383,28005,tuning,200
8.0,0.00171875,0.00023911520312481116,7.724513872452105,0.0204,0.9995154389880951,0,163.0,0.0,0.84375,5.09375,5.09375,1.0,1.0,3.0,0.16431451612903225,0.0,0.4084751443763577,uniform,19.802950859533485,4.701026119402985,150.43283582089552,0.010883084577114429,165.7042991544156,0.8170087064676617,1.0,1.0,3.099502487562189,0.15164600385170918,1687.8501313282186,52.74531660400683,0.0,0.33286098978094875,alf,32,0.00140625,0.5427549751243781,0.0013008182687775111,28002,tuning,200
8.0,0.0009375,0.0002458217812500152,2.1927402158594465,0.0204,0.9997812500000001,0,132.0,0.0,0.9375,4.125,4.125,1.0,1.0,2.0,0.13306451612903225,0.0625,0.31859963083385995,uniform,19.802950859533485,4.065143034825871,130.08457711442787,0.004353233830845771,171.341196752703,0.9375,1.0,1.0,2.0,0.1311336462847056,1745.2670987823162,54.53959683694738,0.05814676616915423,0.2944315139895113,alf,32,0.0009375,0.6265547263681592,0.001526826147871761,28004,tuning,200
8.0,0.0025,0.0002443397968750105,3.0967224473094723,0.0204,0.9992146733458569,0,124.0,0.0,1.0,3.875,3.875,1.0,1.0,1.0,0.125,1.0,0.23910096940417608,uniform,19.802950859533485,3.8578980099502487,123.45273631840796,0.0018656716417910447,186.67344565030956,0.9828980099502488,0.9402985074626866,0.9402985074626866,1.3333333333333333,0.12444832290162099,1901.4401036315542,59.42000323848607,0.7397388059701493,0.2769400506362024,alf,32,0.0025,0.6875,0.000533584768396691,28003,tuning,200
8.0,0.0009375,0.00024690632812479407,2.0448306266784857,0.0204,0.99985591975667,0,135.0,0.0,1.0,4.21875,4.21875,1.0,1.0,1.0,0.13608870967741934,1.0,0.5525921939471802,uniform,19.802950859533485,4.182680348258707,133.84577114427861,0.0003109452736318408,189.77735597952244,0.9996890547263682,0.9900497512437811,0.9900497512437811,1.0099502487562189,0.13492517252447475,1933.0562746272806,60.40800858210252,0.9900497512437811,0.5098881859093503,alf,32,0.0009375,0.7196828358208955,0.0013937220415136593,28001,tuning,200
8.0,0.0009375,0.0002462227656249638,2.3582118316610354,0.0204,0.9998279368058813,0,139.0,0.0,1.0,4.34375,4.34375,1.0,1.0,1.0,0.14012096774193547,1.0,0.6870767356438049,uniform,19.802950859533485,4.326337064676617,138.44278606965173,0.0010883084577114428,194.45551715301264,0.9989116915422885,0.9651741293532339,0.9651741293532339,1.0348258706467661,0.13955926015085887,1980.7076330491395,61.89711353278561,0.9651741293532339,0.6702757935328302,alf,32,0.00078125,0.75,0.0006698729806052062,28006,tuning,200
8.0,0.0028125,0.00023018375000020798,1.4912488387895722,0.0204,0.9992406994047619,0,111.0,0.0,1.0,3.46875,3.46875,1.0,1.0,1.0,0.11189516129032258,1.0,0.2721770525331691,uniform,19.802950859533485,3.5066853233830844,112.2139303482587,0.0,189.0214681293084,1.0,1.0,1.0,1.0,0.11311888139945456,1925.3568642090615,60.16740200653317,1.0,0.29983764471549923,alf,32,0.00265625,0.7501554726368159,0.0008392829904398408,28007,tuning,200
8.0,0.00109375,0.0002216338593748901,3.5081881288520087,0.0204,0.9995910819398864,0,145.0,0.0,1.0,4.53125,4.53125,2.0,2.0,1.0,0.1461693548387097,1.0,0.39878421037143047,uniform,19.802950859533485,4.333022388059701,138.65671641791045,0.04306592039800995,183.2870889930777,0.9379664179104478,1.3134328358208955,1.4676616915422886,1.2885572139303483,0.1397749157438608,1866.946957963036,58.34209243634488,0.8272699004975125,0.3206919953213879,alf,32,0.00109375,0.622978855721393,0.0011882004229738907,28008,tuning,200
8.0,0.0015625,0.0002445928437501266,3.2311251336213833,0.0204,0.9997313368055555,0,133.0,0.0,0.84375,4.15625,4.15625,1.0,1.0,2.0,0.13407258064516128,0.15625,0.2609584800029572,uniform,19.802950859533485,4.151896766169155,132.86069651741295,0.002643034825870647,174.76996587172673,0.8823072139303483,1.0,1.0,1.756218905472637,0.13393215374739176,1780.192254239178,55.631007944974314,0.36380597014925375,0.2516492442438291,alf,32,0.0015625,0.6568718905472637,0.0012479475086947744,28009,tuning,200
8.0,0.0040625,0.00023458564062508457,1.3368967313618474,0.0204,0.9989880952380952,0,112.0,0.0,1.0,3.5,3.5,1.0,2.0,1.0,0.11290322580645161,1.0,0.29401978005967677,uniform,19.802950859533485,3.349813432835821,107.19402985074628,0.0,190.06407268718664,0.9244402985074627,1.0,1.9751243781094527,1.8059701492537314,0.10805849783341331,1935.9767470299553,60.4992733446861,0.9244402985074627,0.25616627895556926,alf,32,0.0040625,0.7720771144278606,0.0012096329048977073,28013,tuning,200
8.0,0.00125,0.0002449036874998001,2.5757243593908568,0.0204,0.9995688244047619,0,135.0,0.0,1.0,4.21875,4.21875,1.0,2.0,1.0,0.13608870967741934,1.0,0.24427515536833336,uniform,19.802950859533485,4.1731965174129355,133.54228855721394,0.003109452736318408,169.02689219187556,0.990360696517413,1.0,1.771144278606965,1.0746268656716418,0.1346192424971917,1721.6937860990645,53.802930815595765,0.9319029850746269,0.20258726411809738,alf,32,0.00109375,0.5629664179104478,0.0008677502235875154,28010,tuning,200
8.0,0.0015625,0.000240076500000157,2.01427215601099,0.0204,0.9995930553072292,0,121.0,0.0,1.0,3.78125,3.78125,1.0,1.0,1.0,0.1219758064516129,1.0,0.2938981103144379,uniform,19.802950859533485,3.7555970149253732,120.17910447761194,0.0018656716417910447,179.34331928567173,0.9835199004975125,0.9651741293532339,0.9651741293532339,1.144278606965174,0.12114829080404378,1826.7760495886528,57.0867515496454,0.9449626865671642,0.29038817671814343,alf,32,0.0015625,0.6878109452736318,0.001272825367397261,28011,tuning,200
