bootstrap_unit,ci95_high,ci95_low,comparison,density,geometry,median_difference,metric,n_agents,n_pairs,paired_mean_difference,positive_fraction
shared held-out evaluation seed,-9.787027344221667e-07,-1.096535945317309e-05,fixed_r_retained - ALF,0.0123,uniform,-7.083656250301835e-06,controller_wall_s_per_agent_step,16,30,-5.936871875064754e-06,0.3333333333333333
shared held-out evaluation seed,0.06666666666666667,-0.06666666666666667,crdf - ALF,0.0123,clustered,0.0,final_fragmentation,16,30,0.0,0.06666666666666667
shared held-out evaluation seed,0.10059468283582088,0.025041200248756217,crdf - ALF,0.0123,clustered,0.012437810945273638,mean_fragmentation,16,30,0.0582089552238806,0.6
shared held-out evaluation seed,0.021611733001658355,-0.04368055555555555,crdf - ALF,0.0123,clustered,0.0,mean_largest_scc_fraction,16,30,-0.009587479270315087,0.3333333333333333
shared held-out evaluation seed,-0.5468374274461029,-0.7825471600331675,crdf - ALF,0.0123,clustered,-0.657804726368159,mean_degree,16,30,-0.6618573797678275,0.0
shared held-out evaluation seed,-0.2185151331856473,-0.7696245795889696,crdf - ALF,0.0123,clustered,-0.38783969030778936,degree_variance,16,30,-0.4874161337281256,0.23333333333333334
shared held-out evaluation seed,0.00896336215055407,0.006457848651860271,crdf - ALF,0.0123,clustered,0.006323035619115567,radius_temporal_variation,16,30,0.007696413360679279,1.0
shared held-out evaluation seed,0.0021981770833333315,0.0011143229166666667,crdf - ALF,0.0123,clustered,0.0017187500000000002,contact_break_rate,16,30,0.0016458333333333333,0.8333333333333334
shared held-out evaluation seed,0.0021770833333333334,0.0010518229166666666,crdf - ALF,0.0123,clustered,0.0015625000000000003,neighbor_loss_rate,16,30,0.0015937500000000001,0.8
shared held-out evaluation seed,-0.0400800684079602,-0.07563614220563848,crdf - ALF,0.0123,clustered,-0.06218905472636816,radius_max_saturation_fraction,16,30,-0.05760779436152571,0.0
shared held-out evaluation seed,0.13333333333333333,-0.13333333333333333,crdf - ALF,0.0123,clustered,0.0,episode_failure,16,30,0.0,0.06666666666666667
shared held-out evaluation seed,-2.7977263020815704e-06,-1.723674356771075e-05,crdf - ALF,0.0123,clustered,-1.219321875026936e-05,controller_wall_s_per_agent_step,16,30,-1.017072187499934e-05,0.36666666666666664
shared held-out evaluation seed,-0.016666666666666666,-0.13333333333333333,crmf - ALF,0.0123,clustered,0.0,final_fragmentation,16,30,-0.06666666666666667,0.0
shared held-out evaluation seed,0.010761297678275277,-0.03178949004975124,crmf - ALF,0.0123,clustered,0.0,mean_fragmentation,16,30,-0.009038142620232174,0.3
shared held-out evaluation seed,0.0980345667495854,0.006348206882255388,crmf - ALF,0.0123,clustered,0.0037313432835821003,mean_largest_scc_fraction,16,30,0.04825870646766169,0.6333333333333333
shared held-out evaluation seed,0.32938743781094526,0.127913298092869,crmf - ALF,0.0123,clustered,0.18439054726368198,mean_degree,16,30,0.23009950248756217,0.8
shared held-out evaluation seed,-0.7935588824250431,-1.2886029715996872,crmf - ALF,0.0123,clustered,-0.8345536678392862,degree_variance,16,30,-1.0342065455269258,0.0
shared held-out evaluation seed,0.0018740311980046589,0.0005849639091071781,crmf - ALF,0.0123,clustered,0.0009847999674631755,radius_temporal_variation,16,30,0.0011858647023360786,0.8
shared held-out evaluation seed,1.494843745314318e-19,-0.0006666666666666666,crmf - ALF,0.0123,clustered,-0.0003125,contact_break_rate,16,30,-0.0003229166666666666,0.3
shared held-out evaluation seed,-3.1249999999999926e-05,-0.00071875,crmf - ALF,0.0123,clustered,-0.0003125,neighbor_loss_rate,16,30,-0.00035416666666666664,0.26666666666666666
shared held-out evaluation seed,-0.022376140132669992,-0.052022439883913765,crmf - ALF,0.0123,clustered,-0.062189054726368154,radius_max_saturation_fraction,16,30,-0.0375,0.03333333333333333
shared held-out evaluation seed,-0.03333333333333333,-0.26666666666666666,crmf - ALF,0.0123,clustered,0.0,episode_failure,16,30,-0.13333333333333333,0.0
shared held-out evaluation seed,1.2274002109521121e-05,-1.0698674477585684e-07,crmf - ALF,0.0123,clustered,9.472906249925479e-06,controller_wall_s_per_agent_step,16,30,5.976592708407227e-06,0.6666666666666666
shared held-out evaluation seed,-0.0625,-0.21458333333333332,fixed_r_retained - ALF,0.0123,clustered,0.0,final_fragmentation,16,30,-0.13125,0.0
