density_ratio,rho,domain_side,policy,seed,frag_final,frag_mean,largest_scc_final,scc_final_frac,n_components_final,lambda2_final,min_degree_final,mean_degree,mean_radius,min_radius,max_radius,ju_applied,ju_commanded,ju_jerk,sat_fraction,order_tail,dispersion_tail,min_pair_dist,collision_events,collision_pairs,finite,wall_time_s
1.0000,0.00279765,11.0938,alf,71012,0,0.0055,1,1,1,2.3826544,4,6.4173125,5.8863846,4.8988204,6.9282032,0.18395536,0.18395536,0.001801052,0,0.86234672,4.3482286,0.9799747,0,0,1,1.243
1.0000,0.00279765,11.0938,ctrl,71012,0,0.00996875,1,1,1,1.1325933,2,11.759,8,8,8,1.0772329,1.0772329,0.006581498,0,0.79548523,4.6092002,0.9799747,0,0,1,0.748
1.0000,0.00279765,11.0938,alf,71013,0,0.00065625,1,1,1,2.0790613,4,6.4936562,5.5138492,4,6.9282032,0.13244685,0.13244685,0.0015184034,0,0.90352348,4.1878451,1.0360329,0,0,1,1.269
1.0000,0.00279765,11.0938,ctrl,71013,0,0.03096875,1,1,1,13,13,12.296563,8,8,8,0.57581342,0.57581342,0.0013607333,0,0.90315602,3.0965523,1.0406048,0,0,1,1.090
1.0000,0.00279765,11.0938,alf,71014,0,0.001875,1,1,1,2.7430089,4,6.3976562,5.1058097,3.46347,6.7663393,0.042050473,0.042050473,0.0010858402,0,0.87326337,3.9056137,0.9695855,0,0,1,1.219
1.0000,0.00279765,11.0938,ctrl,71014,0,0.001875,1,1,1,16,15,14.474937,8,8,8,0.26675364,0.26675364,0.00049478015,0,0.90825909,2.8416666,0.9695855,0,0,1,1.055
1.0000,0.00279765,11.0938,alf,71015,0,0,1,1,1,1.4710036,4,6.55225,5.4947089,4,6.9282032,0.080921767,0.080921767,0.001160323,0,0.86942841,4.4041435,1.8687372,0,0,1,1.153
1.0000,0.00279765,11.0938,ctrl,71015,0,0,1,1,1,16,15,14.6265,8,8,8,0.31906044,0.31906044,0.00055240692,0,0.95952634,2.8811966,1.6919874,0,0,1,1.147
1.0000,0.00279765,11.0938,alf,71016,0,0,1,1,1,2.5426408,4,6.534125,5.3047847,3.4641016,6.9282032,0.12630127,0.12630127,0.0019824344,0,0.83035122,4.0006827,1.5471408,0,0,1,1.139
1.0000,0.00279765,11.0938,ctrl,71016,0,0,1,1,1,16,15,14.30425,8,8,8,0.26081485,0.26081485,0.00093875165,0,0.98450785,2.811266,1.5471408,0,0,1,1.163
1.0000,0.00279765,11.0938,alf,71017,0,0.00925,1,1,1,2.3368085,4,6.2897812,5.1287885,4,4.9071274,0.090767127,0.090767127,0.0011116346,0,0.93291729,3.901113,1.2123369,0,0,1,1.171
1.0000,0.00279765,11.0938,ctrl,71017,0,0.0093125,1,1,1,14,14,14.162125,8,8,8,0.32307226,0.32307226,0.00063163895,0,0.95351774,2.8709578,1.2123369,0,0,1,1.103
1.0000,0.00279765,11.0938,alf,71018,0,0,1,1,1,2.7300096,5,6.677625,5.1057364,3.2659863,5.6568542,0.079822248,0.079822248,0.0015577681,0,0.86840344,3.6960063,1.0914113,0,0,1,1.184
1.0000,0.00279765,11.0938,ctrl,71018,0,0,1,1,1,16,15,14.46,8,8,8,0.22682005,0.22682005,0.00046652973,0,0.96368724,2.810959,1.0914113,0,0,1,1.190
1.0000,0.00279765,11.0938,alf,71019,0,0.01596875,1,1,1,2.0740513,4,6.1003438,5.3381004,4.8680554,4.9682186,0.20999651,0.20999651,0.005076966,0,0.95550446,3.9043127,1.2538787,0,0,1,1.210
1.0000,0.00279765,11.0938,ctrl,71019,0,0.0135625,1,1,1,14,14,13.645062,8,8,8,0.35094872,0.35094872,0.00069534261,0,0.96465175,2.9273258,1.2538787,0,0,1,1.117
2.0000,0.00559529,8.8051,alf,71000,0,0.0003125,1,1,1,2.8629636,2,6.702625,5.1123979,3.4641016,5.6568542,0.048755122,0.048755122,0.0013400728,0,0.80088675,3.7668657,1.1091807,0,0,1,1.247
2.0000,0.00559529,8.8051,ctrl,71000,0,0.0003125,1,1,1,16,15,14.781187,8,8,8,0.179399,0.179399,0.00050953707,0,0.93318591,2.7347377,1.1091807,0,0,1,1.146
2.0000,0.00559529,8.8051,alf,71001,0,0,1,1,1,2.021794,4,6.5840312,5.1057456,4.3817802,6.9277599,0.064626536,0.064626536,0.0010522769,0,0.81862765,4.1056873,1.6361283,0,0,1,1.150
2.0000,0.00559529,8.8051,ctrl,71001,0,0,1,1,1,16,15,14.743562,8,8,8,0.21942672,0.21942672,0.00043396478,0,0.9589209,2.8120181,1.4882593,0,0,1,1.130
2.0000,0.00559529,8.8051,alf,71002,0,0.0003125,1,1,1,2.2783256,4,6.2975937,5.0657247,3.4641016,5.6568542,0.20947129,0.21253182,0.0028188287,0.000125,0.91201735,3.7553213,1.4474042,0,0,1,1.193
2.0000,0.00559529,8.8051,ctrl,71002,0,0.0006875,1,1,1,16,15,14.102187,8,8,8,0.2847895,0.2847895,0.0013666163,0,0.96360825,2.8049329,1.5101354,0,0,1,1.076
2.0000,0.00559529,8.8051,alf,71003,0,0,1,1,1,2.5178846,4,6.5922187,5.0343255,3.7032719,5.6568542,0.1544523,0.1544523,0.0027569751,0,0.83811909,3.7178918,1.5674602,0,0,1,1.172
2.0000,0.00559529,8.8051,ctrl,71003,0,0,1,1,1,16,15,14.509438,8,8,8,0.34344854,0.34344854,0.0017962662,0,0.88399382,2.8327798,1.5674602,0,0,1,1.147
2.0000,0.00559529,8.8051,alf,71004,0,0,1,1,1,1.5895806,4,6.4839375,5.1596537,3.994547,6.9282032,0.098497732,0.098497732,0.0011455842,0,0.82875415,4.1364364,1.772173,0,0,1,1.136
2.0000,0.00559529,8.8051,ctrl,71004,0,0,1,1,1,13,13,14.619375,8,8,8,0.51157444,0.51157444,0.00061823933,0,0.91018536,3.0378901,1.6789992,0,0,1,1.120
2.0000,0.00559529,8.8051,alf,71005,0,0,1,1,1,3.0698507,4,6.5903125,5.1691168,3.2659863,6.7825257,0.080305447,0.080305447,0.0010123091,0,0.83956209,3.8769687,1.646713,0,0,1,1.205
2.0000,0.00559529,8.8051,ctrl,71005,0,0,1,1,1,16,15,14.46175,8,8,8,0.18990011,0.18990011,0.0005623837,0,0.98372528,2.7955263,1.646713,0,0,1,1.152
2.0000,0.00559529,8.8051,alf,71006,0,0,1,1,1,2.3110619,4,6.3811875,4.9843915,3.4641016,4.9845573,0.055741598,0.055741598,0.0011827357,0,0.83743964,3.845575,1.2192433,0,0,1,0.747
2.0000,0.00559529,8.8051,ctrl,71006,0,0,1,1,1,16,15,14.558188,8,8,8,0.25080794,0.25080794,0.00040755794,0,0.87694564,2.8515244,1.2192433,0,0,1,1.125
2.0000,0.00559529,8.8051,alf,71007,0,0,1,1,1,3.2409129,5,6.3864687,5.0293141,3.6501165,5.7299669,0.057264207,0.057264207,0.0010358759,0,0.90606741,3.7895276,1.5751445,0,0,1,1.134
2.0000,0.00559529,8.8051,ctrl,71007,0,0,1,1,1,16,15,14.651687,8,8,8,0.29859611,0.29859611,0.00078257426,0,0.96963688,2.756801,1.5751445,0,0,1,1.095
2.0000,0.00559529,8.8051,alf,71008,0,0,1,1,1,2.120999,4,6.1718125,5.0656064,4.0277813,6.5104057,0.040094712,0.040094712,0.00085316396,0,0.9006822,4.1642195,1.5451221,0,0,1,1.163
2.0000,0.00559529,8.8051,ctrl,71008,0,0,1,1,1,16,15,14.723062,8,8,8,0.25701367,0.25701367,0.00043560295,0,0.9292532,2.8156204,1.3850842,0,0,1,1.125
2.0000,0.00559529,8.8051,alf,71009,0,0.0066875,1,1,1,2.5796638,4,6.2100938,5.1356012,4,6.9177451,0.20443371,0.20443371,0.0047070308,0,0.69927304,4.0432561,0.90889837,0,0,1,1.252
2.0000,0.00559529,8.8051,ctrl,71009,0,0.0121875,1,1,1,4.4251756,7,12.447875,8,8,8,1.3457825,1.3457825,0.015133958,0,0.84077768,3.9159538,0.90889837,0,0,1,1.086
2.0000,0.00559529,8.8051,alf,71010,0,0,1,1,1,2.545338,4,6.5125313,5.1975221,4.0000127,6.9282032,0.17373115,0.17373115,0.001598071,0,0.87216937,4.0413242,1.3821804,0,0,1,1.137
2.0000,0.00559529,8.8051,ctrl,71010,0,0,1,1,1,16,15,14.669688,8,8,8,0.43226277,0.43226277,0.00056571835,0,0.90192088,2.8466106,1.3560502,0,0,1,1.107
2.0000,0.00559529,8.8051,alf,71011,0,0,1,1,1,1.6297198,3,6.847625,5.3520459,3.703281,6.9282032,0.15341592,0.15341592,0.0012163597,0,0.78278429,4.3839961,1.7025395,0,0,1,1.141
2.0000,0.00559529,8.8051,ctrl,71011,0,0,1,1,1,14,14,14.760813,8,8,8,0.33496683,0.33496683,0.00056065784,0,0.89564638,2.9076062,1.6453059,0,0,1,1.134
2.0000,0.00559529,8.8051,alf,71012,0,0.01603125,1,1,1,2.6716699,4,7.0383438,6.2213245,4.8989795,6.9282049,0.42157738,0.42157738,0.0032196318,0,0.82103103,4.9044278,0.77780644,0,0,1,1.220
2.0000,0.00559529,8.8051,ctrl,71012,0,0.00021875,1,1,1,7.48954,8,13.429562,8,8,8,0.7990144,0.7990144,0.0014938202,0,0.78324941,3.6006278,0.77780644,0,0,1,1.077
2.0000,0.00559529,8.8051,alf,71013,0,0.00990625,1,1,1,1.6032742,4,6.7667813,6.134647,4.376007,6.9282184,0.38317788,0.38317788,0.0023565129,0,0.79313346,5.4773819,1.1229696,0,0,1,1.155
2.0000,0.00559529,8.8051,ctrl,71013,0,0,1,1,1,8.2574849,9,12.914125,8,8,8,0.7389516,0.7389516,0.00097666778,0,0.81397712,3.8024002,1.369862,0,0,1,1.095
2.0000,0.00559529,8.8051,alf,71014,0,0,1,1,1,2.6993358,4,6.3444687,5.0288357,4.3134548,6.9282032,0.048023172,0.048023172,0.0011676642,0,0.83941553,4.0001068,0.76956052,0,0,1,1.190
2.0000,0.00559529,8.8051,ctrl,71014,0,0,1,1,1,16,15,14.72025,8,8,8,0.34468811,0.34468811,0.0005367335,0,0.92518595,2.8937443,0.76956052,0,0,1,1.136
2.0000,0.00559529,8.8051,alf,71015,0,0,1,1,1,2.1832089,5,6.5779062,5.3174707,4.3817805,6.9281863,0.087577737,0.087577737,0.0012689841,0,0.79780822,4.2693069,1.4832177,0,0,1,1.133
2.0000,0.00559529,8.8051,ctrl,71015,0,0,1,1,1,16,15,14.793062,8,8,8,0.28725727,0.28725727,0.00049460413,0,0.9210963,2.8062396,1.4832177,0,0,1,1.111
2.0000,0.00559529,8.8051,alf,71016,0,0,1,1,1,2.6897235,0,6.5695625,5.1491573,3.4892805,6.5897864,0.13470092,0.13470092,0.0016247096,0,0.93524737,3.8893759,1.2279665,0,0,1,1.214
2.0000,0.00559529,8.8051,ctrl,71016,0,0,1,1,1,16,15,14.561563,8,8,8,0.40900148,0.40900148,0.0013576123,0,0.96965109,2.8092858,1.2279665,0,0,1,1.138
2.0000,0.00559529,8.8051,alf,71017,0,0.000625,1,1,1,1.8420225,4,6.1233125,5.0890011,4,6.8326891,0.085189044,0.085189044,0.0011949968,0,0.85315565,4.1100701,0.96223241,0,0,1,1.215
2.0000,0.00559529,8.8051,ctrl,71017,0,0.000625,1,1,1,16,15,14.573937,8,8,8,0.32182577,0.32182577,0.00057472232,0,0.89767074,2.8696819,0.96223241,0,0,1,1.091
2.0000,0.00559529,8.8051,alf,71018,0,0,1,1,1,2.1228606,4,6.3865312,5.0696391,4,5.6568542,0.071693163,0.071693163,0.0011127934,0,0.94202216,3.9795304,0.8662537,0,0,1,1.131
2.0000,0.00559529,8.8051,ctrl,71018,0,0,1,1,1,16,15,14.725938,8,8,8,0.22839497,0.22839497,0.00048416558,0,0.94193033,2.7970331,0.8662537,0,0,1,1.021
2.0000,0.00559529,8.8051,alf,71019,0,0,1,1,1,2.4995944,4,6.59775,5.113444,3.4641016,5.6568542,0.093333254,0.093333254,0.00113211,0,0.90105088,3.8620041,0.99520421,0,0,1,1.110
2.0000,0.00559529,8.8051,ctrl,71019,0,0,1,1,1,16,15,14.556,8,8,8,0.56189158,0.66011565,0.0040823193,0.00046875,0.95305075,2.8103466,0.99520421,0,0,1,1.118
4.0000,0.01119058,6.9886,alf,71000,0,0,1,1,1,2.9016377,4,6.7634688,4.9233633,3.4586647,6.2004056,0.060866163,0.060866163,0.0013163208,0,0.87124268,3.632374,0.88035729,0,0,1,0.620
4.0000,0.01119058,6.9886,ctrl,71000,0,0,1,1,1,16,15,14.914125,8,8,8,0.17171272,0.17171272,0.0005569927,0,0.89605199,2.7211249,0.88035729,0,0,1,1.090
4.0000,0.01119058,6.9886,alf,71001,0,0,1,1,1,1.8121249,4,5.9270625,4.9234693,4,5.5438452,0.044983291,0.044983291,0.00088854382,0,0.74492287,4.0863165,1.6773235,0,0,1,1.193
4.0000,0.01119058,6.9886,ctrl,71001,0,0,1,1,1,16,15,14.89425,8,8,8,0.20362511,0.20362511,0.0004246174,0,0.78658821,2.806671,1.5455901,0,0,1,1.134
4.0000,0.01119058,6.9886,alf,71002,0,0.00075,1,1,1,2.8324083,2,6.7092813,5.1589202,3.4641016,6.9280906,0.24261664,0.24261664,0.0039852832,0,0.78094623,3.851771,1.1985953,0,0,1,1.154
4.0000,0.01119058,6.9886,ctrl,71002,0,0,1,1,1,16,15,14.437188,8,8,8,0.35609586,0.35609586,0.0014699617,0,0.95562224,2.791362,1.1985953,0,0,1,1.041
4.0000,0.01119058,6.9886,alf,71003,0,0,1,1,1,2.5134737,5,6.6108125,4.8845006,3.7032804,5.7775601,0.12995443,0.12995443,0.0012205324,0,0.79771967,3.6835883,1.244094,0,0,1,1.125
4.0000,0.01119058,6.9886,ctrl,71003,0,0,1,1,1,16,15,14.802062,8,8,8,0.69432402,0.69432402,0.0037772967,0,0.90758194,2.7514316,1.244094,0,0,1,1.131
4.0000,0.01119058,6.9886,alf,71004,0,0,1,1,1,1.6970921,4,6.3235,4.9835477,4,5.6568543,0.078420241,0.078420241,0.00097738435,0,0.74235141,4.1353585,1.6246645,0,0,1,1.196
4.0000,0.01119058,6.9886,ctrl,71004,0,0,1,1,1,16,15,14.834437,8,8,8,0.45482944,0.45482944,0.00065097991,0,0.89454503,2.9198402,1.6202243,0,0,1,1.061
4.0000,0.01119058,6.9886,alf,71005,0,0,1,1,1,2.2024705,4,6.2673125,4.927047,3.4641016,4.8989795,0.088425711,0.088425711,0.00097600033,0,0.85557671,3.813562,1.306997,0,0,1,1.124
4.0000,0.01119058,6.9886,ctrl,71005,0,0,1,1,1,16,15,14.734375,8,8,8,0.22625399,0.22625399,0.00067531747,0,0.93859334,2.7241606,1.306997,0,0,1,1.098
4.0000,0.01119058,6.9886,alf,71006,0,0,1,1,1,2.8458577,5,6.242375,4.8481601,4,6.8982095,0.068216424,0.068216424,0.00078763032,0,0.76512221,3.8533225,0.96771402,0,0,1,1.157
4.0000,0.01119058,6.9886,ctrl,71006,0,0,1,1,1,16,15,14.7915,8,8,8,0.20537894,0.20537894,0.00053069807,0,0.86891506,2.7881631,0.96771402,0,0,1,1.024
4.0000,0.01119058,6.9886,alf,71007,0,0,1,1,1,2.4623492,4,6.3605313,4.9779516,4.3817807,6.7252783,0.042891605,0.042891605,0.00068007994,0,0.84361181,3.9261728,1.250193,0,0,1,1.190
4.0000,0.01119058,6.9886,ctrl,71007,0,0,1,1,1,16,15,14.847563,8,8,8,0.20152243,0.20152243,0.00050127542,0,0.95456819,2.756993,1.250193,0,0,1,1.114
4.0000,0.01119058,6.9886,alf,71008,0,0,1,1,1,2.357698,0,6.1081875,4.8895461,3.2659863,5.6568542,0.057740083,0.057740083,0.00096329133,0,0.87726784,3.7734086,1.7246328,0,0,1,1.246
4.0000,0.01119058,6.9886,ctrl,71008,0,0,1,1,1,16,15,14.920375,8,8,8,0.22002907,0.22002907,0.00042517398,0,0.82205172,2.7455052,1.3829145,0,0,1,1.071
4.0000,0.01119058,6.9886,alf,71009,0,0.0065625,1,1,1,3.2133161,5,6.538625,5.0867281,3.7032804,6.7117132,0.31535257,0.31535257,0.0068800588,0,0.77870428,3.7612864,0.72139311,0,0,1,1.065
4.0000,0.01119058,6.9886,ctrl,71009,0,0,1,1,1,16,15,14.498625,8,8,8,0.34371983,0.34371983,0.0010201405,0,0.75134173,2.8213557,0.72139311,0,0,1,1.032
4.0000,0.01119058,6.9886,alf,71010,0,0,1,1,1,2.4735109,5,6.6571562,5.2565801,4.3817809,6.9282032,0.15978513,0.15978513,0.0011609444,0,0.72128806,4.0942989,1.4190674,0,0,1,1.053
4.0000,0.01119058,6.9886,ctrl,71010,0,0,1,1,1,13,13,13.782687,8,8,8,0.76711523,0.76711523,0.00087597608,0,0.84641096,3.5171003,1.3980331,0,0,1,1.050
4.0000,0.01119058,6.9886,alf,71011,0,0,1,1,1,2.5470516,4,6.7934063,4.976178,4,6.9282027,0.13790917,0.13790917,0.0012649542,0,0.85605119,3.7480803,1.723399,0,0,1,1.095
4.0000,0.01119058,6.9886,ctrl,71011,0,0,1,1,1,16,15,14.930813,8,8,8,0.34260826,0.34260826,0.00059222449,0,0.92178068,2.8679148,1.59027,0,0,1,0.963
4.0000,0.01119058,6.9886,alf,71012,0,0.00125,1,1,1,2.2312974,4,7.1763125,5.6204173,4,6.9282032,0.30295353,0.30295353,0.0049139091,0,0.72959794,4.0487738,0.61734538,3,1,1,1.102
