bootstrap_unit,ci95_high,ci95_low,density,effect,geometry,holm_adjusted_pvalue,holm_family,median_difference,metric,n_agents,n_pairs,paired_mean_difference,positive_fraction,scope,sign_consistency,sign_flip_pvalue
shared held-out evaluation seed,-0.01764375,-0.0194940625,0.05,requested_base_did,elongated,nan,none_cellwise,-0.01828125,contact_break_rate,32,50,-0.018568750000000002,0.0,cell,1.0,0.0001999600079984003
shared held-out evaluation seed,0.2720554648631841,0.229271532960199,0.05,aperture_main_effect,elongated,nan,none_cellwise,0.25101057213930345,mean_largest_scc_fraction,32,50,0.25056281094527366,1.0,cell,1.0,0.0001999600079984003
shared held-out evaluation seed,-0.2347204990671642,-0.28073048818407964,0.05,base_main_effect,elongated,nan,none_cellwise,-0.271610696517413,mean_largest_scc_fraction,32,50,-0.25740982587064676,0.02,cell,0.98,0.0001999600079984003
shared held-out evaluation seed,0.4929689832089551,0.3671883550995025,0.05,aperture_base_interaction,elongated,nan,none_cellwise,0.45926616915422885,mean_largest_scc_fraction,32,50,0.43278606965174127,0.92,cell,0.92,0.0001999600079984003
shared held-out evaluation seed,0.4915453980099502,0.36797217039801,0.05,requested_measurement_did,elongated,nan,none_cellwise,0.4592661691542288,mean_largest_scc_fraction,32,50,0.43278606965174127,0.92,cell,0.92,0.0001999600079984003
shared held-out evaluation seed,0.4918973880597014,0.36465321828358205,0.05,requested_base_did,elongated,nan,none_cellwise,0.45926616915422885,mean_largest_scc_fraction,32,50,0.43278606965174127,0.92,cell,0.92,0.0001999600079984003
shared held-out evaluation seed,0.009430783350124079,0.007876972136082855,0.05,aperture_main_effect,uniform,nan,none_cellwise,0.008613627100387634,mean_abs_radius_update,32,50,0.008649780282357052,1.0,cell,1.0,0.0001999600079984003
shared held-out evaluation seed,-0.006223361321444065,-0.007696433013724856,0.05,base_main_effect,uniform,nan,none_cellwise,-0.006847631575485095,mean_abs_radius_update,32,50,-0.006967447053770547,0.0,cell,1.0,0.0001999600079984003
shared held-out evaluation seed,-0.02178586638576636,-0.02419884088895649,0.05,aperture_base_interaction,uniform,nan,none_cellwise,-0.022079570080289754,mean_abs_radius_update,32,50,-0.02300532811708579,0.0,cell,1.0,0.0001999600079984003
shared held-out evaluation seed,-0.021839109037859284,-0.024208805330334215,0.05,requested_measurement_did,uniform,nan,none_cellwise,-0.022079570080289754,mean_abs_radius_update,32,50,-0.02300532811708579,0.0,cell,1.0,0.0001999600079984003
shared held-out evaluation seed,-0.02186363869386282,-0.024118905113442158,0.05,requested_base_did,uniform,nan,none_cellwise,-0.022079570080289754,mean_abs_radius_update,32,50,-0.02300532811708579,0.0,cell,1.0,0.0001999600079984003
shared held-out evaluation seed,0.0055031640625000005,0.004448359375,0.05,aperture_main_effect,uniform,nan,none_cellwise,0.005078124999999999,contact_break_rate,32,50,0.0049921875,0.98,cell,0.98,0.0001999600079984003
shared held-out evaluation seed,-0.0037015625,-0.004506289062499999,0.05,base_main_effect,uniform,nan,none_cellwise,-0.0043359374999999995,contact_break_rate,32,50,-0.0041265625,0.02,cell,0.98,0.0001999600079984003
shared held-out evaluation seed,-0.0030904687500000008,-0.004375078125,0.05,aperture_base_interaction,uniform,nan,none_cellwise,-0.00328125,contact_break_rate,32,50,-0.003715625,0.04,cell,0.96,0.0001999600079984003
shared held-out evaluation seed,-0.00311875,-0.004356250000000001,0.05,requested_measurement_did,uniform,nan,none_cellwise,-0.0032812500000000003,contact_break_rate,32,50,-0.003715625,0.04,cell,0.96,0.0001999600079984003
shared held-out evaluation seed,-0.003090625,-0.004378125,0.05,requested_base_did,uniform,nan,none_cellwise,-0.00328125,contact_break_rate,32,50,-0.003715625,0.04,cell,0.96,0.0001999600079984003
shared held-out evaluation seed,0.004513526119402985,-0.00974210976368159,0.05,aperture_main_effect,uniform,nan,none_cellwise,0.0,mean_largest_scc_fraction,32,50,-0.0034639303482587058,0.08,cell,0.92,0.3895220955808838
shared held-out evaluation seed,0.009925684079601985,-0.004521299751243781,0.05,base_main_effect,uniform,nan,none_cellwise,0.0,mean_largest_scc_fraction,32,50,0.002916666666666665,0.3,cell,0.92,0.4833033393321336
shared held-out evaluation seed,0.039123600746268646,0.011541977611940297,0.05,aperture_base_interaction,uniform,nan,none_cellwise,0.0,mean_largest_scc_fraction,32,50,0.024228855721393036,0.38,cell,1.0,0.0001999600079984003
shared held-out evaluation seed,0.038249766791044776,0.012126710199004976,0.05,requested_measurement_did,uniform,nan,none_cellwise,0.0,mean_largest_scc_fraction,32,50,0.024228855721393036,0.38,cell,1.0,0.0001999600079984003
shared held-out evaluation seed,0.039107820273631834,0.011605332711442786,0.05,requested_base_did,uniform,nan,none_cellwise,0.0,mean_largest_scc_fraction,32,50,0.024228855721393036,0.38,cell,1.0,0.0001999600079984003
shared held-out evaluation seed,-0.0007173764468515441,-0.0011115245831207034,0.08,aperture_main_effect,clustered,nan,none_cellwise,-0.0007557499020932452,mean_abs_radius_update,32,50,-0.0009123205480143379,0.08,cell,0.92,0.0001999600079984003
shared held-out evaluation seed,0.00351959567652973,0.0029834044743931856,0.08,base_main_effect,clustered,nan,none_cellwise,0.0033736007265060966,mean_abs_radius_update,32,50,0.003249903124483235,1.0,cell,1.0,0.0001999600079984003
shared held-out evaluation seed,-0.005990569985392439,-0.0072142350365524575,0.08,aperture_base_interaction,clustered,nan,none_cellwise,-0.006468128250372406,mean_abs_radius_update,32,50,-0.006616231793368728,0.0,cell,1.0,0.0001999600079984003
shared held-out evaluation seed,-0.005975383696866483,-0.007255241458991565,0.08,requested_measurement_did,clustered,nan,none_cellwise,-0.006468128250372407,mean_abs_radius_update,32,50,-0.006616231793368728,0.0,cell,1.0,0.0001999600079984003
shared held-out evaluation seed,-0.0059967127769064415,-0.00726826816754391,0.08,requested_base_did,clustered,nan,none_cellwise,-0.006468128250372407,mean_abs_radius_update,32,50,-0.006616231793368728,0.0,cell,1.0,0.0001999600079984003
shared held-out evaluation seed,-0.009426523437499999,-0.010243750000000001,0.08,aperture_main_effect,clustered,nan,none_cellwise,-0.0096875,contact_break_rate,32,50,-0.0098375,0.0,cell,1.0,0.0001999600079984003
