agent_collision_rate,aperture,command_base_factor,command_clip_fraction,components,contact_break_rate,controller_wall_s_per_agent_step,count_threshold_crossing_rate,density,edge_persistence,final_edge_count,final_fragmentation,final_largest_scc_fraction,final_mean_in_degree,final_mean_out_degree,final_min_in_degree,final_min_out_degree,final_n_scc,final_normalized_comm_cost,final_rooted_fraction,final_sym_lambda2,fragmentation,geometry,half_width,largest_component_fraction,mean_abs_command_update,mean_abs_radius_update,mean_clipped_command,mean_current_radius_degree,mean_degree,mean_edge_count,mean_fixed_probe_degree,mean_fragmentation,mean_fresh_neighbor_count,mean_interaction_out_degree,mean_largest_component_fraction,mean_largest_scc_fraction,mean_measurement_degree,mean_min_in_degree,mean_min_out_degree,mean_n_scc,mean_normalized_comm_cost,mean_radius,mean_radius_footprint,mean_radius_sq,mean_retained_neighbor_count,mean_rooted_fraction,mean_sym_lambda2,method,minimum_agent_distance,minimum_obstacle_clearance,n_agents,neighbor_loss_rate,obstacle_collision_rate,obstacle_proximity_rate,physical_sensing_envelope,polar_order,radius_max_saturation_fraction,radius_min_saturation_fraction,rollout_wall_s,seed,steps,velocity_dispersion
0.0,fixed_probe,fixed_probe,0.0,1.0,0.0103125,0.00010260466418080411,0.00046875,0.05,0.9987945730739847,291.0,0.0,1.0,9.09375,9.09375,2.0,5.0,1.0,0.2933467741935484,1.0,2.21414852441438,0.0,clustered,12.649110640673518,1.0,0.4282500777203978,0.004829204694151292,2.433466254787156,8.155317164179104,9.154384328358208,292.94029850746267,17.993781094527364,0.05223880597014925,8.132151741293532,9.154384328358208,0.9477611940298507,0.9046952736318408,17.993781094527364,1.6567164179104477,5.069651741293533,1.3333333333333333,0.2953027202696196,2.472432481963229,204.52412603818604,6.391378938693314,1.0222325870646767,0.8361318407960199,1.725826278098775,alf,0.1612838629477857,25.298221281347036,32,0.009375,0.0,0.0,8.25,0.9398750696239051,0.0,0.0,1.719277800000782,26000,200,0.019603427748735542
0.0,current_radius,fixed_probe,0.0,1.0,0.00296875,0.00012632507773571377,0.00171875,0.05,0.9996835571112915,389.0,0.0,1.0,12.15625,12.15625,4.0,9.0,1.0,0.39213709677419356,1.0,3.346362470182835,0.0,clustered,12.649110640673518,1.0,0.32152807194540645,0.005241335671394328,3.021908264377089,10.855410447761194,11.470926616915422,367.0696517412935,16.689676616915424,0.05970149253731343,10.838152985074627,11.470926616915422,0.9402985074626866,0.9186878109452736,10.868314676616915,3.1144278606965172,8.134328358208956,1.3034825870646767,0.37002989086823945,3.029041991955602,297.3775879687488,9.2930496240234,0.632773631840796,0.849657960199005,2.533095514875329,crdf,0.1612838629477857,25.298221281347036,32,0.00265625,0.0,0.0,8.25,0.9418891817214998,0.0,0.0,1.8291790000002948,26000,200,0.018960109902821272
0.0,current_radius,current_radius,0.0,1.0,0.0146875,0.00011221500310749611,0.00484375,0.05,0.9983804958062771,259.0,0.0,0.96875,8.09375,8.09375,0.0,7.0,2.0,0.2610887096774194,0.03125,2.1943736980676882,0.0,clustered,12.649110640673518,1.0,0.6099165913579782,0.005994953424231753,2.1330741833969324,6.3638059701492535,8.163246268656716,261.2238805970149,19.135572139303484,0.05721393034825871,6.309546019900497,8.163246268656716,0.9427860696517413,0.8851057213930348,6.376710199004975,0.15920398009950248,6.686567164179104,2.029850746268657,0.26333052479537794,2.1832377938840843,167.43987141432183,5.232495981697557,1.8537002487562189,0.15391791044776118,1.7073386853815538,crmf,0.1612838629477857,25.298221281347036,32,0.0134375,0.0,0.0,8.25,0.9387547447224146,0.0,0.0,1.6021817000000738,26000,200,0.020164656059771663
0.0,fixed_probe,current_radius,0.841728855721393,1.0,0.03453125,9.265357586732015e-05,0.00046875,0.05,0.9925375412032985,122.0,0.0,0.90625,3.8125,3.8125,1.0,1.0,2.0,0.12298387096774194,0.09375,0.24844791689743162,0.0,clustered,12.649110640673518,1.0,0.19668303103342488,0.011557736051828976,1.2077517433013762,3.6316853233830844,4.201026119402985,134.43283582089552,22.325559701492537,0.039956467661691544,3.585976368159204,4.201026119402985,0.9600435323383084,0.7611940298507462,22.325559701492537,0.6417910447761194,0.9800995024875622,3.736318407960199,0.13551697159364468,1.3018903526867225,76.963175636697,2.4050992386467813,0.6150497512437811,0.05970149253731343,0.28503573770344337,fpcm,0.1612838629477857,25.298221281347036,32,0.03359375,0.0,0.0,8.25,0.9276995628778496,0.0,0.0,1.3371778000000631,26000,200,0.022790448405537223
0.0,fixed_probe,fixed_probe,0.0,1.0,0.0065625,0.00010106102301316281,0.00046875,0.05,0.999030930874681,285.0,0.0,1.0,8.90625,8.90625,1.0,3.0,1.0,0.2872983870967742,1.0,0.49404680244038085,0.0,clustered,12.649110640673518,1.0,0.4027026793307614,0.002707793496554484,2.7504174215573403,8.284359452736318,8.921641791044776,285.4925373134328,13.535136815920398,0.014925373134328358,8.27782960199005,8.921641791044776,0.9850746268656716,0.902363184079602,13.535136815920398,1.0,3.3383084577114426,1.4179104477611941,0.28779489648531537,2.7570561580615776,250.34830428993237,7.823384509060387,0.6438121890547264,0.7742537313432836,0.4870325387879073,alf,0.04703515598268583,25.298221281347036,32,0.0065625,0.0,0.0,8.25,0.9874945522982557,0.0,0.0,1.6895209000012983,26001,200,0.0047630576175502455
0.0,current_radius,fixed_probe,0.0003109452736318408,1.0,0.0021875,0.00011643695584505405,0.00359375,0.05,0.9996992018398267,339.0,0.0,1.0,10.59375,10.59375,1.0,5.0,1.0,0.34173387096774194,1.0,0.678293799055008,0.0,clustered,12.649110640673518,1.0,0.3767041144412988,0.00554906559731952,3.154466766940752,9.986007462686567,10.377332089552239,332.07462686567163,13.181281094527364,0.009950248756218905,9.962686567164178,10.377332089552239,0.9900497512437811,0.9651741293532339,10.006374378109452,1.0049751243781095,4.955223880597015,1.0696517412935322,0.3347526480500722,3.1409900266921094,319.8657136550314,9.995803551719732,0.4146455223880597,0.9552238805970149,0.6045768658921274,crdf,0.04703515598268583,25.298221281347036,32,0.00203125,0.0,0.0,8.25,0.9892063192580551,0.0,0.0,1.7349207000006572,26001,200,0.004548085112342009
0.0,current_radius,current_radius,0.0001554726368159204,1.0,0.010625,0.00010246411691563914,0.0175,0.05,0.9986612198565322,248.0,0.0,1.0,7.75,7.75,1.0,6.0,1.0,0.25,1.0,0.7390168326162574,0.0,clustered,12.649110640673518,1.0,0.6555551616536526,0.0041979463728278954,2.3884733011752717,6.196206467661692,7.846859452736318,251.09950248756218,13.949004975124378,0.012437810945273632,6.119247512437811,7.846859452736318,0.9875621890547264,0.9418532338308457,6.216573383084577,1.0049751243781095,5.895522388059701,1.2686567164179106,0.2531244984753651,2.411701464753121,199.38744483151726,6.230857650984914,1.7276119402985075,0.7770522388059702,0.5953352044858564,crmf,0.04703515598268583,25.298221281347036,32,0.01,0.0,0.0,8.25,0.9877014106923508,0.0,0.0,1.457611399999223,26001,200,0.004721850814895741
0.0,fixed_probe,current_radius,0.8591417910447762,3.0,0.03390625,0.00010202540422896711,0.00046875,0.05,0.992331840542208,105.0,0.09375,0.8125,3.28125,3.28125,0.0,0.0,5.0,0.10584677419354839,0.0,0.0,0.09375,clustered,12.649110640673518,0.90625,0.3351137352117599,0.010815934434317269,1.3594791825839752,2.7974191542288556,3.474036069651741,111.16915422885572,15.726679104477611,0.08115671641791045,2.7646144278606966,3.474036069651741,0.9188432835820896,0.4833644278606965,15.726679104477611,0.05970149253731343,0.11442786069651742,6.577114427860696,0.11206567966618519,1.4311773102456427,121.61509305529562,3.800471657977988,0.7094216417910447,0.0032649253731343282,0.1543078361870362,fpcm,0.04703515598268583,25.298221281347036,32,0.0334375,0.0,0.0,8.25,0.9768111051993359,0.0,0.0,1.2757202000011603,26001,200,0.005769552609839749
0.0,fixed_probe,fixed_probe,0.049440298507462684,2.0,0.0040625,0.0001012549906699317,0.00046875,0.05,0.9994847903194642,324.0,0.46875,0.5,10.125,10.125,0.0,5.0,4.0,0.32661290322580644,0.0,0.06337288429807189,0.46875,clustered,12.649110640673518,0.53125,0.5643180842974546,0.0028697260434419796,3.1280482539881205,9.858675373134329,10.0625,322.0,11.565609452736318,0.2683457711442786,9.865360696517413,10.0625,0.7316542288557214,0.5202114427860697,11.565609452736318,0.46766169154228854,4.691542288557214,3.417910447761194,0.32459677419354843,3.105697139380726,352.32458006167457,11.01014312692733,0.19713930348258707,0.09701492537313433,0.11486342101200724,alf,0.16521309312358856,25.298221281347036,32,0.00328125,0.0,0.0,8.25,0.9215680249253918,0.0,0.0,1.8361769000002823,26002,200,0.025826706964658587
0.0,current_radius,fixed_probe,0.0,2.0,0.00265625,0.00011597391169153295,0.0315625,0.05,0.9996751317259129,337.0,0.5,0.5,10.53125,10.53125,1.0,3.0,3.0,0.3397177419354839,0.0,0.05498495851827193,0.5,clustered,12.649110640673518,0.5,0.41228648786035477,0.006986710256326355,3.178631384510821,10.127021144278608,10.506063432835822,336.1940298507463,12.007151741293532,0.3681592039800995,10.13945895522388,10.506063432835822,0.6318407960199005,0.554726368159204,10.148787313432836,1.1144278606965174,3.512437810945274,2.6965174129353233,0.33890527202696197,3.1558448658805784,329.5651078313571,10.29890961972991,0.3666044776119403,0.15391791044776118,0.08606482500562412,crdf,0.16521309312358856,25.298221281347036,32,0.001875,0.0,0.0,8.25,0.9352160667993825,0.0,0.0,1.5921849999995175,26002,200,0.02376875774707349
