command_clip_fraction_mean,contact_break_rate_mean,controller_wall_s_per_agent_step_mean,count_threshold_crossing_rate_mean,density,geometry,mean_abs_command_update_mean,mean_abs_radius_update_mean,mean_fragmentation_mean,mean_largest_scc_fraction_mean,method,n_agents,n_episodes,neighbor_loss_rate_mean,radius_max_saturation_fraction_mean
0.0972450248756219,0.00246875,6.696115174178492e-05,0.0009062499999999999,0.0123,clustered,1.1731724461472863,0.002369187461032641,0.16504353233830846,0.7839241293532337,alf,16,50,0.00238125,0.06827114427860696
0.17720149253731343,0.00179375,6.525306032362417e-05,0.000325,0.0123,elongated,1.446990135515398,0.002113519643203456,0.029682835820895523,0.8853296019900497,alf,16,50,0.00171875,0.13681592039800994
0.8696330845771145,0.00078125,6.400746019906691e-05,0.0,0.0123,uniform,0.25784806613799066,0.0004567372282088463,0.05986940298507463,0.9143594527363185,alf,16,50,0.0007437499999999999,0.8522450248756219
0.024651741293532335,0.00251875,6.725471330813645e-05,0.0014812500000000001,0.0204,clustered,0.814531286005822,0.002294968524623328,0.1714676616915423,0.7952300995024875,alf,16,50,0.00239375,0.006592039800995026
0.07067786069651741,0.0023250000000000002,6.672577674106973e-05,0.0007875,0.0204,elongated,1.2605330215234123,0.0021640334608113705,0.016567164179104477,0.913837064676617,alf,16,50,0.0022,0.04462064676616915
0.7221641791044776,0.0012875,6.563836878127286e-05,0.0,0.0204,uniform,0.5761780209302448,0.0008082067709293519,0.0036194029850746268,0.9706032338308458,alf,16,50,0.0012062499999999999,0.6712562189054726
0.004222636815920398,0.0024124999999999997,6.758979228862786e-05,0.0008500000000000001,0.0331,clustered,0.4772276192170294,0.0019023765829379832,0.12174751243781096,0.8437935323383084,alf,16,50,0.0022500000000000003,0.00125
0.02505597014925373,0.0024875,6.23516032345634e-05,0.0009375,0.0331,elongated,1.03770218126923,0.0018121680861547657,0.006616915422885572,0.9507587064676616,alf,16,50,0.0023250000000000002,0.011380597014925373
0.497705223880597,0.00173125,6.547420833312933e-05,1.25e-05,0.0331,uniform,0.9781363006749322,0.0011003642392088942,0.0003731343283582089,0.9844029850746269,alf,16,50,0.001575,0.44333333333333336
0.1091542288557214,0.0047875,0.00011283372699006293,0.001121875,0.0123,clustered,1.5254993722506507,0.002854140744783363,0.2028886815920398,0.7376772388059701,alf,32,50,0.004503125,0.08927549751243781
0.10556281094527364,0.0042406250000000005,0.00010827439303469855,0.001115625,0.0123,elongated,1.4074553843519333,0.003427880903730548,0.07152674129353234,0.8362655472636815,alf,32,50,0.00409375,0.05795398009950249
0.8614085820895522,0.0011375,0.00011486744029884248,0.0,0.0123,uniform,0.2950265950331569,0.00044125892296117795,0.13288246268656714,0.8367630597014926,alf,32,50,0.00111875,0.8423103233830845
0.035777363184079605,0.005803125,0.00011223989707695979,0.0008031249999999999,0.0204,clustered,1.177110256353033,0.002940432975428126,0.170976368159204,0.7325435323383084,alf,32,50,0.005459375,0.022761194029850745
0.03500310945273632,0.004634375,0.00011293418563408596,0.0015,0.0204,elongated,1.1587666505707401,0.003312489890686743,0.057879353233830845,0.8592039800995025,alf,32,50,0.00439375,0.017328980099502487
0.7153078358208955,0.0019,0.00010802669993768516,6.25e-06,0.0204,uniform,0.6290009349650879,0.0010553337326937547,0.013762437810945273,0.9637904228855722,alf,32,50,0.001828125,0.6732276119402986
0.012210820895522388,0.0055718750000000004,0.00011311827114435737,0.00081875,0.0331,clustered,0.7787667883046745,0.002660016370105192,0.1746144278606965,0.7392444029850747,alf,32,50,0.0051,0.0038805970149253734
0.012838930348258705,0.00449375,0.0001107372123758478,0.00095,0.0331,elongated,0.8654830520920964,0.0028790071279625436,0.048647388059701493,0.8850901741293532,alf,32,50,0.00413125,0.004661069651741293
0.49178171641791046,0.002921875,0.0001103600485076534,5.9375e-05,0.0331,uniform,1.0115371400076676,0.0017610506614024798,0.0005628109452736319,0.9984141791044776,alf,32,50,0.002759375,0.4357213930348259
0.0021579601990049753,0.00461875,5.963294900533384e-05,0.07136875,0.0123,clustered,0.5378847226095564,0.013170943676781434,0.2283146766169154,0.7421019900497512,crdf,16,50,0.0045375,0.001654228855721393
0.008662935323383084,0.00400625,6.136347388054497e-05,0.04215,0.0123,elongated,0.8166069593225237,0.014310204684358814,0.06838308457711442,0.851318407960199,crdf,16,50,0.00394375,0.002195273631840796
0.2146268656716418,0.0027,6.0888209577072063e-05,0.0001,0.0123,uniform,0.8645629206717292,0.025962962873812046,0.08705845771144279,0.733700248756219,crdf,16,50,0.002625,0.10371268656716419
9.328358208955223e-05,0.0029312500000000003,6.154492288625753e-05,0.08846875000000001,0.0204,clustered,0.38515377289327746,0.007970391530969855,0.19225746268656718,0.7953669154228855,crdf,16,50,0.0028562500000000003,9.328358208955223e-05
0.0018345771144278606,0.0034750000000000002,6.31865385573396e-05,0.0511125,0.0204,elongated,0.6860610511537018,0.01067947822096816,0.029620646766169153,0.8976616915422886,crdf,16,50,0.0033437500000000004,0.0003482587064676617
0.08483830845771145,0.0050125,5.706992288563001e-05,0.0010625,0.0204,uniform,0.9062112015181266,0.02882292162917997,0.02623134328358209,0.8036815920398009,crdf,16,50,0.0049375,0.02763059701492537
6.218905472636816e-06,0.0018,5.975131529765041e-05,0.055768750000000006,0.0331,clustered,0.28140534717119775,0.005215589019028672,0.12894900497512438,0.8604912935323382,crdf,16,50,0.00165625,6.218905472636816e-06
6.840796019900498e-05,0.0029812500000000004,6.041568096925086e-05,0.05338125,0.0331,elongated,0.5685074834459448,0.008870316511433772,0.011747512437810945,0.9419962686567165,crdf,16,50,0.00283125,6.840796019900498e-05
0.015522388059701494,0.00826875,5.950555348260256e-05,0.0073750000000000005,0.0331,uniform,0.787168601211078,0.027319144095905187,0.0011007462686567163,0.9381778606965174,crdf,16,50,0.008199999999999999,0.002549751243781094
0.00357276119402985,0.006212499999999999,0.00010997293874371773,0.0667875,0.0123,clustered,0.7516139423584056,0.012834006764969964,0.2546641791044776,0.666679104477612,crdf,32,50,0.0059968750000000005,0.0018407960199004975
0.00453047263681592,0.005575,0.00011024535851959455,0.06619375,0.0123,elongated,0.7340292662500807,0.01295816606958692,0.13446206467661692,0.7630690298507463,crdf,32,50,0.005425,0.0015827114427860696
0.19871268656716418,0.00330625,0.0001099322310325696,0.000325,0.0123,uniform,0.8924696560072259,0.02786221171287939,0.19578669154228856,0.6225404228855722,crdf,32,50,0.0032375,0.09412002487562189
0.0007991293532338308,0.004834375,0.0001191634514925817,0.04277812500000001,0.0204,clustered,0.5813646507638079,0.00926735822872657,0.21913868159203978,0.7261691542288556,crdf,32,50,0.004490625000000001,0.00018034825870646767
0.001218905472636816,0.00430625,0.0001133290945273613,0.054853125,0.0204,elongated,0.6104791826737694,0.009154421595100668,0.09509639303482587,0.8457680348258707,crdf,32,50,0.004040625,0.00013992537313432837
0.08581778606965175,0.00559375,0.00010824964085812854,0.003484375,0.0204,uniform,0.9531052650865312,0.031621091270275695,0.02847636815920398,0.781962064676617,crdf,32,50,0.0054937499999999995,0.02921641791044776
4.3532338308457714e-05,0.003246875,0.00011384309421625733,0.031043750000000002,0.0331,clustered,0.46826815302000346,0.006642718824732631,0.1834297263681592,0.7698973880597015,crdf,32,50,0.0027875,3.420398009950249e-05
0.00048818407960199005,0.0029281249999999997,0.00011362548787293797,0.03539375,0.0331,elongated,0.5117872660457674,0.00637573362103914,0.05009950248756219,0.9112095771144278,crdf,32,50,0.0025687500000000003,3.109452736318408e-05
0.022509328358208954,0.00931875,0.00011015768594541722,0.014884375,0.0331,uniform,0.8613614731580883,0.02790899348967541,0.0075373134328358205,0.9225342039800996,crdf,32,50,0.0092375,0.005410447761194029
0.03241293532338308,0.0019187499999999999,6.275205659168517e-05,0.016081250000000002,0.0123,clustered,1.1508986118635371,0.0034201426711272524,0.16812189054726367,0.7981094527363184,crmf,16,50,0.001825,0.03250621890547264
0.2720398009950249,0.0012,6.293081778656288e-05,0.010387500000000001,0.0123,elongated,1.3488855345114907,0.0044887186376924085,0.01433457711442786,0.9293905472636815,crmf,16,50,0.0011125,0.12364427860696518
0.9551803482587065,0.0006375,5.8640051615940994e-05,0.00080625,0.0123,uniform,0.013845193642554716,0.0007232489060144312,0.06590174129353234,0.9304912935323384,crmf,16,50,0.0006,0.884912935323383
0.0002487562189054726,0.00206875,6.367229291090462e-05,0.011537500000000001,0.0204,clustered,0.8679623863422471,0.0024569732773363174,0.17570273631840794,0.7943470149253732,crmf,16,50,0.00195625,0.0025870646766169153
0.1029415422885572,0.0015437500000000002,6.418430223850725e-05,0.01206875,0.0204,elongated,1.5037347027463612,0.0037843394528823855,0.006921641791044776,0.9419402985074626,crmf,16,50,0.0014375000000000002,0.03473880597014925
0.7721019900497512,0.0009875,5.81790422883889e-05,0.0033937499999999996,0.0204,uniform,0.20169706771861054,0.001992474459484463,0.003712686567164179,0.9929726368159204,crmf,16,50,0.0009062499999999999,0.6631840796019901
