bootstrap_unit,ci95_high,ci95_low,density,effect,geometry,holm_adjusted_pvalue,holm_family,median_difference,metric,n_agents,n_pairs,paired_mean_difference,positive_fraction,scope,sign_consistency,sign_flip_pvalue
shared held-out evaluation seed,-0.00235,-0.0036815625000000004,0.0123,requested_base_did,elongated,nan,none_cellwise,-0.0021875,contact_break_rate,16,50,-0.0029875,0.02,cell,0.98,0.0001999600079984003
shared held-out evaluation seed,-0.01425629664179106,-0.05405394900497512,0.0123,aperture_main_effect,elongated,nan,none_cellwise,-0.0015547263681592038,mean_largest_scc_fraction,16,50,-0.03319651741293532,0.12,cell,0.88,0.0011997600479904018
shared held-out evaluation seed,0.11441635572139296,0.04112803171641791,0.0123,base_main_effect,elongated,nan,none_cellwise,0.015469527363184105,mean_largest_scc_fraction,16,50,0.07725746268656715,0.62,cell,0.88,0.0001999600079984003
shared held-out evaluation seed,0.043196983830845755,-0.04136986940298508,0.0123,aperture_base_interaction,elongated,nan,none_cellwise,0.0,mean_largest_scc_fraction,16,50,0.0016293532338308415,0.46,cell,0.8,0.9308138372325535
shared held-out evaluation seed,0.04002161069651737,-0.042015080845771144,0.0123,requested_measurement_did,elongated,nan,none_cellwise,0.0,mean_largest_scc_fraction,16,50,0.0016293532338308436,0.46,cell,0.8,0.9392121575684863
shared held-out evaluation seed,0.041117070895522356,-0.0401133395522388,0.0123,requested_base_did,elongated,nan,none_cellwise,0.0,mean_largest_scc_fraction,16,50,0.0016293532338308436,0.46,cell,0.8,0.9436112777444511
shared held-out evaluation seed,0.013666483802823343,0.011858597302900363,0.0123,aperture_main_effect,uniform,nan,none_cellwise,0.012773576331497626,mean_abs_radius_update,16,50,0.0127536510106366,1.0,cell,1.0,0.0001999600079984003
shared held-out evaluation seed,-0.011473984522460385,-0.013449352320390264,0.0123,base_main_effect,uniform,nan,none_cellwise,-0.012662996270923042,mean_abs_radius_update,16,50,-0.012487139332831014,0.0,cell,1.0,0.0001999600079984003
shared held-out evaluation seed,-0.023672377832844094,-0.02746685185635242,0.0123,aperture_base_interaction,uniform,nan,none_cellwise,-0.025474614314561102,mean_abs_radius_update,16,50,-0.02550514926993321,0.0,cell,1.0,0.0001999600079984003
shared held-out evaluation seed,-0.023665050956760348,-0.02732015403418637,0.0123,requested_measurement_did,uniform,nan,none_cellwise,-0.025474614314561102,mean_abs_radius_update,16,50,-0.02550514926993321,0.0,cell,1.0,0.0001999600079984003
shared held-out evaluation seed,-0.023665571932028763,-0.02729484238094322,0.0123,requested_base_did,uniform,nan,none_cellwise,-0.025474614314561106,mean_abs_radius_update,16,50,-0.02550514926993321,0.0,cell,1.0,0.0001999600079984003
shared held-out evaluation seed,0.00111875,0.0008092187499999999,0.0123,aperture_main_effect,uniform,nan,none_cellwise,0.000859375,contact_break_rate,16,50,0.0009593749999999999,0.98,cell,1.0,0.0001999600079984003
shared held-out evaluation seed,-0.000925,-0.0012812499999999998,0.0123,base_main_effect,uniform,nan,none_cellwise,-0.001015625,contact_break_rate,16,50,-0.001103125,0.02,cell,0.98,0.0001999600079984003
shared held-out evaluation seed,-0.00161875,-0.002275,0.0123,aperture_base_interaction,uniform,nan,none_cellwise,-0.00171875,contact_break_rate,16,50,-0.0019187499999999999,0.0,cell,1.0,0.0001999600079984003
shared held-out evaluation seed,-0.0016123437500000007,-0.0022500000000000003,0.0123,requested_measurement_did,uniform,nan,none_cellwise,-0.00171875,contact_break_rate,16,50,-0.0019187499999999999,0.0,cell,1.0,0.0001999600079984003
shared held-out evaluation seed,-0.0016125,-0.00224375,0.0123,requested_base_did,uniform,nan,none_cellwise,-0.0017187499999999998,contact_break_rate,16,50,-0.0019187499999999999,0.0,cell,1.0,0.0001999600079984003
shared held-out evaluation seed,-0.07182874689054727,-0.10911722636815922,0.0123,aperture_main_effect,uniform,nan,none_cellwise,-0.07999067164179108,mean_largest_scc_fraction,16,50,-0.09035136815920397,0.04,cell,0.96,0.0001999600079984003
shared held-out evaluation seed,0.13418314676616916,0.08212538868159204,0.0123,base_main_effect,uniform,nan,none_cellwise,0.0889303482587065,mean_largest_scc_fraction,16,50,0.10648320895522388,0.96,cell,0.96,0.0001999600079984003
shared held-out evaluation seed,0.2208667599502487,0.14283628731343284,0.0123,aperture_base_interaction,uniform,nan,none_cellwise,0.15998134328358216,mean_largest_scc_fraction,16,50,0.18061567164179107,0.96,cell,0.96,0.0001999600079984003
shared held-out evaluation seed,0.22118998756218905,0.144433302238806,0.0123,requested_measurement_did,uniform,nan,none_cellwise,0.15998134328358216,mean_largest_scc_fraction,16,50,0.18061567164179107,0.96,cell,0.96,0.0001999600079984003
shared held-out evaluation seed,0.2196120957711443,0.14294263059701495,0.0123,requested_base_did,uniform,nan,none_cellwise,0.15998134328358216,mean_largest_scc_fraction,16,50,0.18061567164179107,0.96,cell,0.96,0.0001999600079984003
shared held-out evaluation seed,-0.0012300234418246656,-0.0023100953831103267,0.0204,aperture_main_effect,clustered,nan,none_cellwise,-0.001869019032331916,mean_abs_radius_update,16,50,-0.001751754280981184,0.18,cell,0.82,0.0001999600079984003
shared held-out evaluation seed,0.002485284486724877,0.001339389180669404,0.0204,base_main_effect,clustered,nan,none_cellwise,0.001991422822087849,mean_abs_radius_update,16,50,0.0019137590336941737,0.82,cell,0.82,0.0001999600079984003
shared held-out evaluation seed,-0.013809078891559834,-0.015948657105714435,0.0204,aperture_base_interaction,clustered,nan,none_cellwise,-0.014611517408115315,mean_abs_radius_update,16,50,-0.014854354574655422,0.0,cell,1.0,0.0001999600079984003
shared held-out evaluation seed,-0.013809313536397711,-0.015956053175702645,0.0204,requested_measurement_did,clustered,nan,none_cellwise,-0.014611517408115315,mean_abs_radius_update,16,50,-0.014854354574655422,0.0,cell,1.0,0.0001999600079984003
shared held-out evaluation seed,-0.013786798897052387,-0.015898869382791406,0.0204,requested_base_did,clustered,nan,none_cellwise,-0.014611517408115315,mean_abs_radius_update,16,50,-0.014854354574655422,0.0,cell,1.0,0.0001999600079984003
shared held-out evaluation seed,-0.0024186718750000002,-0.004406484374999999,0.0204,aperture_main_effect,clustered,nan,none_cellwise,-0.0028125,contact_break_rate,16,50,-0.003390625,0.12,cell,0.88,0.0001999600079984003
shared held-out evaluation seed,0.003890625,0.002037421875,0.0204,base_main_effect,clustered,nan,none_cellwise,0.0026562499999999998,contact_break_rate,16,50,0.002940625,0.82,cell,0.84,0.0001999600079984003
